salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction
T013-S0,A,gaussian_blur,BBSE-S-01,36.936229294643695,37.00379014562139,36.61548216646608,"{""clean"": 8, ""brightness_dark"": 71, ""contrast_low"": 32, ""gaussian_noise"": 54, ""gaussian_blur"": 35}",0.57,0.0,5.5227471566054245,12.732919254658382,0.37,0.27
T013-S0,A,gaussian_blur,BBSE-S-11,34.839050692305484,34.90923598643527,35.7155894656878,"{""clean"": 8, ""brightness_dark"": 69, ""contrast_low"": 34, ""gaussian_noise"": 56, ""gaussian_blur"": 33}",0.54,0.0,5.756302521008403,14.285714285714286,0.4,0.29
T013-S0,B,clean,BBSE-H-01,38.432163574687465,38.49325088104262,37.14210171515903,"{""clean"": 37, ""brightness_dark"": 61, ""contrast_low"": 2, ""gaussian_noise"": 70, ""gaussian_blur"": 30}",0.61,0.0,4.212789827973074,11.11111111111111,0.325,0.225
T013-S0,B,clean,BBSE-H-11,37.815487073974026,37.874858700711485,36.80714652949962,"{""clean"": 34, ""brightness_dark"": 59, ""contrast_low"": 2, ""gaussian_noise"": 69, ""gaussian_blur"": 36}",0.59,0.0,4.938271604938271,12.02464788732394,0.345,0.245
T013-S0,B,clean,BBSE-S-01,38.28982652578108,38.35361393709688,37.00578783937953,"{""clean"": 19, ""brightness_dark"": 76, ""contrast_low"": 8, ""gaussian_noise"": 82, ""gaussian_blur"": 15}",0.645,0.0,4.092152324847465,10.317725752508359,0.305,0.21
T013-S0,B,clean,BBSE-S-11,37.84655670850363,37.908105592127136,36.42158727047616,"{""clean"": 18, ""brightness_dark"": 74, ""contrast_low"": 6, ""gaussian_noise"": 79, ""gaussian_blur"": 23}",0.605,0.0,4.717880289744567,12.112068965517238,0.335,0.235
T013-S0,B,brightness_dark,BBSE-H-01,31.983384215519184,32.05000332468914,30.772097497210925,"{""clean"": 3, ""brightness_dark"": 92, ""contrast_low"": 38, ""gaussian_noise"": 55, ""gaussian_blur"": 12}",0.605,0.0,6.25,17.50438596491228,0.335,0.285
T013-S0,B,brightness_dark,BBSE-H-11,31.983384215519184,32.05000332468914,30.772097497210925,"{""clean"": 3, ""brightness_dark"": 92, ""contrast_low"": 38, ""gaussian_noise"": 55, ""gaussian_blur"": 12}",0.605,0.0,6.25,17.50438596491228,0.335,0.285
T013-S0,B,brightness_dark,BBSE-S-01,33.127311296995614,33.18704701110446,32.30997110162157,"{""clean"": 10, ""brightness_dark"": 117, ""contrast_low"": 31, ""gaussian_noise"": 32, ""gaussian_blur"": 10}",0.695,0.0,2.816380839739799,11.032370953630796,0.265,0.215
T013-S0,B,brightness_dark,BBSE-S-11,33.127311296995614,33.18704701110446,32.30997110162157,"{""clean"": 10, ""brightness_dark"": 117, ""contrast_low"": 31, ""gaussian_noise"": 32, ""gaussian_blur"": 10}",0.695,0.0,2.816380839739799,11.032370953630796,0.265,0.215
T013-S0,B,contrast_low,BBSE-H-01,29.237512670809746,29.330407606888755,28.98452235794705,"{""clean"": 2, ""brightness_dark"": 55, ""contrast_low"": 104, ""gaussian_noise"": 29, ""gaussian_blur"": 10}",0.62,0.0,5.9491525423728815,16.72413793103448,0.365,0.27
T013-S0,B,contrast_low,BBSE-H-11,29.237512670809746,29.330407606888755,28.98452235794705,"{""clean"": 2, ""brightness_dark"": 55, ""contrast_low"": 104, ""gaussian_noise"": 29, ""gaussian_blur"": 10}",0.62,0.0,5.9491525423728815,16.72413793103448,0.365,0.27
T013-S0,B,contrast_low,BBSE-S-01,29.501628909103125,29.589733359930847,29.17852523917307,"{""clean"": 1, ""brightness_dark"": 64, ""contrast_low"": 70, ""gaussian_noise"": 53, ""gaussian_blur"": 12}",0.605,0.0,6.0,14.334415584415583,0.36,0.28
T013-S0,B,contrast_low,BBSE-S-11,29.501628909103125,29.589733359930847,29.17852523917307,"{""clean"": 1, ""brightness_dark"": 64, ""contrast_low"": 70, ""gaussian_noise"": 53, ""gaussian_blur"": 12}",0.605,0.0,6.0,14.334415584415583,0.36,0.28
T013-S0,B,gaussian_noise,BBSE-H-01,35.5859517683721,35.64066759757963,34.17009332411027,"{""clean"": 16, ""brightness_dark"": 66, ""contrast_low"": 3, ""gaussian_noise"": 104, ""gaussian_blur"": 11}",0.66,0.0,2.7214714714714714,10.803418803418802,0.265,0.185
T013-S0,B,gaussian_noise,BBSE-H-11,35.5859517683721,35.64066759757963,34.17009332411027,"{""clean"": 16, ""brightness_dark"": 66, ""contrast_low"": 3, ""gaussian_noise"": 104, ""gaussian_blur"": 11}",0.66,0.0,2.7214714714714714,10.803418803418802,0.265,0.185
T013-S0,B,gaussian_noise,BBSE-S-01,35.44358963770794,35.50103065363388,33.92201556389558,"{""clean"": 24, ""brightness_dark"": 60, ""contrast_low"": 6, ""gaussian_noise"": 100, ""gaussian_blur"": 10}",0.61,0.0,3.8125,11.12676056338028,0.305,0.205
T013-S0,B,gaussian_noise,BBSE-S-11,35.44358963770794,35.50103065363388,33.92201556389558,"{""clean"": 24, ""brightness_dark"": 60, ""contrast_low"": 6, ""gaussian_noise"": 100, ""gaussian_blur"": 10}",0.61,0.0,3.8125,11.12676056338028,0.305,0.205
T013-S0,B,gaussian_blur,BBSE-H-01,36.885058913959746,36.95059511935634,36.156878521301394,"{""clean"": 11, ""brightness_dark"": 56, ""contrast_low"": 29, ""gaussian_noise"": 62, ""gaussian_blur"": 42}",0.545,0.0,5.848214285714286,14.028571428571427,0.425,0.285
T013-S0,B,gaussian_blur,BBSE-H-11,36.45707286573824,36.525034909235984,36.00229515099346,"{""clean"": 10, ""brightness_dark"": 58, ""contrast_low"": 27, ""gaussian_noise"": 62, ""gaussian_blur"": 43}",0.545,0.0,6.557971014492754,15.485498108448922,0.425,0.295
T013-S0,B,gaussian_blur,BBSE-S-01,36.93650061148158,37.00379014562139,36.53687538730819,"{""clean"": 5, ""brightness_dark"": 73, ""contrast_low"": 23, ""gaussian_noise"": 56, ""gaussian_blur"": 43}",0.605,0.0,5.224106602059358,13.27898169577109,0.365,0.26
T013-S0,B,gaussian_blur,BBSE-S-11,35.30428599080676,35.38134184453754,35.885176035103036,"{""clean"": 5, ""brightness_dark"": 71, ""contrast_low"": 23, ""gaussian_noise"": 58, ""gaussian_blur"": 43}",0.585,0.0,5.555555555555555,13.950310559006208,0.385,0.27
T013-S1,A,clean,BBSE-H-01,38.655981942026905,38.71932974266906,37.33760595937395,"{""clean"": 37, ""brightness_dark"": 61, ""contrast_low"": 6, ""gaussian_noise"": 71, ""gaussian_blur"": 25}",0.6,0.0,3.331611570247934,9.650308551278284,0.33,0.215
T013-S1,A,clean,BBSE-H-11,38.351810815095654,38.413458341645054,37.099696966957914,"{""clean"": 36, ""brightness_dark"": 60, ""contrast_low"": 6, ""gaussian_noise"": 69, ""gaussian_blur"": 29}",0.58,0.0,4.089625064201336,10.111111111111105,0.35,0.235
