client,target,n_query,none,oracle_correct_pair,oracle_target_permuted,oracle_wrong_alt,oracle_noise_source,oracle_target_permuted_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
79,brightness_dark,18,72.22222089767456,33.33333432674408,0.0,77.77777910232544,77.77777910232544,33.33333432674408,-44.44444477558136,-44.44444477558136
80,brightness_dark,80,40.00000059604645,63.749998807907104,81.25,28.749999403953552,81.25,-17.500001192092896,34.99999940395355,-17.500001192092896
81,brightness_dark,17,0.0,5.882352963089943,0.0,0.0,0.0,5.882352963089943,5.882352963089943,5.882352963089943
82,brightness_dark,163,0.0,14.723926782608032,0.0,0.0,0.0,14.723926782608032,14.723926782608032,14.723926782608032
83,brightness_dark,509,9.233792126178741,58.153241872787476,78.192538022995,7.465618848800659,79.1748583316803,-20.03929615020752,50.687623023986816,-21.021616458892822
84,brightness_dark,254,56.29920959472656,62.5984251499176,71.2598443031311,51.18110179901123,71.2598443031311,-8.661419153213501,11.417323350906372,-8.661419153213501
85,brightness_dark,222,36.036038398742676,49.54954981803894,63.9639675617218,24.32432472705841,63.9639675617218,-14.414417743682861,25.22522509098053,-14.414417743682861
86,brightness_dark,40,10.000000149011612,12.5,0.0,10.000000149011612,5.000000074505806,12.5,2.499999850988388,7.499999925494194
87,brightness_dark,150,7.333333790302277,34.00000035762787,44.66666877269745,3.999999910593033,0.0,-10.66666841506958,30.000000447034836,34.00000035762787
88,brightness_dark,77,24.67532455921173,35.0649356842041,48.051947355270386,19.480518996715546,48.051947355270386,-12.987011671066284,15.584416687488556,-12.987011671066284
89,brightness_dark,155,2.5806451216340065,11.612903326749802,3.870967775583267,1.2903225608170033,3.870967775583267,7.741935551166534,10.322580765932798,7.741935551166534
90,brightness_dark,155,16.774193942546844,21.935483813285828,5.161290243268013,17.419354617595673,0.6451612804085016,16.774193570017815,4.516129195690155,21.290322532877326
91,brightness_dark,183,0.5464480724185705,3.82513664662838,0.0,0.0,0.0,3.82513664662838,3.82513664662838,3.82513664662838
92,brightness_dark,96,15.625,73.95833730697632,71.875,11.45833358168602,71.875,2.0833373069763184,62.5000037252903,2.0833373069763184
93,brightness_dark,218,1.3761467300355434,4.128440096974373,0.0,0.0,0.0,4.128440096974373,4.128440096974373,4.128440096974373
94,brightness_dark,293,4.095562919974327,18.430033326148987,0.0,2.38907840102911,0.0,18.430033326148987,16.040954925119877,18.430033326148987
95,brightness_dark,38,26.31579041481018,63.15789222717285,57.894736528396606,13.15789520740509,57.894736528396606,5.263155698776245,49.99999701976776,5.263155698776245
96,brightness_dark,215,0.9302325546741486,4.1860464960336685,0.4651162773370743,0.4651162773370743,0.4651162773370743,3.7209302186965942,3.7209302186965942,3.7209302186965942
97,brightness_dark,170,67.05882549285889,40.58823585510254,68.23529601097107,69.9999988079071,0.58823530562222,-27.64706015586853,-29.411762952804565,40.00000054948032
98,brightness_dark,66,4.545454680919647,13.636364042758942,6.060606241226196,3.030303120613098,4.545454680919647,7.575757801532745,10.606060922145844,9.090909361839294
99,brightness_dark,145,0.6896551698446274,5.517241358757019,0.6896551698446274,0.6896551698446274,0.6896551698446274,4.827586188912392,4.827586188912392,4.827586188912392
0,contrast_low,178,5.056179687380791,19.662921130657196,5.056179687380791,9.550561755895615,5.056179687380791,14.606741443276405,10.112359374761581,14.606741443276405
