client,bank,context,residual_L1_actual,residual_L1_null_median,residual_L1_null_p95,residual_L1_percentile,residual_L1_above_p95,residual_L2_actual,residual_L2_null_median,residual_L2_null_p95,residual_L2_percentile,residual_L2_above_p95,weighted_class_L1_actual,weighted_class_L1_null_median,weighted_class_L1_null_p95,weighted_class_L1_percentile,weighted_class_L1_above_p95,prevalence_L1_actual,prevalence_L1_null_median,prevalence_L1_null_p95,prevalence_L1_percentile,prevalence_L1_above_p95,prevalence_JS_actual,prevalence_JS_null_median,prevalence_JS_null_p95,prevalence_JS_percentile,prevalence_JS_above_p95,dominant_agreement_actual,dominant_agreement_null_median,dominant_agreement_null_p95,dominant_agreement_percentile,dominant_agreement_above_p95
0,A,clean,0.19379770806734103,0.14656148590416013,0.24937927350362188,0.7890625,False,0.08037769930891235,0.059733297626071644,0.10574824867680756,0.78125,False,0.2976326362627262,0.19448415700876331,0.3147231585051155,0.9453125,False,0.7460734092761403,0.4064088027567561,1.0503732623838666,0.7890625,False,0.12129349111938614,0.08103467816735407,0.2229109423708325,0.65625,False,1.0,1.0,1.0,1.0,False
0,A,brightness_dark,0.1282847593094863,0.1344483185578148,0.23399667839034427,0.4375,False,0.05372904756477761,0.05709726710846986,0.09860682881163131,0.4609375,False,0.22298006426539993,0.20703243078335248,0.29429639666890267,0.6328125,False,0.7933129834008124,0.38694868819443995,1.0562137606894555,0.875,False,0.152246787049108,0.07524156730203807,0.24262913873394903,0.828125,False,1.0,1.0,1.0,1.0,False
0,A,contrast_low,0.19836423556080363,0.14528344433062174,0.23174837599342107,0.8359375,False,0.08010885923869832,0.06166678839953815,0.1064829824656948,0.7421875,False,0.27546615354807813,0.19972888446916554,0.3149515770999388,0.8984375,False,1.1006690218990944,0.6064867620625003,1.2521569372033554,0.875,False,0.19783778510595773,0.11776021949529386,0.2896286338221801,0.8046875,False,0.0,1.0,1.0,0.1015625,False
0,A,gaussian_noise,0.20637971715712874,0.13969486372916262,0.24799385796577808,0.890625,False,0.08212177726485835,0.058741355628298825,0.10083795033860563,0.8046875,False,0.3373751086613792,0.19267976824858735,0.29793840036459357,0.984375,True,0.9284194239942669,0.4004815434002176,1.0218407041426558,0.8984375,False,0.1874007828409182,0.07722214561619145,0.2258437277063179,0.8671875,False,1.0,1.0,1.0,1.0,False
0,A,gaussian_blur,0.241452177037729,0.14502803827021954,0.2285948761078663,0.9765625,True,0.0925397053310729,0.06293955364074807,0.0972934295168312,0.890625,False,0.359384225731744,0.20323103401464704,0.31459066283926634,0.9921875,True,0.7690435397163351,0.45246846176206695,0.9706397984551509,0.8828125,False,0.10665075934606705,0.087581288819287,0.21330699293581673,0.578125,False,1.0,1.0,1.0,1.0,False
0,B,clean,0.19379770806734103,0.15100443973428357,0.2551316220202485,0.71875,False,0.08037769930891235,0.06486722096535127,0.11191722791475334,0.7109375,False,0.2976326362627262,0.2176318693981628,0.3023253783545553,0.9296875,False,0.7460734092761403,0.39338237209473415,0.9447476279628586,0.8515625,False,0.12129349111938614,0.07307870488628249,0.21895559563773215,0.765625,False,1.0,1.0,1.0,1.0,False
0,B,brightness_dark,0.13032745827868059,0.1420541424520454,0.22591860998757832,0.40625,False,0.05456728873681065,0.06069539856010389,0.09262532822014843,0.359375,False,0.2266806251295852,0.19610874197584477,0.282198843598943,0.7421875,False,0.7898890293999302,0.30000000000000004,1.1067762014398397,0.828125,False,0.15102318595501052,0.059389659941985695,0.24809080845101397,0.8046875,False,1.0,1.0,1.0,1.0,False
0,B,contrast_low,0.19454798506809087,0.13423498861289823,0.23910620777874186,0.8828125,False,0.07971223901257483,0.06294846481230976,0.10865683451087174,0.765625,False,0.2753023770035825,0.19211364058282554,0.2879558488435467,0.9140625,False,1.1070663363078281,0.6015458029297335,1.2101455367081693,0.9296875,False,0.20159414265084996,0.12150276620351136,0.26345947775737105,0.828125,False,0.0,1.0,1.0,0.0859375,False
0,B,gaussian_noise,0.20470988455369543,0.14629968075257052,0.26233863607335706,0.8203125,False,0.08272489878953988,0.060688951321445646,0.11353324934574505,0.7578125,False,0.33705302687495786,0.20547222706148366,0.3140506234506559,0.9765625,True,0.9273037493576829,0.41472144837299424,1.0294998095176953,0.9375,False,0.18663293811932247,0.07914743380200323,0.21765019896143697,0.90625,False,1.0,1.0,1.0,1.0,False
0,B,gaussian_blur,0.24481257916168092,0.1559414249186945,0.2379628730854033,0.953125,True,0.0936241572185236,0.06603536200370469,0.11085832175740525,0.890625,False,0.36333055540332376,0.2088417249471095,0.3016364227187126,0.9921875,True,0.7652653473267276,0.3835016804465948,0.911699199189279,0.90625,False,0.10483941701994914,0.08010395710965285,0.19316181289262954,0.625,False,1.0,1.0,1.0,1.0,False
1,A,clean,0.15852161619106478,0.1483463874317779,0.24416198663164773,0.5703125,False,0.062416654040011614,0.059769428051034,0.1037489201368344,0.5390625,False,0.18835322479448421,0.19390417666814888,0.2897991354239778,0.46875,False,0.25590208441843987,0.3649925616527665,1.083918631963269,0.3203125,False,0.046657091959558694,0.07337679911628053,0.24612257518977299,0.375,False,1.0,1.0,1.0,1.0,False
1,A,brightness_dark,0.1164485705114143,0.14160896204537493,0.23738739417591284,0.296875,False,0.045767220668765575,0.0601075762667226,0.09985637383725723,0.234375,False,0.13934342701122795,0.1775071401775522,0.2758182151675477,0.1796875,False,0.30383188630071745,0.42113252298165516,0.9037956014691956,0.3671875,False,0.056576572423461036,0.08362300670694017,0.21129318371829772,0.359375,False,1.0,1.0,1.0,1.0,False
1,A,contrast_low,0.07418630030066407,0.14324316778421475,0.2456537643373104,0.078125,False,0.03152940028197625,0.0626832540515552,0.11098016974081346,0.0703125,False,0.13103142056913797,0.17413724411395937,0.28428171088738385,0.171875,False,0.5814117508246557,0.601454012470666,1.4779650962372426,0.46875,False,0.11310903465583722,0.12163770996632522,0.3883916974873957,0.484375,False,1.0,1.0,1.0,1.0,False
1,A,gaussian_noise,0.18841856280606445,0.15556203099536212,0.26395352763672053,0.6953125,False,0.072447281878072,0.06642287363270481,0.11475320463392591,0.5859375,False,0.20004865248645845,0.18884103052232964,0.30190868847494645,0.5625,False,0.39768954963140235,0.4144506091477473,0.9263561319161565,0.4765625,False,0.056729451175721146,0.07693816458252417,0.22238577575332127,0.3984375,False,1.0,1.0,1.0,1.0,False
1,A,gaussian_blur,0.1756445883442861,0.15104251634076177,0.3035928554816357,0.6015625,False,0.06961164841412266,0.06413323394653458,0.11756403741909147,0.546875,False,0.19348052783359648,0.20166349914643728,0.32794343362595413,0.4375,False,0.3382440364485306,0.3474805744784596,1.0001766501085894,0.4921875,False,0.06158016227398788,0.05707285600743073,0.22030294529718852,0.5234375,False,1.0,1.0,1.0,1.0,False
1,B,clean,0.15852161619106478,0.14913333439766918,0.22730073420332628,0.59375,False,0.062416654040011614,0.06480186394645328,0.1071883795966902,0.4609375,False,0.18835322479448421,0.1902298603296693,0.2739380807000934,0.4609375,False,0.25590208441843987,0.3969590393635377,1.0439626115810468,0.359375,False,0.046657091959558694,0.0778263341717449,0.24677709728651823,0.3671875,False,1.0,1.0,1.0,1.0,False
1,B,brightness_dark,0.11707301028014536,0.13952763914412036,0.2228169020091823,0.328125,False,0.045868418147570214,0.06086121625851257,0.09936456678953556,0.28125,False,0.13988002353376514,0.17752118910135078,0.27417661913694635,0.234375,False,0.29646861787448686,0.38185877554927894,0.920384430557358,0.3828125,False,0.055162921532567966,0.07091162421938346,0.21097504881118684,0.453125,False,1.0,1.0,1.0,1.0,False
1,B,contrast_low,0.0797746170166437,0.1429490126997743,0.2353132579552852,0.078125,False,0.0331282457963199,0.06042122294480559,0.10734558101248264,0.0703125,False,0.13903824539433088,0.18142569831586897,0.2900036394234114,0.1640625,False,0.5501877035210642,0.5860133223038949,1.4019353806009862,0.4609375,False,0.1079539233038379,0.11838835873175096,0.359859526236258,0.4375,False,1.0,1.0,1.0,1.0,False
1,B,gaussian_noise,0.18444766483899608,0.1511144908514372,0.24919981894598298,0.71875,False,0.07196554727718746,0.06384844534971024,0.11002494376529917,0.6015625,False,0.1965863150500971,0.18862061680384093,0.28385560885043815,0.5546875,False,0.4109948113113533,0.4257298123117762,1.0402475960338042,0.484375,False,0.0593970863297848,0.08054579647821286,0.2448806764149975,0.3828125,False,1.0,1.0,1.0,1.0,False
1,B,gaussian_blur,0.1775908721361707,0.16031208973031397,0.24387075652886128,0.625,False,0.07002578902466378,0.06718156080018609,0.11024065159815549,0.5546875,False,0.19646943338984604,0.2019448324899752,0.28862885640723407,0.4453125,False,0.3147519645736616,0.36132345916762204,1.0088994218703053,0.4140625,False,0.05719279454608861,0.07923438756323081,0.2347232248338961,0.4375,False,1.0,1.0,1.0,1.0,False
2,A,clean,0.11089244996671288,0.13075294057390607,0.2667628048792208,0.3515625,False,0.059402899506754876,0.0592272797773078,0.1224204661192785,0.5,False,0.21192925671451088,0.19134444817987306,0.3046585692580601,0.609375,False,0.517538074234625,0.8000467125679973,2.0,0.2578125,False,0.12818562562915392,0.18682998590242705,0.6931471805599452,0.296875,False,1.0,1.0,1.0,1.0,False
2,A,brightness_dark,0.10074476939243868,0.13015938198180071,0.2349712395170793,0.2578125,False,0.044613312590306105,0.05799791690811852,0.10993133340125445,0.2890625,False,0.1901377114650554,0.17818946361892377,0.27417199033445117,0.5703125,False,0.6202666664890446,0.9821593828504439,2.0,0.2421875,False,0.14910509231861457,0.23235139926203324,0.6931471805599454,0.265625,False,1.0,1.0,1.0,1.0,False
2,A,contrast_low,0.09318355869989237,0.12810730303949305,0.2640730600244289,0.2421875,False,0.04046439268123142,0.059748553953245784,0.12237578134120107,0.2109375,False,0.18751007203495876,0.1845527198232612,0.3248222133676743,0.5234375,False,0.624841669304617,1.009270831672894,2.0,0.25,False,0.15006109304123671,0.22028665207817916,0.6931471805599454,0.296875,False,1.0,1.0,1.0,1.0,False
2,A,gaussian_noise,0.09182485505772851,0.1487735403913891,0.2521229096064816,0.109375,False,0.04847213864302409,0.06720879874612623,0.11968330523365958,0.2890625,False,0.18718816525960877,0.19576351341449766,0.30620130390037364,0.4296875,False,0.5944100322372072,0.9946031513426138,2.0,0.203125,False,0.1437421044613474,0.2240254169560807,0.6931471805599452,0.2265625,False,1.0,1.0,1.0,1.0,False
2,A,gaussian_blur,0.09829153649880931,0.14413237798203113,0.2545257676029942,0.203125,False,0.05348549851328249,0.06628554891065983,0.11278002636099359,0.34375,False,0.2071234012641181,0.19721181107510033,0.29878785397664404,0.5625,False,0.48562542787463286,0.8409576427010887,2.0,0.1875,False,0.10693807581739889,0.192262678474088,0.6931471805599453,0.1953125,False,1.0,1.0,1.0,1.0,False
2,B,clean,0.11089244996671288,0.14296717643613785,0.26081786811800317,0.296875,False,0.059402899506754876,0.06261405932305905,0.12646935634846182,0.4609375,False,0.21192925671451088,0.18959833306009,0.3100535369092858,0.6328125,False,0.517538074234625,0.8482789229130883,2.0,0.3125,False,0.12818562562915392,0.18070140998903145,0.6931471805599453,0.3515625,False,1.0,1.0,1.0,1.0,False
