bank,context,salt,quartile,n,margin_min,margin_max,zero_margin_clients,actual_optimal_error,null_optimal_error,actual_regret_mean,null_median_regret_mean,task_exceedance_fraction
A,gaussian_blur,T013-S0,4,25,0.07802778877415723,0.3946640250949315,0,0.16,0.15109375,0.019816789734238983,0.003285176831596551,0.16
A,gaussian_blur,T013-S1,1,25,0.0013363798962293793,0.01710995508304098,0,0.68,0.6378125,0.008285379471210256,0.007575493464099709,0.08
A,gaussian_blur,T013-S1,2,25,0.018802687970551443,0.031506560218113364,0,0.52,0.42234375,0.018864250068798726,0.01243109144001109,0.08
A,gaussian_blur,T013-S1,3,25,0.03338286937979881,0.07682922572538703,0,0.38,0.2425,0.027611517110692475,0.004398939487166319,0.12
A,gaussian_blur,T013-S1,4,25,0.07797043322168595,0.40141334977104615,0,0.16,0.15265625,0.018672867285003693,0.0032849979015843124,0.16
A,gaussian_blur,T013-S2,1,25,0.0013747290230651799,0.01601462506209301,0,0.76,0.6721875,0.010672414773532136,0.008180736712552792,0.12
A,gaussian_blur,T013-S2,2,25,0.01699567156455689,0.03317825623429602,0,0.48,0.40953125,0.0174378760306549,0.010818785051425955,0.08
A,gaussian_blur,T013-S2,3,25,0.033417187300891237,0.07700091888409188,0,0.38,0.23859375,0.026516829075435733,0.00401970744023514,0.08
A,gaussian_blur,T013-S2,4,25,0.07811880985910065,0.401308678663805,0,0.16,0.15046875,0.019821860530289753,0.0046630533732760614,0.16
A,gaussian_blur,T013-S3,1,25,0.0006132028762232992,0.0159524479306162,0,0.72,0.68703125,0.009308881287904249,0.00795133932346139,0.12
A,gaussian_blur,T013-S3,2,25,0.017130353603676197,0.03143385970795777,0,0.48,0.4078125,0.01744374450019231,0.011919737346129153,0.08
A,gaussian_blur,T013-S3,3,25,0.03315563784855016,0.07678494777873604,0,0.36,0.23796875,0.02627771100529378,0.0034258900522248707,0.08
A,gaussian_blur,T013-S3,4,25,0.07788318081150247,0.3959330854527563,0,0.16,0.15234375,0.018454051904545587,0.0032843615354446786,0.16
B,clean,T013-S0,1,25,0.0008012820512820513,0.014762547904905561,0,0.72,0.64,0.0067135819685176686,0.004968646991875364,0.16
B,clean,T013-S0,2,25,0.015254700664556843,0.03413491872513638,0,0.34,0.385625,0.011650872031506944,0.010989420394805629,0.04
B,clean,T013-S0,3,25,0.0343538188537235,0.06103456962368717,0,0.16,0.084375,0.011748997669036566,0.0,0.08
B,clean,T013-S0,4,25,0.06124151525166177,0.4050542072533157,0,0.26,0.1553125,0.02449355305834252,0.0,0.12
B,clean,T013-S1,1,25,0.0007716049382716049,0.014807449988863762,0,0.58,0.5890625,0.006573433423128071,0.004556717570438153,0.16
B,clean,T013-S1,2,25,0.0152349421413229,0.03435402476584682,0,0.34,0.38640625,0.011686880726413827,0.011309769473005361,0.04
B,clean,T013-S1,3,25,0.03627173590641631,0.06114217485002039,0,0.16,0.0853125,0.012070614633515395,0.0,0.08
B,clean,T013-S1,4,25,0.061332921053791505,0.40510302923564634,0,0.26,0.1571875,0.024300463105674738,0.0,0.12
B,clean,T013-S2,1,25,0.0005701099934155942,0.014729492829974194,0,0.62,0.600625,0.0067051670716080855,0.0053687440684478905,0.16
B,clean,T013-S2,2,25,0.015237335146556955,0.034562850681347124,0,0.34,0.385,0.011856966423855737,0.01108874708159362,0.04
B,clean,T013-S2,3,25,0.0345887616474667,0.060059344209205404,0,0.16,0.0859375,0.012109670661414128,0.0,0.08
B,clean,T013-S2,4,25,0.06109173689818851,0.4050299928457432,0,0.26,0.15796875,0.02442999015830817,0.0011003156540794982,0.12
B,clean,T013-S3,1,25,0.0007886435331230284,0.014792698333886158,0,0.68,0.60515625,0.006839261126440289,0.004820887210814202,0.16
B,clean,T013-S3,2,25,0.015258066819405135,0.034156588563210896,0,0.34,0.385625,0.012015188898805129,0.010955352817313186,0.04
B,clean,T013-S3,3,25,0.034337637707815935,0.06112926182312221,0,0.16,0.08515625,0.01174343868398465,0.0,0.08
B,clean,T013-S3,4,25,0.06117517867948683,0.4047035669706836,0,0.3,0.1596875,0.028270592956604848,0.0021524641424986697,0.12
B,brightness_dark,T013-S0,1,25,0.0,0.024656552494415486,1,0.66,0.4490625,0.01985349824470671,0.008281169662604526,0.12
B,brightness_dark,T013-S0,2,25,0.024674227799227802,0.0444354431143649,0,0.34,0.281875,0.03378361898866771,0.006364465478890619,0.12
B,brightness_dark,T013-S0,3,25,0.04550037248521063,0.10655259279067048,0,0.2,0.23890625,0.01531361236077602,0.007591523542114339,0.04
B,brightness_dark,T013-S0,4,25,0.10715080590010181,0.5245398773006135,0,0.02,0.04296875,0.004066767830045523,0.0,0.08
B,brightness_dark,T013-S1,1,25,0.0,0.02451551413745632,1,0.64,0.4709375,0.01455340888972883,0.008593455685521636,0.12
B,brightness_dark,T013-S1,2,25,0.02459159751423362,0.044502315656604174,0,0.38,0.2971875,0.0414600955597365,0.006685782749776812,0.12
B,brightness_dark,T013-S1,3,25,0.04549832480304536,0.10664529543400797,0,0.22,0.23890625,0.01646886081414868,0.0075711492349311025,0.08
B,brightness_dark,T013-S1,4,25,0.10726905049190277,0.5245398773006135,0,0.02,0.04328125,0.003616,0.0,0.08
B,brightness_dark,T013-S2,1,25,0.0,0.024618494706400727,1,0.66,0.471875,0.019888739975237737,0.008742100610661073,0.12
B,brightness_dark,T013-S2,2,25,0.024651091911935895,0.04437887441816925,0,0.34,0.28,0.0334770742445812,0.0063378092628012085,0.12
B,brightness_dark,T013-S2,3,25,0.045494919781611035,0.10649394897618497,0,0.2,0.23953125,0.01527028357262632,0.008224580933141167,0.04
B,brightness_dark,T013-S2,4,25,0.10707855813895513,0.5232634832095882,0,0.02,0.04203125,0.00392638036809816,0.0,0.08
B,brightness_dark,T013-S3,1,25,0.0,0.02455234757799417,1,0.64,0.443125,0.019669919748230322,0.008465382787434406,0.12
B,brightness_dark,T013-S3,2,25,0.02473680647236045,0.044399442900576236,0,0.34,0.2815625,0.033535020682607435,0.006362509734027388,0.12
B,brightness_dark,T013-S3,3,25,0.04546342337538471,0.1064648956325675,0,0.2,0.23796875,0.015206653544108035,0.0075783742488362785,0.08
B,brightness_dark,T013-S3,4,25,0.10700151491653631,0.5253115127392656,0,0.02,0.0428125,0.0038814814814814814,0.0,0.08
B,contrast_low,T013-S0,1,25,0.0,0.018579950947282868,1,0.56,0.59515625,0.012985222895272762,0.004660986519943511,0.12
B,contrast_low,T013-S0,2,25,0.01938708580312895,0.0563187502931506,0,0.56,0.5196875,0.040184368196433874,0.024056115647687514,0.12
B,contrast_low,T013-S0,3,25,0.0578837453694716,0.13496453403669928,0,0.2,0.19703125,0.02606333699344205,0.016478533600219215,0.0
B,contrast_low,T013-S0,4,25,0.13581596764859444,0.43218327326279893,0,0.16,0.15859375,0.04375840376661909,0.0,0.08
B,contrast_low,T013-S1,1,25,0.0,0.018605561553346833,1,0.58,0.59,0.014492139190221581,0.004383524273606015,0.12
B,contrast_low,T013-S1,2,25,0.019416035410331614,0.05639946309559147,0,0.5,0.516875,0.0322407153727963,0.026146048019384152,0.04
B,contrast_low,T013-S1,3,25,0.0580554435432046,0.13519055106555122,0,0.22,0.19609375,0.027120131009788738,0.016492416381730882,0.0
B,contrast_low,T013-S1,4,25,0.13592226207339855,0.43319840021744616,0,0.16,0.1584375,0.04376884336457504,0.0029063869656355207,0.08
B,contrast_low,T013-S2,1,25,0.0,0.01868579574074882,1,0.52,0.5878125,0.012274960297548128,0.005367995696002981,0.12
B,contrast_low,T013-S2,2,25,0.01949955855907714,0.05625608899548926,0,0.62,0.51421875,0.04424131636037796,0.02296572810189338,0.12
B,contrast_low,T013-S2,3,25,0.05787546778704232,0.13485446168655296,0,0.2,0.19546875,0.026091562902136337,0.016503032053043636,0.0
B,contrast_low,T013-S2,4,25,0.13592785951175215,0.4321418192385934,0,0.18,0.160625,0.04394053308935206,0.0026744600588649837,0.04
B,contrast_low,T013-S3,1,25,0.0,0.01859290561581214,1,0.62,0.61109375,0.01389471710823397,0.004241605822940574,0.12
B,contrast_low,T013-S3,2,25,0.019413589021967582,0.05624118950200925,0,0.56,0.5196875,0.04015886474961217,0.024327528934154147,0.12
B,contrast_low,T013-S3,3,25,0.057866837260642456,0.1349983330419772,0,0.2,0.195625,0.026065715018411706,0.016480651725397377,0.0
B,contrast_low,T013-S3,4,25,0.1359136249132899,0.4325192469431326,0,0.16,0.1584375,0.04375305340178923,0.0028331446465133087,0.08
B,gaussian_noise,T013-S0,1,25,0.0,0.012207090567447409,1,0.42,0.53984375,0.005053990665537991,0.004521295102422804,0.04
B,gaussian_noise,T013-S0,2,25,0.012592078869237047,0.032656739863546655,0,0.38,0.4,0.010857360594841426,0.00786042153344174,0.04
B,gaussian_noise,T013-S0,3,25,0.03310553902387852,0.08094715247391082,0,0.18,0.14546875,0.013019517619994226,0.002969705246814366,0.08
B,gaussian_noise,T013-S0,4,25,0.08107208158198019,0.43769742997083266,0,0.18,0.1003125,0.021095843042701623,0.0,0.12
B,gaussian_noise,T013-S1,1,25,0.0,0.011083310574814341,1,0.44,0.5471875,0.00463439507297639,0.004747732038663437,0.04
B,gaussian_noise,T013-S1,2,25,0.012214758784355455,0.03263931045522617,0,0.4,0.40296875,0.011785605173960902,0.0074468125754186066,0.04
B,gaussian_noise,T013-S1,3,25,0.033030054404131357,0.08096917590391403,0,0.18,0.14515625,0.013093503708156113,0.002566786405572948,0.04
B,gaussian_noise,T013-S1,4,25,0.08098592547580047,0.4376673124339556,0,0.18,0.1009375,0.02113714709402562,0.0,0.12
B,gaussian_noise,T013-S2,1,25,0.0,0.011072351367732382,1,0.48,0.51328125,0.004809177934518264,0.004876476494514251,0.04
B,gaussian_noise,T013-S2,2,25,0.012211328732043746,0.03279599593368875,0,0.42,0.4025,0.011877648807518959,0.007272225302641037,0.04
B,gaussian_noise,T013-S2,3,25,0.033257248484157065,0.08091460286451346,0,0.16,0.14375,0.012025398556979885,0.0028877363545625166,0.04
B,gaussian_noise,T013-S2,4,25,0.08103667861706514,0.43767541687303946,0,0.16,0.09953125,0.018487406661500463,0.0,0.12
B,gaussian_noise,T013-S3,1,25,0.0,0.010977360849988096,1,0.44,0.55578125,0.0047304909291851745,0.0049773940882504,0.04
B,gaussian_noise,T013-S3,2,25,0.01220199976182917,0.03269461286055229,0,0.4,0.40125,0.011802771649701768,0.007287947537082047,0.04
B,gaussian_noise,T013-S3,3,25,0.033011977475440345,0.08094722180707761,0,0.18,0.14421875,0.01287821443484164,0.0025668503688566833,0.08
B,gaussian_noise,T013-S3,4,25,0.08104724952477524,0.43737933433278076,0,0.18,0.10203125,0.02118787032126181,0.0,0.12
B,gaussian_blur,T013-S0,1,25,0.001334922837907305,0.014927240447278674,0,0.72,0.6603125,0.008770873890212572,0.010664353322357743,0.08
B,gaussian_blur,T013-S0,2,25,0.016723739119359073,0.03198877439896318,0,0.44,0.40625,0.01588897233336954,0.010538209750556351,0.04
B,gaussian_blur,T013-S0,3,25,0.035252240165923064,0.06300060548368282,0,0.32,0.23765625,0.024410274526027828,0.0022793269204670406,0.08
B,gaussian_blur,T013-S0,4,25,0.06544638031005529,0.4072676242364207,0,0.16,0.16203125,0.020994292880533037,0.003334723734613677,0.08
B,gaussian_blur,T013-S1,1,25,0.0009450202006674836,0.018520398734290684,0,0.74,0.64203125,0.008469256091606156,0.007977840991730552,0.08
B,gaussian_blur,T013-S1,2,25,0.019703903829632823,0.035223317161978976,0,0.46,0.4009375,0.016885643474193884,0.014128582640967542,0.04
B,gaussian_blur,T013-S1,3,25,0.03536653189443564,0.0632478314082555,0,0.34,0.25125,0.026339251289193566,0.0030572501744097025,0.12
B,gaussian_blur,T013-S1,4,25,0.06540800526963247,0.4073221204649524,0,0.16,0.16375,0.019621548681246635,0.0033337923677768445,0.08
B,gaussian_blur,T013-S2,1,25,0.0020358191132511397,0.013932437056338112,0,0.62,0.645625,0.009280766167158208,0.010595717100157174,0.12
B,gaussian_blur,T013-S2,2,25,0.014804365356372789,0.032049381942708746,0,0.48,0.408125,0.01620058570133711,0.009793242737222908,0.04
B,gaussian_blur,T013-S2,3,25,0.03527965538832062,0.062228968622063396,0,0.32,0.23515625,0.024481376880884195,0.0024238277659251743,0.12
B,gaussian_blur,T013-S2,4,25,0.06557389988180903,0.40725001375818615,0,0.16,0.1646875,0.020999709690442764,0.0033342551193655113,0.08
B,gaussian_blur,T013-S3,1,25,0.0021966435946161288,0.01490889172460318,0,0.72,0.6671875,0.010096330503955819,0.010976118124600864,0.08
B,gaussian_blur,T013-S3,2,25,0.017303407308782055,0.0319864505172334,0,0.46,0.405,0.015750361491605473,0.009969126367901046,0.08
B,gaussian_blur,T013-S3,3,25,0.03518671759475006,0.06297755460005411,0,0.3,0.23640625,0.02344469076355335,0.0023224129890513454,0.08
B,gaussian_blur,T013-S3,4,25,0.06537980415045055,0.40700075508914674,0,0.16,0.16265625,0.02098468187775003,0.003332398096231878,0.08
