bank,context,salt,quartile,n,margin_min,margin_max,zero_margin_clients,actual_optimal_error,null_optimal_error,actual_regret_mean,null_median_regret_mean,task_exceedance_fraction
A,clean,T013-S0,1,25,0.0005449378982928004,0.017415515121485637,0,0.64,0.6190625,0.008905552986379435,0.00660308369541088,0.08
A,clean,T013-S0,2,25,0.01831455575804213,0.03972423681898186,0,0.3,0.3765625,0.007448607011429107,0.008703654129503111,0.0
A,clean,T013-S0,3,25,0.03978630791829817,0.06321323386593206,0,0.28,0.115,0.020430831631721328,0.0,0.16
A,clean,T013-S0,4,25,0.06400451067007473,0.3961411039568543,0,0.18,0.11515625,0.01962562224702565,0.002713410844718364,0.04
A,clean,T013-S1,1,25,0.0007716049382716049,0.015544180150888678,0,0.6,0.5925,0.009777047437792232,0.006992577739798262,0.08
A,clean,T013-S1,2,25,0.017395137877521095,0.04036938326160717,0,0.26,0.375625,0.006212112822963067,0.007722803129068732,0.0
A,clean,T013-S1,3,25,0.04062202579740054,0.06410919323740416,0,0.3,0.10140625,0.022904633598755848,0.0,0.16
A,clean,T013-S1,4,25,0.06539068731523624,0.3962134554420571,0,0.2,0.11625,0.02224002697546611,0.002711422774548484,0.04
A,clean,T013-S2,1,25,0.00040191446529387137,0.015556205292559737,0,0.68,0.6159375,0.010236115001559748,0.006981119206121208,0.08
A,clean,T013-S2,2,25,0.016826590723287106,0.039747186010674805,0,0.3,0.37671875,0.006775059556174909,0.0071628208079814355,0.0
A,clean,T013-S2,3,25,0.04072865728993032,0.06333659008838852,0,0.3,0.10203125,0.022522642792223525,0.0,0.16
A,clean,T013-S2,4,25,0.06406493101580132,0.39613229871773703,0,0.2,0.11515625,0.02225118375685053,0.002715670193342191,0.04
A,clean,T013-S3,1,25,0.0007886435331230284,0.016802995462182817,0,0.6,0.608125,0.009955893694063482,0.006904161484261424,0.08
A,clean,T013-S3,2,25,0.017410739484778198,0.04062118369457647,0,0.3,0.3646875,0.007517913676591487,0.006523406713967743,0.0
A,clean,T013-S3,3,25,0.04062982737196606,0.06324898760644695,0,0.3,0.115625,0.021336814470548325,0.0,0.16
A,clean,T013-S3,4,25,0.06402132556355582,0.39581200701814634,0,0.2,0.1153125,0.022228604867307742,0.002711315352335096,0.04
A,brightness_dark,T013-S0,1,25,0.0,0.027802504499305943,1,0.6,0.450625,0.014460316445274977,0.007435619351864658,0.12
A,brightness_dark,T013-S0,2,25,0.02846031746031746,0.05652517139689485,0,0.2,0.2165625,0.022513972646288148,0.003727194888147168,0.04
A,brightness_dark,T013-S0,3,25,0.0569460817563313,0.11159328977035105,0,0.32,0.27921875,0.04049614402231775,0.02094337360974274,0.12
A,brightness_dark,T013-S0,4,25,0.1124600427415033,0.5168711656441718,0,0.1,0.0828125,0.013467170212631645,0.007130608816076498,0.04
A,brightness_dark,T013-S1,1,25,0.0,0.027733526108032678,1,0.64,0.48984375,0.014412151497917674,0.007449095698825648,0.12
A,brightness_dark,T013-S1,2,25,0.028445594210259016,0.05652395357121874,0,0.2,0.2171875,0.021745090008187886,0.003729163888682469,0.04
A,brightness_dark,T013-S1,3,25,0.056933999112294714,0.1116961700056586,0,0.32,0.28171875,0.04044545697746921,0.02129205696753379,0.12
A,brightness_dark,T013-S1,4,25,0.11239939168271988,0.5153374233128835,0,0.1,0.08328125,0.013047445309354446,0.006960472900737373,0.04
A,brightness_dark,T013-S2,1,25,0.0,0.027761770127395675,1,0.64,0.484375,0.01604188099838385,0.007350464449918051,0.12
A,brightness_dark,T013-S2,2,25,0.028441998636918056,0.05646661795769102,0,0.24,0.2171875,0.023606386866393287,0.003732354952941835,0.04
A,brightness_dark,T013-S2,3,25,0.05685286240612923,0.11146479886924694,0,0.3,0.27921875,0.03611447780064702,0.02082660750041703,0.12
A,brightness_dark,T013-S2,4,25,0.11226927983754653,0.5162674782346512,0,0.12,0.0828125,0.017174438171651384,0.007211934601126204,0.04
A,brightness_dark,T013-S3,1,25,0.0,0.027804640170428607,1,0.6,0.45125,0.014326427916785543,0.007217297408923415,0.12
A,brightness_dark,T013-S3,2,25,0.028420634920634923,0.05648342488684259,0,0.22,0.21640625,0.022883084209235047,0.0037275916120181798,0.04
A,brightness_dark,T013-S3,3,25,0.056919292600803466,0.11156680363078453,0,0.3,0.27953125,0.03609767940884625,0.020951347009305517,0.12
A,brightness_dark,T013-S3,4,25,0.11240370844067574,0.5168747338880224,0,0.1,0.0825,0.013268109249406032,0.008538168599973856,0.04
A,contrast_low,T013-S0,1,25,0.0,0.022975188572715737,1,0.58,0.531875,0.017149171372969875,0.004943022114152885,0.08
A,contrast_low,T013-S0,2,25,0.02367676183480938,0.05367417049917747,0,0.46,0.51328125,0.023622882791513655,0.027642232390597106,0.0
A,contrast_low,T013-S0,3,25,0.053700943980049654,0.1367232864846361,0,0.2,0.2909375,0.02567237260849905,0.017727052225711325,0.0
A,contrast_low,T013-S0,4,25,0.1406905877083019,0.4008400186024881,0,0.14,0.1015625,0.034181410879043035,0.0,0.0
A,contrast_low,T013-S1,1,25,0.0,0.023086095260326366,1,0.62,0.54671875,0.01756477893570975,0.004555745013988179,0.08
A,contrast_low,T013-S1,2,25,0.02365618661114757,0.05348096944434913,0,0.46,0.51125,0.023295189077632596,0.026897920832541472,0.0
A,contrast_low,T013-S1,3,25,0.05380682679003623,0.13696694240214924,0,0.2,0.29015625,0.025680000735657696,0.020277371479516856,0.0
A,contrast_low,T013-S1,4,25,0.14090869780586607,0.401891975847943,0,0.14,0.10109375,0.03371129343265212,0.0,0.0
A,contrast_low,T013-S2,1,25,0.0,0.02377458547523069,1,0.58,0.5453125,0.01555346849236725,0.008021812947241698,0.08
A,contrast_low,T013-S2,2,25,0.02408653881793045,0.053428362678875144,0,0.46,0.4996875,0.02387867267819228,0.023025096983772135,0.0
A,contrast_low,T013-S2,3,25,0.05374038236538038,0.13665317308176086,0,0.18,0.290625,0.023117971217379765,0.02111072721678815,0.0
A,contrast_low,T013-S2,4,25,0.1405265403409864,0.40068294100552165,0,0.18,0.10015625,0.0413632915799835,0.0,0.0
A,contrast_low,T013-S3,1,25,0.0,0.022804847370801275,1,0.64,0.54796875,0.017664997221228627,0.004801097095865422,0.08
A,contrast_low,T013-S3,2,25,0.023635340424473305,0.053752921163104456,0,0.46,0.51140625,0.023568817042242243,0.02740177480525837,0.0
A,contrast_low,T013-S3,3,25,0.053767452598349044,0.13676570037137242,0,0.2,0.29140625,0.02567726874170687,0.017736334008647416,0.0
A,contrast_low,T013-S3,4,25,0.14070934312404856,0.4009025037199974,0,0.14,0.100625,0.03428602890772693,0.0,0.0
A,gaussian_noise,T013-S0,1,25,0.0,0.011745939070985454,1,0.52,0.56109375,0.00569899141860858,0.004381455122444423,0.08
A,gaussian_noise,T013-S0,2,25,0.01213627185809199,0.03442539514981291,0,0.36,0.36640625,0.011119686036637412,0.00600943640908185,0.08
A,gaussian_noise,T013-S0,3,25,0.034910393497469584,0.08326664754112298,0,0.18,0.13984375,0.012775392984621435,0.002775725326767621,0.12
A,gaussian_noise,T013-S0,4,25,0.0839731879193186,0.4191546970447416,0,0.2,0.09453125,0.023117983538544308,0.0,0.08
A,gaussian_noise,T013-S1,1,25,0.0,0.011755056312841641,1,0.5,0.5703125,0.004751443222472841,0.004801744264296966,0.04
A,gaussian_noise,T013-S1,2,25,0.01191406838734589,0.0348117994100295,0,0.4,0.36,0.011882989649381732,0.005300274569118014,0.08
A,gaussian_noise,T013-S1,3,25,0.034896656993356014,0.08328210311711798,0,0.18,0.14015625,0.01255408482092251,0.0035762354646897646,0.12
A,gaussian_noise,T013-S1,4,25,0.08394561431985473,0.4191924973582247,0,0.2,0.09484375,0.02312336309854607,0.0,0.08
A,gaussian_noise,T013-S2,1,25,0.0,0.010779564403317263,1,0.52,0.55515625,0.005321424406956043,0.004883640860719571,0.08
A,gaussian_noise,T013-S2,2,25,0.01174853933417332,0.03453511822302639,0,0.42,0.36875,0.011828146704983446,0.005258391643459152,0.08
A,gaussian_noise,T013-S2,3,25,0.0350461271267738,0.08318436831754633,0,0.18,0.1390625,0.012656445862155112,0.002769762184973461,0.12
A,gaussian_noise,T013-S2,4,25,0.08393299701638302,0.4191282813273898,0,0.2,0.094375,0.023116504520820928,0.0,0.08
A,gaussian_noise,T013-S3,1,25,0.0,0.00986808977086977,1,0.44,0.56765625,0.004303679236213696,0.005018590152854519,0.04
A,gaussian_noise,T013-S3,2,25,0.011737612841450352,0.034442085397499406,0,0.42,0.36671875,0.011833971468283381,0.00527621370976065,0.08
A,gaussian_noise,T013-S3,3,25,0.0348974042314824,0.08322665662005865,0,0.18,0.1403125,0.012672222639446371,0.003241541264154393,0.12
A,gaussian_noise,T013-S3,4,25,0.08386663775814729,0.4188818516635076,0,0.2,0.09328125,0.02311498185872716,0.0,0.08
A,gaussian_blur,T013-S0,1,25,0.00093923094968207,0.017054313829551488,0,0.74,0.6728125,0.008871602429223701,0.007911734193736841,0.12
A,gaussian_blur,T013-S0,2,25,0.0172705130987085,0.0313535940416223,0,0.48,0.42140625,0.018020419637426715,0.012913759611407736,0.04
A,gaussian_blur,T013-S0,3,25,0.03320179681592963,0.07687418496864498,0,0.4,0.238125,0.029290721121826225,0.0034286905124099256,0.12
