bank,context,salt,eligible_clients,zero_gap_clients,fraction_best_class_recovers_half,best_class_histogram
B,contrast_low,T013-S0,41,59,0.6341463414634146,"{""0"": 8, ""1"": 3, ""2"": 3, ""3"": 11, ""4"": 7, ""5"": 2, ""6"": 1, ""7"": 6, ""8"": 0, ""9"": 0}"
B,contrast_low,T013-S1,43,57,0.6511627906976745,"{""0"": 8, ""1"": 3, ""2"": 4, ""3"": 12, ""4"": 7, ""5"": 2, ""6"": 1, ""7"": 6, ""8"": 0, ""9"": 0}"
B,contrast_low,T013-S2,45,55,0.6666666666666666,"{""0"": 10, ""1"": 4, ""2"": 3, ""3"": 12, ""4"": 6, ""5"": 3, ""6"": 1, ""7"": 6, ""8"": 0, ""9"": 0}"
B,contrast_low,T013-S3,42,58,0.6190476190476191,"{""0"": 9, ""1"": 3, ""2"": 3, ""3"": 11, ""4"": 8, ""5"": 1, ""6"": 1, ""7"": 6, ""8"": 0, ""9"": 0}"
B,gaussian_noise,T013-S0,34,66,0.8235294117647058,"{""0"": 3, ""1"": 6, ""2"": 2, ""3"": 6, ""4"": 5, ""5"": 5, ""6"": 1, ""7"": 1, ""8"": 0, ""9"": 5}"
B,gaussian_noise,T013-S1,34,66,0.8529411764705882,"{""0"": 3, ""1"": 4, ""2"": 2, ""3"": 6, ""4"": 5, ""5"": 5, ""6"": 1, ""7"": 2, ""8"": 0, ""9"": 6}"
B,gaussian_noise,T013-S2,34,66,0.7941176470588235,"{""0"": 2, ""1"": 8, ""2"": 3, ""3"": 6, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 1, ""8"": 0, ""9"": 5}"
B,gaussian_noise,T013-S3,34,66,0.8529411764705882,"{""0"": 3, ""1"": 5, ""2"": 3, ""3"": 6, ""4"": 4, ""5"": 4, ""6"": 1, ""7"": 2, ""8"": 0, ""9"": 6}"
B,gaussian_blur,T013-S0,47,53,0.7021276595744681,"{""0"": 5, ""1"": 3, ""2"": 7, ""3"": 7, ""4"": 6, ""5"": 5, ""6"": 1, ""7"": 3, ""8"": 2, ""9"": 8}"
B,gaussian_blur,T013-S1,50,50,0.68,"{""0"": 6, ""1"": 4, ""2"": 7, ""3"": 8, ""4"": 6, ""5"": 3, ""6"": 2, ""7"": 3, ""8"": 3, ""9"": 8}"
B,gaussian_blur,T013-S2,46,54,0.6956521739130435,"{""0"": 6, ""1"": 4, ""2"": 5, ""3"": 8, ""4"": 6, ""5"": 3, ""6"": 1, ""7"": 2, ""8"": 3, ""9"": 8}"
B,gaussian_blur,T013-S3,46,54,0.6521739130434783,"{""0"": 6, ""1"": 4, ""2"": 7, ""3"": 7, ""4"": 6, ""5"": 4, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 8}"
