client,bank,context,label,count,class_d_L1_actual,class_d_L1_null_median,class_d_L1_null_p95,class_d_L1_percentile,class_d_L1_above_p95
0,A,clean,1,2,0.3351300157288093,0.38920871405321755,0.8445004164377663,0.40625,False
0,A,clean,6,1,0.9673199347097234,0.44418827736162,0.9309161896111259,0.953125,True
0,A,clean,7,17,0.2538278093580695,0.151194324741859,0.26368344577309366,0.921875,False
0,A,brightness_dark,1,2,0.23456400453310536,0.3649539921609446,0.6884036061488736,0.1328125,False
0,A,brightness_dark,6,1,0.9791079899586069,0.5177387619542442,1.047353538446573,0.9296875,False
0,A,brightness_dark,7,17,0.17713913448724594,0.1571339473867726,0.26603486028593953,0.6484375,False
0,A,contrast_low,1,2,0.2279163103647072,0.46409157232520065,0.9422807763536695,0.046875,False
0,A,contrast_low,6,1,0.696212105864603,0.4724656155891355,1.1321251958024472,0.7578125,False
0,A,contrast_low,7,17,0.25631049084514973,0.1459760330810217,0.24808737084107893,0.953125,True
0,A,gaussian_noise,1,2,0.3504594817025732,0.41207640820217695,0.8959820678979933,0.40625,False
0,A,gaussian_noise,6,1,0.9991209712118199,0.40358156411952406,0.8789237687641915,0.96875,True
0,A,gaussian_noise,7,17,0.29690954344768344,0.14777461731719443,0.2543637778826284,0.9921875,True
0,A,gaussian_blur,1,2,0.3748385633331866,0.43234576866697816,0.857538917979608,0.4375,False
0,A,gaussian_blur,6,1,0.9491797655428992,0.4556336633316359,1.1229759499308378,0.9140625,False
0,A,gaussian_blur,7,17,0.3228722130838593,0.16067108767955712,0.2616342263574679,1.0,True
0,B,clean,1,2,0.3351300157288093,0.42761882722184663,0.9898118092399545,0.3515625,False
0,B,clean,6,1,0.9673199347097234,0.4759948010529483,1.0214943599870414,0.9296875,False
0,B,clean,7,17,0.2538278093580695,0.17010754717502002,0.2701995618383882,0.8671875,False
0,B,brightness_dark,1,2,0.23942260698215817,0.378446048892793,0.6787742156662679,0.1953125,False
0,B,brightness_dark,6,1,0.9917811544491956,0.4943750647768017,1.1667632255719431,0.921875,False
0,B,brightness_dark,7,17,0.18017565495165835,0.1463938016543232,0.2508808286181241,0.7265625,False
0,B,contrast_low,1,2,0.24480666481253652,0.4167691534541831,0.8087410647817167,0.1953125,False
0,B,contrast_low,6,1,0.7309404543810212,0.48876905917997404,1.1554118993641709,0.859375,False
0,B,contrast_low,7,17,0.25208786800385624,0.14286798608926046,0.24886069352211734,0.953125,True
0,B,gaussian_noise,1,2,0.36126869323945965,0.40493002614835316,0.8652029073356441,0.3671875,False
0,B,gaussian_noise,6,1,0.9887702318572871,0.4510620016689213,1.1153920901943273,0.90625,False
0,B,gaussian_noise,7,17,0.29586781877429125,0.1576883598109914,0.2622613978705837,0.984375,True
0,B,gaussian_blur,1,2,0.37338166139421963,0.3588183334182139,0.7172390419202697,0.5234375,False
0,B,gaussian_blur,6,1,0.9552649724283173,0.4619117884010233,1.0950202838855667,0.921875,False
0,B,gaussian_blur,7,17,0.32732840075586583,0.1651950513580453,0.27352724385449856,0.984375,True
1,A,clean,1,3,0.2892232399597094,0.3255547751457608,0.7025466461451781,0.3671875,False
1,A,clean,7,17,0.1705526338829739,0.160605713274603,0.270817984537856,0.59375,False
1,A,brightness_dark,1,3,0.3089006029985585,0.30683849396612395,0.6027529129747976,0.5,False
1,A,brightness_dark,7,17,0.10942157242522847,0.1562727603243454,0.24519864148487236,0.21875,False
1,A,contrast_low,1,3,0.2965729209059218,0.35177719345874026,0.7101936283990165,0.3515625,False
1,A,contrast_low,7,17,0.10181821462735258,0.13861292938803363,0.26362194465386374,0.2109375,False
1,A,gaussian_noise,1,3,0.23834766716067374,0.3142076783044573,0.6782553229174625,0.2109375,False
1,A,gaussian_noise,7,17,0.19329000283806752,0.16017597209545448,0.27724303107899934,0.671875,False
1,A,gaussian_blur,1,3,0.2786944014101561,0.3242087092201209,0.6544547563138717,0.34375,False
1,A,gaussian_blur,7,17,0.17844278543773304,0.16544210756128164,0.31173533345918575,0.5546875,False
1,B,clean,1,3,0.2892232399597094,0.32280316658871877,0.6408537497617346,0.390625,False
1,B,clean,7,17,0.1705526338829739,0.15544680148299228,0.2628278406691167,0.5859375,False
1,B,brightness_dark,1,3,0.3081369284038886,0.3009520463316181,0.6531511987189922,0.5078125,False
1,B,brightness_dark,7,17,0.11018762855668451,0.14911108452166577,0.24501114650881267,0.28125,False
1,B,contrast_low,1,3,0.2956462191121969,0.3359931255074994,0.6602750627333782,0.3984375,False
1,B,contrast_low,7,17,0.11140154415000157,0.14662282224356682,0.2594550953853944,0.203125,False
1,B,gaussian_noise,1,3,0.24146630355385548,0.3299907425317037,0.6453920272698432,0.1640625,False
1,B,gaussian_noise,7,17,0.18866631707884562,0.15979153190037676,0.26822753105424885,0.7109375,False
1,B,gaussian_blur,1,3,0.2796144391873483,0.3230524559821769,0.6630432201816583,0.359375,False
1,B,gaussian_blur,7,17,0.1817967853079339,0.1695410284178746,0.27418687131574937,0.5703125,False
2,A,clean,3,1,0.7541375645530474,0.6005085132982912,1.1337449323930324,0.6953125,False
2,A,clean,4,1,0.7393207299585137,0.5733203378823606,1.0797101497326038,0.7578125,False
2,A,clean,9,18,0.15250704665436982,0.1420098433623639,0.2784291222467024,0.5625,False
2,A,brightness_dark,3,1,0.6380611138072653,0.4988017286801052,1.096130721753687,0.671875,False
2,A,brightness_dark,4,1,0.7575184097157649,0.5488946463517539,1.0109121896609716,0.8125,False
2,A,brightness_dark,9,18,0.1337319280987821,0.1312412104196567,0.2380142915159628,0.515625,False
2,A,contrast_low,3,1,0.6189085864412569,0.6004635057745685,1.037495598062166,0.53125,False
2,A,contrast_low,4,1,0.7843128418241277,0.5521236480702714,1.4781674383271077,0.8203125,False
2,A,contrast_low,9,18,0.1303877784685439,0.14082423705183145,0.30416543348330854,0.4765625,False
2,A,gaussian_noise,3,1,0.7342001058965055,0.5946984169781446,1.0346307275311883,0.7421875,False
2,A,gaussian_noise,4,1,0.7343453599814016,0.5585301622863899,1.3182101135214401,0.6953125,False
2,A,gaussian_noise,9,18,0.1264009910730149,0.15431761819840817,0.2580261051851556,0.359375,False
2,A,gaussian_blur,3,1,0.7201062599210337,0.6251507272004306,0.9896355835912726,0.734375,False
2,A,gaussian_blur,4,1,0.784314156266521,0.5494260204230119,1.1642043936910065,0.8203125,False
2,A,gaussian_blur,9,18,0.14655820050526705,0.1472410163242645,0.26552488187360934,0.4921875,False
2,B,clean,3,1,0.7541375645530474,0.590911356840844,1.019954022468072,0.7578125,False
2,B,clean,4,1,0.7393207299585137,0.5690075151264439,1.4066081282327056,0.7265625,False
2,B,clean,9,18,0.15250704665436982,0.13846878082777542,0.27257309578375594,0.5625,False
2,B,brightness_dark,3,1,0.6360340579871548,0.5803012939977654,1.068281042921994,0.625,False
2,B,brightness_dark,4,1,0.7551025425176233,0.5150457571425516,1.1954595508045056,0.7734375,False
2,B,brightness_dark,9,18,0.13349507239054068,0.14070646257088087,0.2639410612723458,0.453125,False
2,B,contrast_low,3,1,0.6115016920522491,0.5797560102846677,1.1772060502398705,0.5390625,False
2,B,contrast_low,4,1,0.7852928494238309,0.5732831748815852,1.3830239941147737,0.78125,False
2,B,contrast_low,9,18,0.13550596832877604,0.142446890895708,0.2725782988331376,0.4453125,False
2,B,gaussian_noise,3,1,0.7200363526965269,0.5827614780855166,0.9842708825073547,0.6953125,False
2,B,gaussian_noise,4,1,0.7336800186429699,0.5715202245821456,1.0125106190289688,0.75,False
2,B,gaussian_noise,9,18,0.12208100187683338,0.14556696680169606,0.28607032996729953,0.3671875,False
2,B,gaussian_blur,3,1,0.7177514863133533,0.553554889838884,1.0442333357724716,0.734375,False
2,B,gaussian_blur,4,1,0.7949585592880999,0.604784222391005,1.1518984735416793,0.765625,False
2,B,gaussian_blur,9,18,0.14849373026132442,0.14290571681753556,0.2693972916257084,0.53125,False
3,A,clean,0,20,0.1320560348597649,0.16294268996943656,0.3035031957788263,0.3203125,False
3,A,brightness_dark,0,20,0.1404917041847776,0.1660700184525935,0.31111162955499716,0.3828125,False
3,A,contrast_low,0,20,0.22473656235210182,0.16076125882121323,0.2800778743458315,0.828125,False
3,A,gaussian_noise,0,20,0.1304045247066446,0.16445769614571915,0.30873836577614494,0.2890625,False
3,A,gaussian_blur,0,20,0.14004295432367364,0.1639346695535354,0.2838621381807926,0.3203125,False
3,B,clean,0,20,0.1320560348597649,0.1636965014423301,0.2845065885860549,0.3046875,False
3,B,brightness_dark,0,20,0.14221892820227175,0.158752977369942,0.2660823355950804,0.4140625,False
3,B,contrast_low,0,20,0.23454212120484952,0.15556904160206397,0.2801926942055505,0.8828125,False
3,B,gaussian_noise,0,20,0.1303107576761461,0.15555880159582686,0.2801451581399449,0.3125,False
3,B,gaussian_blur,0,20,0.14101009089728592,0.18152364490836065,0.3108332051227517,0.265625,False
4,A,clean,4,1,1.4906047746745819,0.5162497268863756,1.0619146583729289,0.9921875,True
4,A,clean,5,11,0.15578213655482295,0.19566547160958753,0.3824174158083555,0.2734375,False
4,A,clean,9,8,0.2871595803649754,0.23434877769454932,0.3986828411215473,0.6796875,False
4,A,brightness_dark,4,1,1.4486140555874183,0.5301350695038637,1.0195437652416235,0.9921875,True
4,A,brightness_dark,5,11,0.2095538712603993,0.1913714119313926,0.3025183256464635,0.65625,False
