client,bank,context,salt,coverage,observed_classes,weight_sum,clean_residual_L1,shift_residual_L1,paired_residual_L1_actual,paired_residual_L1_null_median,paired_residual_L1_null_p95,paired_residual_L1_percentile,paired_residual_L1_above_p95,paired_residual_L2_actual,paired_residual_L2_null_median,paired_residual_L2_null_p95,paired_residual_L2_percentile,paired_residual_L2_above_p95,delta_DU_actual,delta_DU_null_median,delta_DU_null_p95,delta_DU_percentile,delta_DU_above_p95,delta_regret_actual,delta_regret_null_median,delta_regret_null_p95,delta_regret_percentile,delta_regret_above_p95,context_excess
0,A,brightness_dark,T013-S0,1.0,3,1.0,0.19379770806734103,0.1282847593094863,0.10680445831628585,0.07613060446266712,0.1273733244943767,0.8984375,False,0.04369266901235646,0.030607087735512913,0.05343125626559226,0.859375,False,-0.052594573309543174,0.00871509675193025,0.07327811048756931,0.0546875,False,-0.027623521186422886,0.0,0.0,0.1484375,False,False
0,A,brightness_dark,T013-S1,1.0,3,1.0,0.19379770806734103,0.1282847593094863,0.10680445831628585,0.07613060446266712,0.1273733244943767,0.8984375,False,0.04369266901235646,0.030607087735512913,0.05343125626559226,0.859375,False,-0.05169129101958324,0.009250957716282449,0.07328289981607353,0.0546875,False,-0.027393676225858525,0.0,0.0,0.15625,False,False
0,A,brightness_dark,T013-S2,1.0,3,1.0,0.19379770806734103,0.1282847593094863,0.10680445831628585,0.07613060446266712,0.1273733244943767,0.8984375,False,0.04369266901235646,0.030607087735512913,0.05343125626559226,0.859375,False,-0.05261211970212132,0.008747272075974321,0.07315558783334986,0.0546875,False,-0.027017791246436464,0.0,0.0,0.140625,False,False
0,A,brightness_dark,T013-S3,1.0,3,1.0,0.19379770806734103,0.1282847593094863,0.10680445831628585,0.07613060446266712,0.1273733244943767,0.8984375,False,0.04369266901235646,0.030607087735512913,0.05343125626559226,0.859375,False,-0.052622997355607035,0.00945425130859581,0.07322002188091718,0.0546875,False,-0.026814373791631308,0.0,0.0,0.1484375,False,False
0,A,contrast_low,T013-S0,1.0,3,1.0,0.19379770806734103,0.19836423556080363,0.12354990715822149,0.08889886365589855,0.15891395455567683,0.8359375,False,0.045339979453178345,0.03860992956045049,0.06629768485907449,0.7109375,False,-0.029878987613608646,0.015007279237683795,0.0864255154852536,0.1484375,False,-0.027623521186422886,0.0,0.05056201446571437,0.0625,False,False
0,A,contrast_low,T013-S1,1.0,3,1.0,0.19379770806734103,0.19836423556080363,0.12354990715822149,0.08889886365589855,0.15891395455567683,0.8359375,False,0.045339979453178345,0.03860992956045049,0.06629768485907449,0.7109375,False,-0.032474632902848896,0.015086831538567852,0.08635372294942839,0.140625,False,-0.027393676225858525,0.0,0.08210600026146724,0.0546875,False,False
0,A,contrast_low,T013-S2,1.0,3,1.0,0.19379770806734103,0.19836423556080363,0.12354990715822149,0.08889886365589855,0.15891395455567683,0.8359375,False,0.045339979453178345,0.03860992956045049,0.06629768485907449,0.7109375,False,-0.03087854445199205,0.014997081436796931,0.08635912501778914,0.1484375,False,-0.027017791246436464,0.0,0.050069131645002214,0.0546875,False,False
0,A,contrast_low,T013-S3,1.0,3,1.0,0.19379770806734103,0.19836423556080363,0.12354990715822149,0.08889886365589855,0.15891395455567683,0.8359375,False,0.045339979453178345,0.03860992956045049,0.06629768485907449,0.7109375,False,-0.03255514531855605,0.015038724914376505,0.08644919444964312,0.140625,False,-0.026814373791631308,0.0,0.09701852396777697,0.0546875,False,False
0,A,gaussian_noise,T013-S0,1.0,3,1.0,0.19379770806734103,0.20637971715712874,0.04350506498275887,0.0383807966068934,0.05862627599169642,0.6875,False,0.017644147997212783,0.015745610994612632,0.023848867908528058,0.6640625,False,0.04839462966629038,0.003996693458635606,0.04015720178416635,0.9765625,True,-0.027623521186422886,0.0,0.0,0.0546875,False,True
0,A,gaussian_noise,T013-S1,1.0,3,1.0,0.19379770806734103,0.20637971715712874,0.04350506498275887,0.0383807966068934,0.05862627599169642,0.6875,False,0.017644147997212783,0.015745610994612632,0.023848867908528058,0.6640625,False,0.04825449017764109,0.003873421301335874,0.04016614164136907,0.9765625,True,-0.027393676225858525,0.0,0.017074926717522934,0.0546875,False,True
