direction,context,mean,median,min,max
A_to_B,clean,15.566026487239135,17.08420961884621,9.094342587070498,19.001344124193626
A_to_B,brightness_dark,189.61862585839816,188.40493951225187,184.923402927206,196.74122148188292
A_to_B,contrast_low,34.749612092805506,33.39716272699529,25.469343461252556,46.734779455978895
A_to_B,gaussian_noise,20.468543152412728,19.646192285271397,18.492760475639113,24.08902756346901
A_to_B,gaussian_blur,20.262850739736464,20.08476159792423,18.166718081766103,22.71516168133129
B_to_A,clean,14.92593097343828,14.39448169010442,12.17585367922156,18.73890683432272
B_to_A,brightness_dark,203.01290426109503,203.5934627361931,194.11658902075945,210.74810255123447
B_to_A,contrast_low,35.94447436296119,34.415760194148035,25.36900452407506,49.577372539473636
B_to_A,gaussian_noise,22.002248792397268,22.257522161337157,16.211366560669298,27.282584286245463
B_to_A,gaussian_blur,19.001605821482602,22.06483055242405,7.197762374725602,24.678999806356707
