client,support_label_entropy_nats,max_class_fraction,prior_correct_gain,affine_correct_gain,affine_shuffled_gain,affine_noise_gain
0,0.7277259541583039,0.75,48.31460416316986,29.775282740592957,31.460675597190857,38.764044642448425
1,0.40594830462816345,0.90625,70.70707380771637,33.33333432674408,35.353535413742065,43.43434274196625
2,0.21904558217698628,0.953125,82.14285662397742,8.571428712457418,9.285714384168386,12.142857816070318
3,-0.0,1.0,83.3333358168602,36.11110895872116,36.11110895872116,49.99999850988388
4,0.810043009913175,0.5,70.4761914908886,9.5238097012043,12.380952388048172,14.28571417927742
5,1.0479292083955523,0.484375,37.97468543052673,14.556962251663208,14.556962251663208,17.721518874168396
6,0.6931471805599453,0.5,22.60536551475525,18.390804529190063,18.390804529190063,16.475093364715576
7,0.6207830592954232,0.75,70.55837661027908,55.32995015382767,57.86801725625992,56.34517818689346
8,0.42386643141349134,0.875,66.83937609195709,30.051812529563904,32.12434947490692,37.30569779872894
9,0.5893940503468431,0.828125,59.659095108509064,26.13636404275894,27.840907871723175,34.090907871723175
10,1.0184608588156765,0.609375,35.81559956073761,12.765955924987793,13.829785585403442,21.985813975334167
11,0.6887461892700277,0.546875,23.888885974884033,22.22222089767456,23.888885974884033,15.555554628372192
12,0.6547827748632178,0.8125,54.87804710865021,33.53658616542816,35.3658527135849,35.3658527135849
13,0.78207490706799,0.71875,23.749995231628418,18.75,17.499995231628418,18.75
14,0.2337916587064593,0.9375,42.2535240650177,35.21127104759216,35.21127104759216,33.80281925201416
15,-0.0,1.0,98.72881174087524,63.55932354927063,63.55932354927063,86.44067645072937
16,1.1000837050313466,0.6065573770491803,9.52380895614624,0.0,-4.76190447807312,9.52380895614624
17,0.8126080784496044,0.6875,14.942526817321777,13.793104887008667,13.793104887008667,12.643676996231079
18,0.7697761617721899,0.7,70.00000104308128,10.000000149011612,10.000000149011612,10.000000149011612
19,1.1334305279990056,0.546875,28.57142984867096,20.879122614860535,23.076924681663513,23.076924681663513
20,-0.0,1.0,21.052634716033936,20.394736528396606,20.394736528396606,21.052634716033936
21,-0.0,1.0,98.34710359573364,61.570245027542114,61.570245027542114,90.08263945579529
22,0.6926588198060253,0.515625,27.99999713897705,7.428568601608276,8.571428060531616,-0.5714297294616699
23,0.9380974635133619,0.671875,21.42857313156128,20.714282989501953,23.571425676345825,21.42857313156128
24,0.7541371475005096,0.734375,71.50837928056717,10.614524781703949,11.731843650341034,1.1173184961080551
25,1.4387612006162471,0.375,27.77777910232544,-5.55555522441864,-8.33333432674408,-8.33333432674408
26,0.31325985468909356,0.921875,21.47887349128723,20.07042169570923,19.718313217163086,19.718313217163086
27,-0.0,1.0,15.897440910339355,15.897440910339355,15.897440910339355,15.897440910339355
28,1.2905726799196684,0.53125,7.692307233810425,7.692307233810425,7.692307233810425,7.692307233810425
29,-0.0,1.0,24.08376932144165,24.08376932144165,24.08376932144165,23.560208082199097
30,0.6887461892700277,0.546875,36.72727644443512,26.181820034980774,26.181820034980774,30.181822180747986
31,0.1607216478472394,0.96875,34.65346693992615,34.15842056274414,34.15842056274414,34.15842056274414
32,1.459266312240559,0.3125,30.303028225898743,7.575756311416626,10.101008415222168,11.11111044883728
33,0.6887461892700277,0.546875,66.66666567325592,30.303028225898743,31.060603260993958,28.409090638160706
34,1.0205209607887606,0.640625,47.05882370471954,29.411765933036804,28.431370854377747,28.431370854377747
35,0.6382837577939022,0.734375,17.142856121063232,18.285715579986572,17.142856121063232,10.857141017913818
36,1.2190935834570038,0.5555555555555556,50.00000149011612,27.77777761220932,22.22222238779068,22.22222238779068
37,0.9840865030829146,0.5,36.24999821186066,6.25,8.749997615814209,6.25
38,0.21904558217698628,0.953125,27.99999713897705,19.999998807907104,19.999998807907104,23.99999499320984
39,-0.0,1.0,48.12500476837158,48.750001192092896,48.750001192092896,48.750001192092896
40,0.1607216478472394,0.96875,88.80000272765756,8.400000724941492,8.400000724941492,14.000000152736902
41,0.7700070990185709,0.796875,67.9999977350235,41.999998688697815,45.00000178813934,40.00000059604645
42,0.902393348659281,0.53125,28.437501192092896,10.9375,6.25,-6.25
43,0.6754645824509031,0.59375,73.73737245798111,23.73737543821335,27.77777761220932,36.868686974048615
44,0.829150039504599,0.671875,22.972974181175232,-1.351352035999298,-1.351352035999298,8.108106255531311
45,0.8245837046854445,0.7368421052631579,30.7692289352417,30.7692289352417,30.7692289352417,30.7692289352417
46,0.4841930878831595,0.84375,68.35443377494812,40.5063271522522,40.5063271522522,48.101264238357544
47,1.09921304177399,0.515625,15.625,15.625,12.5,9.375
48,0.993256617002824,0.609375,63.35403956472874,21.118012443184853,29.192546382546425,36.64596416056156
49,0.34520662539160074,0.890625,68.31683218479156,54.45544421672821,53.46534550189972,51.98020040988922
50,0.799398343828767,0.71875,28.925621509552002,26.446282863616943,28.099173307418823,26.446282863616943
51,0.33987883041406175,0.9166666666666666,66.66666865348816,8.33333358168602,8.33333358168602,8.33333358168602
52,0.617852006431858,0.8125,33.33333432674408,37.50000298023224,37.50000298023224,37.50000298023224
53,0.617852006431858,0.8125,50.41322112083435,34.71074104309082,35.537189245224,38.842976093292236
54,0.8344342362998902,0.71875,35.44303476810455,19.409281015396118,20.67510187625885,23.62869083881378
55,0.3111291548118492,0.90625,25.238096714019775,21.90476655960083,22.380954027175903,23.333334922790527
56,1.3513648138664103,0.5,42.3728808760643,-0.8474588394165039,-0.8474588394165039,-5.93220442533493
57,1.2506691589242007,0.53125,18.803417682647705,12.820512056350708,11.965811252593994,7.692307233810425
58,0.37677016125643675,0.875,67.85714440047741,0.0,0.0,0.0
59,1.3456745761485815,0.328125,24.468085169792175,4.255321621894836,8.510640263557434,-1.0638296604156494
60,-0.0,1.0,79.99999821186066,40.21052420139313,40.21052420139313,50.52631199359894
61,0.9678521058452176,0.6744186046511628,40.00000283122063,40.00000283122063,40.00000283122063,40.00000283122063
62,1.222400967178593,0.5,46.666666865348816,2.666667103767395,1.3333335518836975,4.0000006556510925
63,0.9296920490585786,0.5625,26.97674036026001,18.139535188674927,19.069766998291016,18.604648113250732
64,1.1670451879109545,0.609375,42.51968413591385,33.07086378335953,33.07086378335953,33.07086378335953
65,-0.0,1.0,76.97368413209915,40.131576359272,40.131576359272,55.263157188892365
66,0.6369435085779154,0.828125,74.22680296003819,2.0618557929992676,1.5463918447494507,-0.515463761985302
67,1.271525474043448,0.515625,40.24389982223511,19.512194395065308,21.95121943950653,4.8780471086502075
68,0.9391723463378028,0.546875,11.79039180278778,9.170305728912354,10.043668746948242,9.606987237930298
69,0.37824240286658845,0.921875,61.97182983160019,34.5070406794548,35.211263597011566,39.436618983745575
70,0.5597895354472247,0.796875,12.987011671066284,16.883116960525513,16.883116960525513,18.18181872367859
71,0.5115867519685875,0.84375,77.77777835726738,22.22222313284874,38.88888880610466,55.55555745959282
72,1.0790404382413505,0.609375,21.118009090423584,8.695650100708008,9.316772222518921,10.559004545211792
73,1.1286122713188367,0.421875,24.99999701976776,22.807016968727112,22.807016968727112,24.561402201652527
74,0.7494278350798531,0.796875,18.90243887901306,20.121949911117554,20.7317054271698,20.7317054271698
75,1.0261302866102477,0.515625,30.4999977350235,16.499999165534973,15.50000011920929,9.000000357627869
76,0.959109890063027,0.484375,10.77844500541687,11.976051330566406,11.976051330566406,8.982038497924805
77,0.6808899872666533,0.578125,38.95348906517029,25.0,26.16279125213623,27.906978130340576
78,0.6831223881008303,0.6875,57.1428582072258,22.448979318141937,23.469386994838715,24.489794671535492
79,0.5388455753759137,0.8333333333333334,44.44444179534912,38.88888955116272,38.88888955116272,38.88888955116272
80,0.6652273750632514,0.796875,10.000002384185791,11.250001192092896,11.250001192092896,10.000002384185791
81,0.19882157810301943,0.9591836734693877,76.47058889269829,17.64706000685692,17.64706000685692,35.29411777853966
82,0.6099263025504231,0.8125,63.80368173122406,38.650307059288025,38.650307059288025,40.49079716205597
83,0.5772703053002767,0.828125,23.968565464019775,13.35952877998352,14.341843128204346,14.931237697601318
84,0.8498770601102161,0.59375,10.236221551895142,10.629922151565552,11.417323350906372,11.417323350906372
85,0.6931471805599453,0.5,20.720720291137695,16.2162184715271,16.66666865348816,17.56756901741028
86,1.0267424465585477,0.46875,55.000001192092896,12.5,10.000000894069672,15.000000596046448
87,0.5586830221256421,0.84375,60.66666543483734,46.00000083446503,44.00000274181366,44.66666877269745
88,0.9991592573836834,0.625,12.987014651298523,11.688312888145447,11.688312888145447,11.688312888145447
89,1.2759014399796256,0.53125,48.38709533214569,14.193546772003174,16.129031777381897,23.870965838432312
90,1.3029891372539215,0.46875,19.354838132858276,16.129031777381897,16.129031777381897,19.354838132858276
91,0.6804265200365103,0.765625,67.21311435103416,7.103825360536575,8.196721225976944,12.568306177854538
92,0.7431098912098038,0.71875,8.333337306976318,7.291668653488159,7.291668653488159,5.208337306976318
