client,bank,target,alpha,J,consistency_js,flip_top1_agreement,entropy_original,entropy_flip,prob_margin_original
0,A,brightness_dark,0.0,289.7686342312338,0.00063602013222261,0.9500000000000001,1.77038456132044,1.7775322551030959,0.11660755399782229
0,A,brightness_dark,0.25,217.189240414877,0.001117600899695266,0.9,1.8053001869398917,1.8097925616287645,0.11217974964472377
0,A,brightness_dark,0.5,175.3284804507089,0.0018726807264456567,0.8500000000000001,1.819443010042642,1.820291213246106,0.12354518314334012
0,A,brightness_dark,0.75,141.01571011235703,0.002991134823130258,0.8,1.8078929458476645,1.805405397491644,0.1258626287880061
0,A,brightness_dark,1.0,129.61066205531327,0.004454687072243926,0.8500000000000001,1.7665399558928632,1.7612456554543798,0.15694377821458894
0,A,brightness_dark,1.25,134.35734068918072,0.006254377474871786,0.75,1.6915704159317972,1.682328389436762,0.20530223272332138
0,A,brightness_dark,1.5,158.04732423404442,0.008241189593909402,0.8,1.5914125710769218,1.575420628379978,0.26596766213855155
0,B,brightness_dark,0.0,289.8022787782696,0.00063602013222261,0.9500000000000001,1.77038456132044,1.7775322551030959,0.11660755399782229
0,B,brightness_dark,0.25,216.4935831970491,0.0011349021296792024,0.9,1.8042701004267379,1.8088905245014257,0.11209494894513505
0,B,brightness_dark,0.5,174.65852320581482,0.0019276533238955585,0.8500000000000001,1.8163775620542955,1.8175863799683818,0.12524658193664778
0,B,brightness_dark,0.75,141.63491073972273,0.0031177749832847898,0.75,1.8030721462210832,1.8011256636931436,0.12701588023282848
0,B,brightness_dark,1.0,131.6007728011531,0.004684323864848049,0.8500000000000001,1.7605516101347196,1.7559797454670367,0.15859045484767653
0,B,brightness_dark,1.25,149.42544275572507,0.00661111227705093,0.8500000000000001,1.6852957926738108,1.6765015481712304,0.20673329219445563
0,B,brightness_dark,1.5,147.3857834437503,0.008670036747981965,0.8,1.5863021955894743,1.5703403104897915,0.263662705062299
0,A,contrast_low,0.0,115.7570914845027,0.0005046057995641696,0.9,1.8008106143414189,1.8022742148542612,0.11634947282051021
0,A,contrast_low,0.25,72.59904101835042,0.0007529683266383314,0.9500000000000001,1.8102899081353243,1.810784264905986,0.13357244350933994
0,A,contrast_low,0.5,43.77821615463874,0.001073627268740809,0.9,1.796317984972194,1.7958161737732525,0.15482473060812327
0,A,contrast_low,0.75,25.849096407640946,0.0014400647235349108,1.0,1.7503988974534412,1.7507371237173666,0.16873528236032045
0,A,contrast_low,1.0,17.02990287119618,0.0018304550979787863,0.9,1.67294100276502,1.6778221609279882,0.21042881209418637
0,A,contrast_low,1.25,16.28397660915391,0.0022637779804896524,0.8500000000000001,1.5768337700147563,1.5890386090471116,0.2517494352184373
0,A,contrast_low,1.5,22.78469142747484,0.002759333293081959,0.8500000000000001,1.469168828808371,1.4893510875282505,0.3020492299447112
0,B,contrast_low,0.0,115.81774853465166,0.0005046057995641696,0.9,1.8008106143414189,1.8022742148542612,0.11634947282051021
0,B,contrast_low,0.25,73.26290698530136,0.0007314752338250714,1.0,1.8051403223087612,1.8054023278710165,0.1356308410050876
0,B,contrast_low,0.5,44.92870453082186,0.0010185771184204003,0.9500000000000001,1.785162128862968,1.783772328720825,0.16033718518725767
0,B,contrast_low,0.75,27.446728709254522,0.0013550994482140082,0.9500000000000001,1.729365702888307,1.7282754629096908,0.18376192264302155
0,B,contrast_low,1.0,19.133474385434965,0.0017452904452301265,0.9500000000000001,1.6411011434595169,1.6443400250126032,0.23639913400823734
0,B,contrast_low,1.25,19.04009895958181,0.0022217535675150245,0.9,1.5380424484279567,1.5483191989099234,0.2737139638899359
0,B,contrast_low,1.5,26.360412736739264,0.0027963216112384805,0.9500000000000001,1.4225033382506242,1.4407702655191537,0.32653911491663423
0,A,gaussian_noise,0.0,31.074282466813337,0.004056826434371993,0.8,1.5959672405327725,1.6111694965214856,0.22436897931074526
0,A,gaussian_noise,0.25,21.030322726590487,0.00407257382064703,0.9500000000000001,1.631395480105187,1.6492139684626226,0.21066745595719671
0,A,gaussian_noise,0.5,13.303309991495563,0.004066477707518154,0.8500000000000001,1.6701636309729058,1.6905202090656237,0.1936650774614977
0,A,gaussian_noise,0.75,8.392901360947612,0.00404447962568196,0.7000000000000001,1.710810175307177,1.7336520850150725,0.179359616221079
0,A,gaussian_noise,1.0,6.851820819238567,0.004006378096088044,0.8500000000000001,1.7520595436172748,1.7771137559300305,0.16958424905091368
0,A,gaussian_noise,1.25,9.478356306086082,0.003925628042130268,0.75,1.7924521118512584,1.819174555866681,0.15889988161808585
0,A,gaussian_noise,1.5,17.53508752490359,0.0038049032187127472,0.8500000000000001,1.8303082021619081,1.8581639306107538,0.1439755538068111
