bank,target,zero,alpha1,best_ray,J_ray,PC_ray_safe,best5,best5_gain,ray_gain,ray_capture,amplitude_gain,RAY_CAPTURE,J_ray_retained,PC_ray_safe_retained
A,brightness_dark,17.54602645421106,32.296535703287994,37.762385140747774,32.021470708402624,17.54602645421106,35.71212098775697,18.16609453354591,20.21635868653671,1.1128621316598757,5.465849437459781,True,0.7160262873566661,0.0
A,contrast_low,19.95526398771052,28.561473420506015,31.488674888379684,27.91927826152978,19.95526398771052,33.993165573204436,14.037901585493914,11.533410900669164,0.8215908076024149,2.9272014678736675,True,0.6905168247631922,0.0
A,gaussian_noise,30.67664385146025,32.499557590179315,35.005459609037715,32.060531644761745,32.76403387011025,37.82584247081631,7.149198619356064,4.328815757577464,0.605496642079216,2.505902018858394,False,0.3196920060363028,0.4822080992927651
A,gaussian_blur,30.901579176174376,33.04849966816344,35.42187385267402,31.856069742413457,32.20638726205849,40.34361420160645,9.44203502543207,4.520294676499641,0.4787415704691046,2.373374184510581,False,0.21115671312344692,0.2886555366993279
B,brightness_dark,17.54602645421106,32.424807666744606,37.96829240848476,32.1675823742088,17.54602645421106,35.686069885278705,18.140043431067642,20.422265954273698,1.1258113042495475,5.543484741740153,True,0.7159614879531984,0.0
B,contrast_low,19.95526398771052,28.1116255098242,31.222781534124525,27.023720189579798,19.95526398771052,33.8623402598192,13.907076272108677,11.267517546414005,0.8102003128444448,3.1111560243003247,True,0.6273303922316837,0.0
B,gaussian_noise,30.67664385146025,32.40677112345036,34.74780268535172,32.107351070422155,32.68580039864816,37.89482730277534,7.218183451315092,4.0711588338914755,0.5640143204104552,2.341031561901357,False,0.35142505545389,0.4935097423520153
B,gaussian_blur,30.901579176174376,33.00991908737378,35.56081100211914,31.989415399513955,32.286395653524146,40.37421759118641,9.472638415012032,4.659231825944759,0.49186210027408095,2.5508919147453555,False,0.23347973742838973,0.2972199128702874
