client,bank,quartile,max_context_count,clean,brightness_dark,contrast_low,gaussian_noise,gaussian_blur
52,B,1,5,3,0,0,5,0
53,B,2,2,0,1,2,0,2
54,B,2,4,0,4,1,0,0
55,B,1,2,2,1,1,2,0
56,B,4,4,2,0,0,4,0
57,B,4,2,2,1,1,1,1
58,B,1,5,3,4,5,3,4
59,B,4,3,0,2,2,1,3
60,B,1,4,0,1,0,4,0
61,B,3,5,0,5,0,0,0
62,B,4,4,0,4,0,2,0
63,B,3,2,2,1,1,0,1
64,B,4,5,0,5,0,0,0
65,B,1,5,0,5,0,0,0
66,B,2,3,1,3,1,1,0
67,B,4,3,0,3,2,0,0
68,B,4,5,0,0,5,0,0
69,B,3,4,0,4,1,0,0
70,B,2,3,0,1,1,3,1
71,B,3,3,0,3,0,3,0
72,B,4,4,0,4,1,0,0
73,B,4,5,0,5,0,0,0
74,B,1,2,2,1,0,0,2
75,B,4,3,1,0,3,0,2
76,B,3,2,2,1,1,0,1
77,B,2,5,0,0,0,5,0
78,B,3,5,0,5,0,0,0
79,B,2,5,0,1,0,5,0
80,B,1,2,1,1,0,1,2
81,B,1,5,0,5,0,0,0
82,B,1,5,0,5,0,0,0
83,B,2,3,0,1,1,3,0
84,B,4,2,2,0,0,1,2
85,B,2,5,0,5,0,0,0
86,B,4,5,0,5,0,0,0
87,B,2,2,1,2,1,2,0
88,B,4,2,1,1,0,1,2
89,B,2,5,0,5,0,0,0
90,B,4,5,0,5,1,0,0
91,B,2,3,0,3,2,2,0
92,B,3,2,0,1,2,0,2
93,B,1,3,0,3,2,0,2
94,B,1,5,0,5,0,0,0
95,B,3,4,1,1,4,0,2
96,B,1,3,0,3,2,0,1
97,B,3,5,0,0,0,5,0
98,B,3,5,0,5,0,0,0
99,B,4,5,0,5,0,0,0
