client,bank,target,J_ray,PC_ray_safe
72,B,gaussian_noise,1.0,0.0
72,A,gaussian_blur,1.0,0.0
72,B,gaussian_blur,1.0,0.0
73,A,brightness_dark,1.0,0.0
73,B,brightness_dark,1.0,0.0
73,A,contrast_low,1.25,0.0
73,B,contrast_low,1.25,0.0
73,A,gaussian_noise,1.0,1.5
73,B,gaussian_noise,1.0,1.5
73,A,gaussian_blur,1.0,0.0
73,B,gaussian_blur,1.0,0.0
74,A,brightness_dark,1.25,0.0
74,B,brightness_dark,1.0,0.0
74,A,contrast_low,1.25,0.0
74,B,contrast_low,1.25,0.0
74,A,gaussian_noise,1.0,0.0
74,B,gaussian_noise,1.0,0.0
74,A,gaussian_blur,1.5,0.0
74,B,gaussian_blur,1.25,0.0
75,A,brightness_dark,1.0,0.0
75,B,brightness_dark,1.0,0.0
75,A,contrast_low,0.75,0.0
75,B,contrast_low,0.75,0.0
75,A,gaussian_noise,1.0,0.75
75,B,gaussian_noise,1.0,0.5
75,A,gaussian_blur,0.75,0.0
75,B,gaussian_blur,0.75,0.0
76,A,brightness_dark,1.0,0.0
76,B,brightness_dark,1.0,0.0
76,A,contrast_low,1.25,0.0
76,B,contrast_low,1.25,0.0
76,A,gaussian_noise,0.75,1.5
76,B,gaussian_noise,0.75,1.5
76,A,gaussian_blur,1.25,0.0
76,B,gaussian_blur,1.25,0.0
77,A,brightness_dark,1.25,0.0
77,B,brightness_dark,1.0,0.0
77,A,contrast_low,1.25,0.0
77,B,contrast_low,1.25,0.0
77,A,gaussian_noise,0.75,1.5
77,B,gaussian_noise,0.75,1.5
77,A,gaussian_blur,1.5,0.0
77,B,gaussian_blur,1.25,0.0
78,A,brightness_dark,1.0,0.0
78,B,brightness_dark,1.0,0.0
78,A,contrast_low,1.25,0.0
78,B,contrast_low,1.25,0.0
78,A,gaussian_noise,0.75,1.5
78,B,gaussian_noise,1.0,1.5
78,A,gaussian_blur,1.25,0.0
78,B,gaussian_blur,1.25,0.0
79,A,brightness_dark,1.25,0.0
79,B,brightness_dark,1.5,0.0
79,A,contrast_low,1.25,0.0
79,B,contrast_low,1.25,0.0
79,A,gaussian_noise,0.75,1.0
79,B,gaussian_noise,0.75,1.25
79,A,gaussian_blur,1.5,0.0
79,B,gaussian_blur,1.5,0.0
80,A,brightness_dark,1.25,0.0
80,B,brightness_dark,1.0,0.0
80,A,contrast_low,1.25,0.0
80,B,contrast_low,1.25,0.0
80,A,gaussian_noise,1.0,1.25
80,B,gaussian_noise,1.0,1.5
80,A,gaussian_blur,1.25,0.0
80,B,gaussian_blur,1.25,0.0
81,A,brightness_dark,1.0,0.0
81,B,brightness_dark,1.0,0.0
81,A,contrast_low,1.25,0.0
81,B,contrast_low,1.25,0.0
81,A,gaussian_noise,1.0,1.5
81,B,gaussian_noise,1.0,1.5
81,A,gaussian_blur,1.0,0.0
81,B,gaussian_blur,1.0,0.0
82,A,brightness_dark,1.25,0.0
82,B,brightness_dark,1.0,0.0
82,A,contrast_low,1.25,0.0
82,B,contrast_low,1.25,0.0
82,A,gaussian_noise,1.0,1.25
82,B,gaussian_noise,1.0,1.5
82,A,gaussian_blur,1.0,0.0
82,B,gaussian_blur,1.0,0.0
83,A,brightness_dark,1.0,0.0
83,B,brightness_dark,1.0,0.0
83,A,contrast_low,1.0,0.0
83,B,contrast_low,1.25,0.0
83,A,gaussian_noise,0.75,1.25
83,B,gaussian_noise,0.75,1.25
83,A,gaussian_blur,1.25,0.0
83,B,gaussian_blur,1.25,0.0
84,A,brightness_dark,1.0,0.0
84,B,brightness_dark,1.0,0.0
84,A,contrast_low,1.25,0.0
84,B,contrast_low,1.25,0.0
84,A,gaussian_noise,0.75,1.5
84,B,gaussian_noise,1.0,0.75
84,A,gaussian_blur,1.25,0.0
84,B,gaussian_blur,1.25,0.0
85,A,brightness_dark,1.0,0.0
85,B,brightness_dark,1.0,0.0
85,A,contrast_low,1.25,0.0
85,B,contrast_low,1.25,0.0
85,A,gaussian_noise,1.0,0.0
85,B,gaussian_noise,1.0,1.25
85,A,gaussian_blur,1.25,0.0
85,B,gaussian_blur,1.0,0.0
86,A,brightness_dark,1.0,0.0
86,B,brightness_dark,1.0,0.0
86,A,contrast_low,1.0,0.0
86,B,contrast_low,1.0,0.0
86,A,gaussian_noise,1.0,1.25
86,B,gaussian_noise,1.0,1.5
86,A,gaussian_blur,1.0,0.0
86,B,gaussian_blur,1.0,0.0
87,A,brightness_dark,1.0,0.0
87,B,brightness_dark,1.0,0.0
87,A,contrast_low,1.25,0.0
87,B,contrast_low,1.25,0.0
87,A,gaussian_noise,0.75,1.25
87,B,gaussian_noise,0.75,1.25
87,A,gaussian_blur,1.25,0.0
87,B,gaussian_blur,1.25,0.0
88,A,brightness_dark,1.0,0.0
88,B,brightness_dark,1.0,0.0
88,A,contrast_low,1.0,0.0
88,B,contrast_low,1.0,0.0
88,A,gaussian_noise,1.0,0.0
88,B,gaussian_noise,1.0,0.0
88,A,gaussian_blur,1.0,0.0
88,B,gaussian_blur,1.0,0.0
89,A,brightness_dark,1.0,0.0
89,B,brightness_dark,1.0,0.0
89,A,contrast_low,1.25,0.0
89,B,contrast_low,1.25,0.0
89,A,gaussian_noise,0.75,0.5
89,B,gaussian_noise,0.75,1.25
89,A,gaussian_blur,1.25,0.0
