client,bank,target,candidate,DeltaC,DeltaJ,DeltaAcc
0,A,clean,clean,0.0,0.0,0.0
0,A,clean,brightness_dark,-0.02109750825872627,-3263.5333693464477,8.426966292134832
0,A,clean,contrast_low,-0.0030635552806937416,-201.37159060136068,-4.49438202247191
0,A,clean,gaussian_noise,0.00032449501044961486,-10.875069200122061,-0.5617977528089888
0,A,clean,gaussian_blur,-0.0017678830209161738,-28.165654492040147,1.6853932584269662
0,B,clean,clean,0.0,0.0,0.0
0,B,clean,brightness_dark,-0.020085984135308734,-2469.2103467298202,8.98876404494382
0,B,clean,contrast_low,-0.00188527236905463,-226.09835976371045,-3.3707865168539324
0,B,clean,gaussian_noise,0.00037835104749384726,-10.755386352094218,-1.1235955056179776
0,B,clean,gaussian_blur,-0.001881944993765581,-33.22187612834298,2.247191011235955
0,A,brightness_dark,clean,0.0,0.0,0.0
0,A,brightness_dark,brightness_dark,-0.003818666940021316,160.15797217592055,24.719101123595507
0,A,brightness_dark,contrast_low,-0.0017823606933612482,17.582802080298848,11.797752808988765
0,A,brightness_dark,gaussian_noise,5.378298440397364e-05,-52.28748748958435,-3.932584269662921
0,A,brightness_dark,gaussian_blur,-0.000303417455279318,29.099238194858003,8.426966292134832
0,B,brightness_dark,clean,0.0,0.0,0.0
0,B,brightness_dark,brightness_dark,-0.004048303732625439,158.2015059771165,24.719101123595507
0,B,brightness_dark,contrast_low,-0.0017897136127300358,17.192436238976256,10.112359550561798
0,B,brightness_dark,gaussian_noise,5.800326149821397e-05,-52.398751146932455,-3.3707865168539324
0,B,brightness_dark,gaussian_blur,-0.0003279543159997206,31.734000794296435,8.426966292134832
0,A,contrast_low,clean,0.0,0.0,0.0
0,A,contrast_low,brightness_dark,-0.004003415815835111,-750.5972582470965,5.617977528089888
0,A,contrast_low,contrast_low,-0.0013258492984146166,98.72718861330651,14.044943820224718
0,A,contrast_low,gaussian_noise,4.6998906198381064e-05,-72.97313948473484,-1.6853932584269662
0,A,contrast_low,gaussian_blur,-0.00021163105892281215,51.30300122377892,4.49438202247191
0,B,contrast_low,clean,0.0,0.0,0.0
0,B,contrast_low,brightness_dark,-0.00400577717076725,-471.2236147060688,5.056179775280899
0,B,contrast_low,contrast_low,-0.0012406846456659568,96.68427414921669,15.168539325842696
0,B,contrast_low,gaussian_noise,4.397351462107849e-05,-71.87358499313453,-1.6853932584269662
0,B,contrast_low,gaussian_blur,-0.00022542614506346973,53.60801099860972,4.49438202247191
0,A,gaussian_noise,clean,0.0,0.0,0.0
0,A,gaussian_noise,brightness_dark,-0.023651329271077177,-2780.8471480224152,8.426966292134832
0,A,gaussian_noise,contrast_low,0.0013746934163662923,-414.13614256595855,-7.865168539325842
0,A,gaussian_noise,gaussian_noise,5.044833828394841e-05,24.222461647574768,0.0
0,A,gaussian_noise,gaussian_blur,5.677731601047998e-05,-81.96922433433673,-2.808988764044944
0,B,gaussian_noise,clean,0.0,0.0,0.0
0,B,gaussian_noise,brightness_dark,-0.022764723410745823,-2057.9025876747432,8.98876404494382
0,B,gaussian_noise,contrast_low,0.0018571770353698167,-476.4538816226684,-9.55056179775281
0,B,gaussian_noise,gaussian_noise,0.00012502999780601189,25.64476138892754,0.0
0,B,gaussian_noise,gaussian_blur,0.00012274880715294322,-94.18579041212115,-2.247191011235955
0,A,gaussian_blur,clean,0.0,0.0,0.0
0,A,gaussian_blur,brightness_dark,-0.02005552133474261,-1955.838690322907,10.674157303370787
0,A,gaussian_blur,contrast_low,-0.004177394294643521,-41.218656129313615,5.617977528089888
0,A,gaussian_blur,gaussian_noise,0.00017513707062524753,-37.516342399395484,-1.6853932584269662
0,A,gaussian_blur,gaussian_blur,-0.0009864316988154494,11.865236970228782,5.617977528089888
0,B,gaussian_blur,clean,0.0,0.0,0.0
0,B,gaussian_blur,brightness_dark,-0.01939010521837231,-1557.685102326631,12.359550561797754
0,B,gaussian_blur,contrast_low,-0.003575720908166999,-45.50748681214817,9.55056179775281
0,B,gaussian_blur,gaussian_noise,0.0001984921420394841,-36.92726550678829,-1.6853932584269662
0,B,gaussian_blur,gaussian_blur,-0.0010486733068077033,11.47941947449339,6.741573033707865
1,A,clean,clean,0.0,0.0,0.0
1,A,clean,brightness_dark,-0.02496480868703095,-4515.891010209726,22.22222222222222
1,A,clean,contrast_low,-0.0037062813727730785,-227.84744328998687,1.0101010101010102
1,A,clean,gaussian_noise,0.00040060107194346377,-12.110471410138544,1.0101010101010102
1,A,clean,gaussian_blur,-0.0011695108395684264,-30.23916451575606,4.040404040404041
1,B,clean,clean,0.0,0.0,0.0
1,B,clean,brightness_dark,-0.024237626626157437,-3314.7808550567356,22.22222222222222
1,B,clean,contrast_low,-0.001598361090586543,-258.4340201515304,2.0202020202020203
1,B,clean,gaussian_noise,0.0004246424198220324,-11.645819447035155,2.0202020202020203
1,B,clean,gaussian_blur,-0.001154850038656458,-35.871347008607735,4.040404040404041
1,A,brightness_dark,clean,0.0,0.0,0.0
1,A,brightness_dark,brightness_dark,-0.003332394750390662,166.0737894202093,14.141414141414142
1,A,brightness_dark,contrast_low,-0.0013804086140769478,22.77450474516064,4.040404040404041
1,A,brightness_dark,gaussian_noise,0.00011845858917057246,-52.87681007364762,0.0
1,A,brightness_dark,gaussian_blur,-0.00046703787584518664,30.98554805289092,3.0303030303030303
1,B,brightness_dark,clean,0.0,0.0,0.0
1,B,brightness_dark,brightness_dark,-0.003445437050727049,163.0138800401631,14.141414141414142
1,B,brightness_dark,contrast_low,-0.0012378525614394975,19.630833937448926,4.040404040404041
1,B,brightness_dark,gaussian_noise,0.0001203529578661228,-52.96684671551759,0.0
1,B,brightness_dark,gaussian_blur,-0.0005081914880370983,33.496255437252046,3.0303030303030303
1,A,contrast_low,clean,0.0,0.0,0.0
1,A,contrast_low,brightness_dark,-0.003995661242995547,-1070.7388521462556,5.05050505050505
