bank,batch,selected,raw_best,C_clean,C_brightness_dark,C_contrast_low,C_gaussian_noise,C_gaussian_blur,agreement_zero,entropy_zero,agreement_best,entropy_best,agreement_selected,entropy_selected
A,0,contrast_low,contrast_low,0.0036772996535343163,0.017574510790965885,4.948507257235843e-05,0.003261111269131585,0.0018930190113641495,0.9,1.7985704289184135,1.0,0.025892312765478365,1.0,0.025892312765478365
A,1,contrast_low,contrast_low,0.0036259979707498565,0.019903070781675317,5.0572117973129464e-05,0.0035593215079027653,0.0012900391665358673,0.9500000000000001,1.7318860125011755,1.0,0.02273156137927766,1.0,0.02273156137927766
A,2,contrast_low,contrast_low,0.002016257941539918,0.014088353688749656,2.9873199044177967e-05,0.002013891486902203,0.0006962070188001603,1.0,1.7329631897029416,1.0,0.02353553594574716,1.0,0.02353553594574716
A,3,contrast_low,contrast_low,0.0031609068223634983,0.01394499183450888,3.871915607364703e-05,0.002886610901081688,0.001348047405744584,1.0,1.791828051545103,1.0,0.026578291143618028,1.0,0.026578291143618028
B,0,contrast_low,contrast_low,0.0043718301577652125,0.016285710909836906,2.6089754603261103e-05,0.003835155910560162,0.0012337301769836518,1.0,1.6778217812212235,1.0,0.011668544534449899,1.0,0.011668544534449899
B,1,contrast_low,contrast_low,0.0028111212111981906,0.013994451240992129,1.3241455420462485e-05,0.0025318402650740743,0.0007117157607954,1.0,1.6712533663493965,1.0,0.010328614713576666,1.0,0.010328614713576666
B,2,contrast_low,contrast_low,0.0030609578952785505,0.015136433716737589,2.088899578790345e-05,0.0028756299493415457,0.0007285633757168637,0.9500000000000001,1.7693347444118654,1.0,0.011597240977915032,1.0,0.011597240977915032
B,3,contrast_low,contrast_low,0.004398661113007884,0.019958028120911527,2.7650969219301328e-05,0.003926308869630407,0.0014296648884036714,0.9500000000000001,1.7100355824151805,1.0,0.012405657085643935,1.0,0.012405657085643935
