client,bank,true_context,candidate,consistency_js,flip_top1_agreement,entropy_original,entropy_flip,prob_margin_original,js_to_zero_original,moment_J_from_T010
0,A,clean,clean,0.004226147432089807,0.8500000000000001,1.7453011853283713,1.7660253013436433,0.18115420444047584,0.0,6.451703363289342
0,A,clean,brightness_dark,0.02532365569081608,0.75,1.1014472373853401,1.125388941469975,0.4387271388925742,0.13611079788991365,3269.985072709737
0,A,clean,contrast_low,0.007289702712783549,0.9,0.6469234238485564,0.660482788228331,0.6859042041201947,0.281398379692785,207.82329396465002
0,A,clean,gaussian_noise,0.003901652421640192,0.8500000000000001,1.8443093423763437,1.8698962343963257,0.12491527622188099,0.0066670738994348295,17.326772563411403
0,A,clean,gaussian_blur,0.005994030453005981,0.9,1.4733554077294264,1.4952950768134363,0.3502047879846222,0.04413846693379464,34.61735785532949
0,B,clean,clean,0.004226147432089807,0.8500000000000001,1.7453011853283713,1.7660253013436433,0.18115420444047584,0.0,5.772102090441718
0,B,clean,brightness_dark,0.024312131567398542,0.75,1.102673463804628,1.1252048765789977,0.43094434030133705,0.13737279254731463,2474.982448820262
0,B,clean,contrast_low,0.006111419801144437,0.8500000000000001,0.5579739757542044,0.5498719991026875,0.7211733863583835,0.31305717610979455,231.87046185415215
0,B,clean,gaussian_noise,0.00384779638459596,0.8500000000000001,1.8442658644197019,1.8691492608543365,0.12832614773146808,0.005602322912480185,16.527488442535937
0,B,clean,gaussian_blur,0.006108092425855388,0.9,1.4465872033621492,1.4702723176554797,0.36384213661172266,0.0510087096226036,38.9939782187847
0,A,brightness_dark,clean,0.00063602013222261,0.9500000000000001,1.77038456132044,1.7775322551030959,0.11660755399782229,0.0,289.7686342312338
0,A,brightness_dark,brightness_dark,0.004454687072243926,0.8500000000000001,1.7665399558928632,1.7612456554543798,0.15694377821458894,0.08166952819582746,129.61066205531327
0,A,brightness_dark,contrast_low,0.002418380825583858,1.0,1.546068407848831,1.5331401478791544,0.3044760910210959,0.17409459034097785,272.18583215093497
0,A,brightness_dark,gaussian_noise,0.0005822371478186363,0.9,1.7897337636761343,1.799145975960903,0.14862303167217022,0.003423657244299985,342.05612172081817
0,A,brightness_dark,gaussian_blur,0.000939437587501928,0.9,1.8101069691854166,1.811179143404991,0.10334013543905414,0.014468297484768654,260.6693960363758
0,B,brightness_dark,clean,0.00063602013222261,0.9500000000000001,1.77038456132044,1.7775322551030959,0.11660755399782229,0.0,289.8022787782696
0,B,brightness_dark,brightness_dark,0.004684323864848049,0.8500000000000001,1.7605516101347196,1.7559797454670367,0.15859045484767653,0.0816379239290682,131.6007728011531
