bank,target,policy,stratum,control,L1_reduction,JS_reduction,dominant_agreement_gain
A,clean,BBSE-H-01,all,raw_soft_01,0.20082793802241716,0.027832832852841105,0.19
A,clean,BBSE-H-01,all,raw_hard_01,0.1778357327771649,0.056564431865253395,0.17000000000000004
A,clean,BBSE-H-01,all,T015_zero_hard,0.1778357327771649,0.056564431865253395,0.17000000000000004
A,clean,BBSE-H-01,quartile_1,raw_soft_01,0.45408313507551024,0.09771902699052287,0.16000000000000003
A,clean,BBSE-H-01,quartile_1,raw_hard_01,0.28166733615941186,0.08246012102138667,0.2
A,clean,BBSE-H-01,quartile_1,T015_zero_hard,0.28166733615941186,0.08246012102138667,0.2
A,clean,BBSE-H-01,quartile_2,raw_soft_01,0.2988513176869294,0.06997357837268708,0.28
A,clean,BBSE-H-01,quartile_2,raw_hard_01,0.296192402914929,0.100419892770931,0.24000000000000002
A,clean,BBSE-H-01,quartile_2,T015_zero_hard,0.296192402914929,0.10041989277093105,0.24000000000000002
A,clean,BBSE-H-01,quartile_3,raw_soft_01,0.12766826720936586,0.0010134177990555049,0.19999999999999996
A,clean,BBSE-H-01,quartile_3,raw_hard_01,0.11631295466951475,0.03304660949441485,0.19999999999999996
A,clean,BBSE-H-01,quartile_3,T015_zero_hard,0.11631295466951497,0.03304660949441485,0.19999999999999996
A,clean,BBSE-H-01,quartile_4,raw_soft_01,-0.07729096788213652,-0.05737469175090126,0.12
A,clean,BBSE-H-01,quartile_4,raw_hard_01,0.017170237364804164,0.010331104174280958,0.03999999999999998
A,clean,BBSE-H-01,quartile_4,T015_zero_hard,0.017170237364804164,0.010331104174280958,0.03999999999999998
A,clean,BBSE-H-11,all,raw_soft_11,0.20647693229904274,0.029409243240109684,0.18
A,clean,BBSE-H-11,all,raw_hard_11,0.18179849070056386,0.056702578759636024,0.16000000000000003
A,clean,BBSE-H-11,all,T015_zero_hard,0.17479849070056375,0.05463038181302993,0.16000000000000003
A,clean,BBSE-H-11,quartile_1,raw_soft_11,0.4862608230667388,0.1046431048432011,0.16000000000000003
A,clean,BBSE-H-11,quartile_1,raw_hard_11,0.3072588072329755,0.08586127696390955,0.2
A,clean,BBSE-H-11,quartile_1,T015_zero_hard,0.2952588072329755,0.08175083675917966,0.2
A,clean,BBSE-H-11,quartile_2,raw_soft_11,0.2988513176869294,0.06997357837268708,0.28
A,clean,BBSE-H-11,quartile_2,raw_hard_11,0.296192402914929,0.100419892770931,0.24000000000000002
A,clean,BBSE-H-11,quartile_2,T015_zero_hard,0.296192402914929,0.10041989277093105,0.24000000000000002
A,clean,BBSE-H-11,quartile_3,raw_soft_11,0.11808655632464005,0.0003949814954515296,0.15999999999999998
A,clean,BBSE-H-11,quartile_3,raw_hard_11,0.10657251528954692,0.030198041129422704,0.15999999999999998
A,clean,BBSE-H-11,quartile_3,T015_zero_hard,0.09057251528954713,0.026019693547728207,0.15999999999999998
A,clean,BBSE-H-11,quartile_4,raw_soft_11,-0.07729096788213652,-0.05737469175090126,0.12
A,clean,BBSE-H-11,quartile_4,raw_hard_11,0.017170237364804164,0.010331104174280958,0.03999999999999998
A,clean,BBSE-H-11,quartile_4,T015_zero_hard,0.017170237364804164,0.010331104174280958,0.03999999999999998
A,clean,BBSE-S-01,all,raw_soft_01,0.5547418768204205,0.15949322019648643,0.41000000000000003
A,clean,BBSE-S-01,all,raw_hard_01,0.5317496715751683,0.18822481920889872,0.39000000000000007
A,clean,BBSE-S-01,all,T015_zero_hard,0.5317496715751683,0.18822481920889872,0.39000000000000007
A,clean,BBSE-S-01,quartile_1,raw_soft_01,0.8889139671873836,0.24829665604544704,0.36
A,clean,BBSE-S-01,quartile_1,raw_hard_01,0.7164981682712852,0.23303775007631083,0.39999999999999997
A,clean,BBSE-S-01,quartile_1,T015_zero_hard,0.7164981682712852,0.23303775007631083,0.39999999999999997
A,clean,BBSE-S-01,quartile_2,raw_soft_01,0.7562328025023263,0.22270350663723287,0.6
A,clean,BBSE-S-01,quartile_2,raw_hard_01,0.7535738877303259,0.2531498210354768,0.5599999999999999
A,clean,BBSE-S-01,quartile_2,T015_zero_hard,0.7535738877303259,0.25314982103547684,0.5599999999999999
A,clean,BBSE-S-01,quartile_3,raw_soft_01,0.4052153785405267,0.11708797204891075,0.4
A,clean,BBSE-S-01,quartile_3,raw_hard_01,0.3938600660006756,0.1491211637442701,0.4
A,clean,BBSE-S-01,quartile_3,T015_zero_hard,0.3938600660006758,0.1491211637442701,0.4
A,clean,BBSE-S-01,quartile_4,raw_soft_01,0.16860535905144602,0.049884746054354806,0.27999999999999997
A,clean,BBSE-S-01,quartile_4,raw_hard_01,0.2630665642983867,0.11759054197953703,0.19999999999999996
A,clean,BBSE-S-01,quartile_4,T015_zero_hard,0.2630665642983867,0.11759054197953703,0.19999999999999996
A,clean,BBSE-S-11,all,raw_soft_11,0.5273073961229352,0.15384461248750828,0.4
A,clean,BBSE-S-11,all,raw_hard_11,0.5026289545244563,0.18113794800703462,0.38000000000000006
A,clean,BBSE-S-11,all,T015_zero_hard,0.4956289545244562,0.17906575106042852,0.38000000000000006
A,clean,BBSE-S-11,quartile_1,raw_soft_11,0.8102199188128034,0.2353352425915231,0.36
A,clean,BBSE-S-11,quartile_1,raw_hard_11,0.6312179029790401,0.21655341471223155,0.39999999999999997
A,clean,BBSE-S-11,quartile_1,T015_zero_hard,0.6192179029790401,0.21244297450750166,0.39999999999999997
A,clean,BBSE-S-11,quartile_2,raw_soft_11,0.7562328025023263,0.22270350663723287,0.6
A,clean,BBSE-S-11,quartile_2,raw_hard_11,0.7535738877303259,0.2531498210354768,0.5599999999999999
A,clean,BBSE-S-11,quartile_2,T015_zero_hard,0.7535738877303259,0.25314982103547684,0.5599999999999999
