client,bank,target,estimator,quartile,L1,JS,top_class_agreement,spearman
0,A,clean,BBSE-H-01,2,2.0,0.6931471805599453,0,-0.21417646843905966
0,A,clean,BBSE-H-11,2,2.0,0.6931471805599453,0,-0.21417646843905966
0,A,clean,BBSE-S-01,2,1.3362858256225123,0.3423125323558106,0,0.13761467889908258
0,A,clean,BBSE-S-11,2,1.3362858256225123,0.3423125323558106,0,0.13761467889908258
0,A,clean,raw_soft_01,2,1.5410980302961892,0.40496926972724534,0,0.4846833886276331
0,A,clean,raw_hard_01,2,1.5999999999999999,0.43711507010311856,0,0.3859192080891638
0,A,clean,raw_soft_11,2,1.5410980302961892,0.40496926972724534,0,0.4846833886276331
0,A,clean,raw_hard_11,2,1.5999999999999999,0.43711507010311856,0,0.3859192080891638
0,A,clean,T015_zero_soft,2,1.5410980302961892,0.40496926972724534,0,0.4846833886276331
0,A,clean,T015_zero_hard,2,1.6,0.43711507010311856,0,0.3859192080891638
0,A,brightness_dark,BBSE-H-01,2,1.3564012718535208,0.3487554084203873,0,0.2554203427256404
0,A,brightness_dark,BBSE-H-11,2,1.3564012718535208,0.3487554084203873,0,0.2554203427256404
0,A,brightness_dark,BBSE-S-01,2,1.0996703931487477,0.27378822416813975,1,0.24770642201834867
0,A,brightness_dark,BBSE-S-11,2,1.0996703931487477,0.27378822416813975,1,0.24770642201834867
0,A,brightness_dark,raw_soft_01,2,1.5102405032441861,0.39323549513230005,0,0.49959672366232943
0,A,brightness_dark,raw_hard_01,2,1.4000000000000001,0.32589582258032146,0,0.6194853246995757
0,A,brightness_dark,raw_soft_11,2,1.5102405032441861,0.39323549513230005,0,0.49959672366232943
0,A,brightness_dark,raw_hard_11,2,1.4000000000000001,0.32589582258032146,0,0.6194853246995757
0,A,brightness_dark,T015_zero_soft,2,1.7668578021419965,0.5189884011710719,0,0.03728333758674101
0,A,brightness_dark,T015_zero_hard,2,1.9,0.6255629992299996,0,0.0638550856814101
0,A,contrast_low,BBSE-H-01,2,1.7701177656651568,0.5556089414088082,0,0.22681869063019364
0,A,contrast_low,BBSE-H-11,2,1.7701177656651568,0.5556089414088082,0,0.22681869063019364
0,A,contrast_low,BBSE-S-01,2,0.9827813993584325,0.20685501429136766,1,0.5412844036697249
0,A,contrast_low,BBSE-S-11,2,0.9827813993584325,0.20685501429136766,1,0.5412844036697249
0,A,contrast_low,raw_soft_01,2,1.596567426482588,0.43381514673149746,0,0.39520337841945463
0,A,contrast_low,raw_hard_01,2,1.7000000000000002,0.5023992076406771,0,0.32725731411722675
0,A,contrast_low,raw_soft_11,2,1.596567426482588,0.43381514673149746,0,0.39520337841945463
0,A,contrast_low,raw_hard_11,2,1.7000000000000002,0.5023992076406771,0,0.32725731411722675
0,A,contrast_low,T015_zero_soft,2,1.7574807120586136,0.499775656559557,0,-0.12676334779491943
0,A,contrast_low,T015_zero_hard,2,1.9,0.6093722537889048,0,0.10708823421952984
0,A,gaussian_noise,BBSE-H-01,2,1.2226544459359623,0.2777313622499412,0,0.3528290743136345
0,A,gaussian_noise,BBSE-H-11,2,1.2226544459359623,0.2777313622499412,0,0.3528290743136345
0,A,gaussian_noise,BBSE-S-01,2,1.2080399824747565,0.2982095897230861,0,0.28562353634913273
0,A,gaussian_noise,BBSE-S-11,2,1.2080399824747565,0.2982095897230861,0,0.28562353634913273
0,A,gaussian_noise,raw_soft_01,2,1.5592273881153909,0.4149233976063904,0,0.4846833886276331
0,A,gaussian_noise,raw_hard_01,2,1.5999999999999999,0.433981880789724,0,0.43363972728970296
0,A,gaussian_noise,raw_soft_11,2,1.5592273881153909,0.4149233976063904,0,0.4846833886276331
0,A,gaussian_noise,raw_hard_11,2,1.5999999999999999,0.433981880789724,0,0.43363972728970296
