policy,salt,bank,target,gain_pp,P00_gain_pp,capture,passed
BBSE-H-01,T013-S0,A,brightness_dark,14.229737370851659,17.93193097963294,0.793541832556336,False
BBSE-H-01,T013-S0,A,contrast_low,9.406895545780973,13.543704983183844,0.6945585094670016,False
BBSE-H-01,T013-S0,A,gaussian_noise,4.9402469325446665,6.842299570631401,0.722015585776053,False
BBSE-H-01,T013-S0,A,gaussian_blur,6.162388751646693,9.149152245611331,0.6735475141538573,False
BBSE-H-01,T013-S0,B,brightness_dark,14.437357761308125,17.709330804839887,0.8152401646572921,True
BBSE-H-01,T013-S0,B,contrast_low,9.282248683099226,13.409354306279962,0.692221897571317,False
BBSE-H-01,T013-S0,B,gaussian_noise,4.909307916911852,6.897508835483851,0.7117508703513638,False
BBSE-H-01,T013-S0,B,gaussian_blur,5.983479737785372,8.958037379862395,0.6679453862557209,False
BBSE-H-01,T013-S1,A,brightness_dark,14.20959029959417,17.924742282487973,0.7927361005059799,False
BBSE-H-01,T013-S1,A,contrast_low,9.353968182745641,13.524184914854976,0.6916474627961671,False
BBSE-H-01,T013-S1,A,gaussian_noise,4.807903744057552,6.874951931251997,0.6993363433134556,False
BBSE-H-01,T013-S1,A,gaussian_blur,6.2282939657676515,9.155942528581996,0.6802460747568981,False
BBSE-H-01,T013-S1,B,brightness_dark,14.517513058719416,17.749523520665278,0.8179100155458866,True
BBSE-H-01,T013-S1,B,contrast_low,9.342539467646688,13.215862706681015,0.7069186230970569,False
BBSE-H-01,T013-S1,B,gaussian_noise,4.902666647134052,6.897620958381068,0.7107764657866545,False
BBSE-H-01,T013-S1,B,gaussian_blur,5.96236852824321,8.951489267433493,0.6660755936931037,False
BBSE-H-01,T013-S2,A,brightness_dark,14.245946605370543,17.93181785285039,0.7944507758373225,False
BBSE-H-01,T013-S2,A,contrast_low,9.260445394397015,13.605692782826138,0.6806301995945451,False
BBSE-H-01,T013-S2,A,gaussian_noise,4.881464283799296,6.8342775723119145,0.7142619292455785,False
BBSE-H-01,T013-S2,A,gaussian_blur,6.382046967910602,9.07563262191544,0.7032068433994909,False
BBSE-H-01,T013-S2,B,brightness_dark,14.556907865442478,17.796297967807583,0.8179739343415712,True
BBSE-H-01,T013-S2,B,contrast_low,9.18243073418184,13.32965689256336,0.688872249915505,False
BBSE-H-01,T013-S2,B,gaussian_noise,4.802475890121209,6.910454815152474,0.6949580047308719,False
BBSE-H-01,T013-S2,B,gaussian_blur,6.10282376392459,8.99170477111924,0.6787170975104138,False
BBSE-H-01,T013-S3,A,brightness_dark,14.316379233540056,17.93849706359031,0.7980813098661396,False
BBSE-H-01,T013-S3,A,contrast_low,9.360516823395958,13.58396044078839,0.6890859896270937,False
BBSE-H-01,T013-S3,A,gaussian_noise,4.841153110524522,6.855465563396829,0.7061742292708373,False
BBSE-H-01,T013-S3,A,gaussian_blur,6.201161288653272,9.089026314566185,0.6822690433534354,False
BBSE-H-01,T013-S3,B,brightness_dark,14.57773377591255,17.729397694471995,0.8222351388991557,True
BBSE-H-01,T013-S3,B,contrast_low,9.3026005992187,13.469550525777729,0.6906392742219265,False
BBSE-H-01,T013-S3,B,gaussian_noise,4.850383206330644,6.911421781447936,0.7017923894256232,False
BBSE-H-01,T013-S3,B,gaussian_blur,5.895561777619377,9.011856854524506,0.6542005574200218,False
BBSE-H-11,T013-S0,A,brightness_dark,14.229737370851659,17.93193097963294,0.793541832556336,False
BBSE-H-11,T013-S0,A,contrast_low,9.406895545780973,13.543704983183844,0.6945585094670016,False
BBSE-H-11,T013-S0,A,gaussian_noise,4.9402469325446665,6.842299570631401,0.722015585776053,False
BBSE-H-11,T013-S0,A,gaussian_blur,5.31626146423671,9.149152245611331,0.5810660180878306,False
BBSE-H-11,T013-S0,B,brightness_dark,14.437357761308125,17.709330804839887,0.8152401646572921,True
BBSE-H-11,T013-S0,B,contrast_low,9.282248683099226,13.409354306279962,0.692221897571317,False
BBSE-H-11,T013-S0,B,gaussian_noise,4.909307916911852,6.897508835483851,0.7117508703513638,False
BBSE-H-11,T013-S0,B,gaussian_blur,5.555493689563866,8.958037379862395,0.6201686210924479,False
BBSE-H-11,T013-S1,A,brightness_dark,14.20959029959417,17.924742282487973,0.7927361005059799,False
BBSE-H-11,T013-S1,A,contrast_low,9.353968182745641,13.524184914854976,0.6916474627961671,False
BBSE-H-11,T013-S1,A,gaussian_noise,4.807903744057552,6.874951931251997,0.6993363433134556,False
BBSE-H-11,T013-S1,A,gaussian_blur,5.3821666783576685,9.155942528581996,0.5878331653520349,False
BBSE-H-11,T013-S1,B,brightness_dark,14.517513058719416,17.749523520665278,0.8179100155458866,True
BBSE-H-11,T013-S1,B,contrast_low,9.342539467646688,13.215862706681015,0.7069186230970569,False
BBSE-H-11,T013-S1,B,gaussian_noise,4.902666647134052,6.897620958381068,0.7107764657866545,False
BBSE-H-11,T013-S1,B,gaussian_blur,5.507572828547172,8.951489267433493,0.6152688858807361,False
BBSE-H-11,T013-S2,A,brightness_dark,14.245946605370543,17.93181785285039,0.7944507758373225,False
BBSE-H-11,T013-S2,A,contrast_low,9.260445394397015,13.605692782826138,0.6806301995945451,False
BBSE-H-11,T013-S2,A,gaussian_noise,4.881464283799296,6.8342775723119145,0.7142619292455785,False
BBSE-H-11,T013-S2,A,gaussian_blur,5.535919680500619,9.07563262191544,0.6099761758902319,False
BBSE-H-11,T013-S2,B,brightness_dark,14.556907865442478,17.796297967807583,0.8179739343415712,True
BBSE-H-11,T013-S2,B,contrast_low,9.18243073418184,13.32965689256336,0.688872249915505,False
BBSE-H-11,T013-S2,B,gaussian_noise,4.802475890121209,6.910454815152474,0.6949580047308719,False
BBSE-H-11,T013-S2,B,gaussian_blur,5.674837715703083,8.99170477111924,0.6311192215663358,False
BBSE-H-11,T013-S3,A,brightness_dark,14.316379233540056,17.93849706359031,0.7980813098661396,False
BBSE-H-11,T013-S3,A,contrast_low,9.360516823395958,13.58396044078839,0.6890859896270937,False
BBSE-H-11,T013-S3,A,gaussian_noise,4.841153110524522,6.855465563396829,0.7061742292708373,False
BBSE-H-11,T013-S3,A,gaussian_blur,5.355034001243289,9.089026314566185,0.5891757616171983,False
BBSE-H-11,T013-S3,B,brightness_dark,14.57773377591255,17.729397694471995,0.8222351388991557,True
BBSE-H-11,T013-S3,B,contrast_low,9.3026005992187,13.469550525777729,0.6906392742219265,False
BBSE-H-11,T013-S3,B,gaussian_noise,4.850383206330644,6.911421781447936,0.7017923894256232,False
BBSE-H-11,T013-S3,B,gaussian_blur,5.467575729397869,9.011856854524506,0.6067091186266247,False
BBSE-S-01,T013-S0,A,brightness_dark,15.777599000923917,17.93193097963294,0.879860569329878,True
BBSE-S-01,T013-S0,A,contrast_low,9.747018729690197,13.543704983183844,0.7196715183764195,False
BBSE-S-01,T013-S0,A,gaussian_noise,4.586933440788529,6.842299570631401,0.6703789264762127,False
BBSE-S-01,T013-S0,A,gaussian_blur,6.034650118469316,9.149152245611331,0.6595857142243993,False
BBSE-S-01,T013-S0,B,brightness_dark,15.581284842784555,17.709330804839887,0.8798347613748484,True
BBSE-S-01,T013-S0,B,contrast_low,9.546364921392604,13.409354306279962,0.7119183148827519,False
BBSE-S-01,T013-S0,B,gaussian_noise,4.766945786247694,6.897508835483851,0.6911112257985675,False
BBSE-S-01,T013-S0,B,gaussian_blur,6.034921435307199,8.958037379862395,0.6736879049950898,False
BBSE-S-01,T013-S1,A,brightness_dark,15.73702089309235,17.924742282487973,0.8779496321387577,True
BBSE-S-01,T013-S1,A,contrast_low,9.808223549096411,13.524184914854976,0.7252358357155446,False
BBSE-S-01,T013-S1,A,gaussian_noise,4.607140505157206,6.874951931251997,0.6701342134792497,False
BBSE-S-01,T013-S1,A,gaussian_blur,6.08759908087161,9.155942528581996,0.6648795644870011,False
BBSE-S-01,T013-S1,B,brightness_dark,15.667433268396136,17.749523520665278,0.8826959918194411,True
BBSE-S-01,T013-S1,B,contrast_low,9.573917284707782,13.215862706681015,0.7244262063851404,False
BBSE-S-01,T013-S1,B,gaussian_noise,4.780279119581028,6.897620958381068,0.6930330252161321,False
BBSE-S-01,T013-S1,B,gaussian_blur,6.114662424513007,8.951489267433493,0.6830888405082297,False
BBSE-S-01,T013-S2,A,brightness_dark,15.804526866582137,17.93181785285039,0.8813678008707797,True
BBSE-S-01,T013-S2,A,contrast_low,9.774946025954174,13.605692782826138,0.7184452994773376,False
BBSE-S-01,T013-S2,A,gaussian_noise,4.55385275429744,6.8342775723119145,0.6663254025190188,False
BBSE-S-01,T013-S2,A,gaussian_blur,6.080177891525358,9.07563262191544,0.6699453520014914,False
BBSE-S-01,T013-S2,B,brightness_dark,15.641267141100064,17.796297967807583,0.8789056673131772,True
BBSE-S-01,T013-S2,B,contrast_low,9.726291546567413,13.32965689256336,0.7296730609768155,False
BBSE-S-01,T013-S2,B,gaussian_noise,4.766936909194876,6.910454815152474,0.6898152200839905,False
BBSE-S-01,T013-S2,B,gaussian_blur,6.127082211185274,8.99170477111924,0.6814149671445016,False
BBSE-S-01,T013-S3,A,brightness_dark,15.785262005557753,17.93849706359031,0.8799656933131276,True
BBSE-S-01,T013-S3,A,contrast_low,9.781033065853642,13.58396044078839,0.7200428114089802,False
BBSE-S-01,T013-S3,A,gaussian_noise,4.613560276416182,6.855465563396829,0.6729754870404746,False
BBSE-S-01,T013-S3,A,gaussian_blur,6.000318471644807,9.089026314566185,0.6601717570152287,False
BBSE-S-01,T013-S3,B,brightness_dark,15.614583989908242,17.729397694471995,0.8807171150984363,True
BBSE-S-01,T013-S3,B,contrast_low,9.719822677623227,13.469550525777729,0.7216144784506094,False
BBSE-S-01,T013-S3,B,gaussian_noise,4.693540782145326,6.911421781447936,0.6790991680965003,False
BBSE-S-01,T013-S3,B,gaussian_blur,6.122565987886457,9.011856854524506,0.6793900620838814,False
BBSE-S-11,T013-S0,A,brightness_dark,15.777599000923917,17.93193097963294,0.879860569329878,True
BBSE-S-11,T013-S0,A,contrast_low,9.747018729690197,13.543704983183844,0.7196715183764195,False
BBSE-S-11,T013-S0,A,gaussian_noise,4.586933440788529,6.842299570631401,0.6703789264762127,False
BBSE-S-11,T013-S0,A,gaussian_blur,3.93747151613111,9.149152245611331,0.430364629468248,False
BBSE-S-11,T013-S0,B,brightness_dark,15.581284842784555,17.709330804839887,0.8798347613748484,True
BBSE-S-11,T013-S0,B,contrast_low,9.546364921392604,13.409354306279962,0.7119183148827519,False
BBSE-S-11,T013-S0,B,gaussian_noise,4.766945786247694,6.897508835483851,0.6911112257985675,False
BBSE-S-11,T013-S0,B,gaussian_blur,4.402706814632385,8.958037379862395,0.4914811836496284,False
BBSE-S-11,T013-S1,A,brightness_dark,15.73702089309235,17.924742282487973,0.8779496321387577,True
BBSE-S-11,T013-S1,A,contrast_low,9.808223549096411,13.524184914854976,0.7252358357155446,False
BBSE-S-11,T013-S1,A,gaussian_noise,4.607140505157206,6.874951931251997,0.6701342134792497,False
BBSE-S-11,T013-S1,A,gaussian_blur,3.997122891402036,9.155942528581996,0.43656050471311564,False
BBSE-S-11,T013-S1,B,brightness_dark,15.667433268396136,17.749523520665278,0.8826959918194411,True
BBSE-S-11,T013-S1,B,contrast_low,9.573917284707782,13.215862706681015,0.7244262063851404,False
BBSE-S-11,T013-S1,B,gaussian_noise,4.780279119581028,6.897620958381068,0.6930330252161321,False
BBSE-S-11,T013-S1,B,gaussian_blur,4.489150216706825,8.951489267433493,0.5014975813062582,False
BBSE-S-11,T013-S2,A,brightness_dark,15.804526866582137,17.93181785285039,0.8813678008707797,True
BBSE-S-11,T013-S2,A,contrast_low,9.774946025954174,13.605692782826138,0.7184452994773376,False
BBSE-S-11,T013-S2,A,gaussian_noise,4.55385275429744,6.8342775723119145,0.6663254025190188,False
BBSE-S-11,T013-S2,A,gaussian_blur,4.009808940661682,9.07563262191544,0.4418214253162883,False
BBSE-S-11,T013-S2,B,brightness_dark,15.641267141100064,17.796297967807583,0.8789056673131772,True
BBSE-S-11,T013-S2,B,contrast_low,9.726291546567413,13.32965689256336,0.7296730609768155,False
BBSE-S-11,T013-S2,B,gaussian_noise,4.766936909194876,6.910454815152474,0.6898152200839905,False
BBSE-S-11,T013-S2,B,gaussian_blur,4.49486759051046,8.99170477111924,0.49989047738173936,False
BBSE-S-11,T013-S3,A,brightness_dark,15.785262005557753,17.93849706359031,0.8799656933131276,True
BBSE-S-11,T013-S3,A,contrast_low,9.781033065853642,13.58396044078839,0.7200428114089802,False
BBSE-S-11,T013-S3,A,gaussian_noise,4.613560276416182,6.855465563396829,0.6729754870404746,False
BBSE-S-11,T013-S3,A,gaussian_blur,3.9031398693066004,9.089026314566185,0.4294343237901491,False
BBSE-S-11,T013-S3,B,brightness_dark,15.614583989908242,17.729397694471995,0.8807171150984363,True
BBSE-S-11,T013-S3,B,contrast_low,9.719822677623227,13.469550525777729,0.7216144784506094,False
BBSE-S-11,T013-S3,B,gaussian_noise,4.693540782145326,6.911421781447936,0.6790991680965003,False
BBSE-S-11,T013-S3,B,gaussian_blur,4.490351367211643,9.011856854524506,0.49827149273428706,False
