salt,bank,target,policy,macro_class,sample_weighted,macro_client,state_choice_frequency,oracle_hit_rate,regret_median,regret_p75,regret_p90,regret_gt2_fraction,regret_gt5_fraction
T013-S2,A,gaussian_blur,mismatched_pi_hybrid_13,38.31173719897203,38.366912693663146,37.70739222982774,"{""clean"": 22, ""brightness_dark"": 52, ""contrast_low"": 67, ""gaussian_noise"": 37, ""gaussian_blur"": 22}",0.61,0.0,3.928018575851393,9.413109756097558,0.35,0.22
T013-S2,A,gaussian_blur,mismatched_pi_persistent_23,29.981097307525218,30.055189839749982,29.440929645516498,"{""clean"": 24, ""brightness_dark"": 77, ""contrast_low"": 15, ""gaussian_noise"": 72, ""gaussian_blur"": 12}",0.325,6.235431235431236,16.46174863387978,32.39583333333333,0.65,0.53
T013-S2,A,gaussian_blur,mismatched_pi_class_context_23,28.45375939106564,28.5125340780637,29.05753254665477,"{""clean"": 13, ""brightness_dark"": 74, ""contrast_low"": 35, ""gaussian_noise"": 47, ""gaussian_blur"": 31}",0.26,6.693500298151461,17.012164846077457,28.187358429511374,0.685,0.57
T013-S2,A,gaussian_blur,mismatched_pi_hybrid_23,37.32081307666284,37.382804707759824,36.892700452855905,"{""clean"": 22, ""brightness_dark"": 44, ""contrast_low"": 71, ""gaussian_noise"": 38, ""gaussian_blur"": 25}",0.565,0.0,4.305377720870679,12.655906089508436,0.39,0.245
T013-S2,A,gaussian_blur,mismatched_pi_persistent_37,30.55587241341934,30.63368575038234,29.78135540885002,"{""clean"": 25, ""brightness_dark"": 77, ""contrast_low"": 15, ""gaussian_noise"": 71, ""gaussian_blur"": 12}",0.325,5.798319327731093,15.48582995951417,27.54545454545453,0.625,0.525
T013-S2,A,gaussian_blur,mismatched_pi_class_context_37,29.611352185028075,29.682824655894674,28.502736096978616,"{""clean"": 13, ""brightness_dark"": 74, ""contrast_low"": 34, ""gaussian_noise"": 47, ""gaussian_blur"": 32}",0.27,7.746863066012002,17.337962962962962,30.748762376237618,0.68,0.61
T013-S2,A,gaussian_blur,mismatched_pi_hybrid_37,38.11919410092035,38.180730101735485,37.72155204916873,"{""clean"": 25, ""brightness_dark"": 50, ""contrast_low"": 64, ""gaussian_noise"": 39, ""gaussian_blur"": 22}",0.6,0.0,3.7646198830409356,9.861568885959123,0.35,0.19
T013-S2,A,gaussian_blur,mismatched_pi_persistent_41,30.01763603782413,30.088436731165636,29.94835992870131,"{""clean"": 25, ""brightness_dark"": 76, ""contrast_low"": 15, ""gaussian_noise"": 71, ""gaussian_blur"": 13}",0.28,7.321428571428571,15.030364372469634,27.402597402597397,0.685,0.57
T013-S2,A,gaussian_blur,mismatched_pi_class_context_41,30.595352050619187,30.65363388523173,30.434584172802403,"{""clean"": 13, ""brightness_dark"": 74, ""contrast_low"": 34, ""gaussian_noise"": 47, ""gaussian_blur"": 32}",0.285,5.798319327731093,14.664134346261495,27.20095693779904,0.685,0.54
T013-S2,A,gaussian_blur,mismatched_pi_hybrid_41,38.76109650025831,38.81907041691602,38.06754314153889,"{""clean"": 19, ""brightness_dark"": 53, ""contrast_low"": 62, ""gaussian_noise"": 40, ""gaussian_blur"": 26}",0.65,0.0,3.095918367346939,8.286140089418772,0.31,0.185
T013-S2,A,gaussian_blur,mismatched_pi_persistent_53,29.87169374020356,29.942150408936765,28.700750386311555,"{""clean"": 25, ""brightness_dark"": 77, ""contrast_low"": 15, ""gaussian_noise"": 71, ""gaussian_blur"": 12}",0.25,6.0606060606060606,17.74122807017544,32.22260273972603,0.69,0.555
T013-S2,A,gaussian_blur,mismatched_pi_class_context_53,29.69047834645973,29.74931843872598,29.023505313447018,"{""clean"": 13, ""brightness_dark"": 74, ""contrast_low"": 35, ""gaussian_noise"": 47, ""gaussian_blur"": 31}",0.27,6.8686868686868685,16.73728813559322,31.57894736842105,0.68,0.575
T013-S2,A,gaussian_blur,mismatched_pi_hybrid_53,38.32826585615307,38.38686082851253,37.779917309380714,"{""clean"": 21, ""brightness_dark"": 53, ""contrast_low"": 64, ""gaussian_noise"": 35, ""gaussian_blur"": 27}",0.6,0.0,3.8101604278074865,8.731234866828078,0.35,0.195
T013-S2,A,gaussian_blur,mismatched_pi_persistent_71,30.13046132204059,30.201476161978857,29.63622097528561,"{""clean"": 25, ""brightness_dark"": 77, ""contrast_low"": 15, ""gaussian_noise"": 71, ""gaussian_blur"": 12}",0.29,6.980519480519481,16.666666666666668,28.23785166240409,0.66,0.55
T013-S2,A,gaussian_blur,mismatched_pi_class_context_71,31.725054314971064,31.78402819336392,29.87318058202969,"{""clean"": 13, ""brightness_dark"": 74, ""contrast_low"": 34, ""gaussian_noise"": 47, ""gaussian_blur"": 32}",0.31,5.808080808080808,16.869045395105548,27.823529411764703,0.645,0.525
T013-S2,A,gaussian_blur,mismatched_pi_hybrid_71,38.268000962075895,38.32701642396436,37.77935585824668,"{""clean"": 26, ""brightness_dark"": 42, ""contrast_low"": 72, ""gaussian_noise"": 36, ""gaussian_blur"": 24}",0.595,0.0,3.9063298905818593,8.400900900900897,0.35,0.2
T013-S2,A,gaussian_blur,mismatched_pi_persistent_89,29.731188003555012,29.802513464991023,29.899063619096225,"{""clean"": 25, ""brightness_dark"": 77, ""contrast_low"": 15, ""gaussian_noise"": 71, ""gaussian_blur"": 12}",0.305,5.283094098883573,18.213828425096033,30.05882352941176,0.635,0.515
T013-S2,A,gaussian_blur,mismatched_pi_class_context_89,30.034797732679216,30.101735487731897,29.927856050933098,"{""clean"": 12, ""brightness_dark"": 75, ""contrast_low"": 35, ""gaussian_noise"": 48, ""gaussian_blur"": 30}",0.3,5.025252525252525,16.666666666666668,30.75857843137254,0.635,0.5
T013-S2,A,gaussian_blur,mismatched_pi_hybrid_89,38.75949162510968,38.81907041691602,37.83382957667161,"{""clean"": 25, ""brightness_dark"": 59, ""contrast_low"": 56, ""gaussian_noise"": 34, ""gaussian_blur"": 26}",0.63,0.0,3.095918367346939,10.840840840840839,0.33,0.185
T013-S2,B,clean,composition_persistent,40.28503902495728,40.34842742203604,39.205522866451886,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.78,0.0,0.0,2.481404958677686,0.125,0.075
T013-S2,B,clean,class_context_only,40.28503902495728,40.34842742203604,39.205522866451886,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.78,0.0,0.0,2.481404958677686,0.125,0.075
T013-S2,B,clean,hybrid_client_plus_class_context,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,T013_two_factor,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,T013_client_only,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,uniform_class_context,34.61845817206885,34.70310525965822,33.78079978136192,"{""clean"": 0, ""brightness_dark"": 0, ""contrast_low"": 0, ""gaussian_noise"": 200, ""gaussian_blur"": 0}",0.405,1.9149715961150815,8.357366017784187,21.233583489681045,0.49,0.37
T013-S2,B,clean,uniform_hybrid,39.70457652182231,39.76993151140368,38.48235085086393,"{""clean"": 56, ""brightness_dark"": 72, ""contrast_low"": 15, ""gaussian_noise"": 47, ""gaussian_blur"": 10}",0.655,0.0,1.8790849673202614,6.25,0.245,0.135
T013-S2,B,clean,mismatched_pi_persistent_7,33.2614299816989,33.30008644191768,32.41040221336935,"{""clean"": 27, ""brightness_dark"": 77, ""contrast_low"": 12, ""gaussian_noise"": 70, ""gaussian_blur"": 14}",0.38,3.077651515151515,11.11111111111111,21.062753036437247,0.555,0.445
