policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement
ROT-CLEAN-SURROGATE,B,brightness_dark,T013-S2,21.94587405135221,29841024272329200754/1359755560544216475,0.24723386881362663,2955462314465335941051/11954115868701082530484,-11.241419543958914,4.399847597141151,0.11478929338329923,370666202671614818959870052799686712761582334505476410516118768608112403190785435033457596333392185104322792897529182408982628819836735911368733118041469448572086436740651733327429769/3229100831154199898867376584635764575061008816521764910628559740766379408712695492903457091467554474038123086147479203503189099743969574389646168997776094023541167965251040313261568000,0.3601712426091105,0.345,0.34
ROT-CLEAN-SURROGATE,B,brightness_dark,T013-S3,21.94587405135221,29841024272329200754/1359755560544216475,0.24816678338221373,985154104821778647017/3969725889159367975128,-11.21473639276709,4.399847597141151,0.11481977655112148,845597611724869987112160392936877661489561039225091343111519582707066892651099549200965075119236628919600214290750734995849115788524008370529443836515038954637193472202419/7364564164156708681242893963000445221180343989170289112564074170243286078415226241781146637325073590131154316240274029724437266439384206607092416582131938204281277512000000,0.35219125248806193,0.345,0.33
ROT-CLEAN-SURROGATE,B,contrast_low,T013-S0,25.80204679481648,1155448762781390002287/44781283127256195910,0.43602269531857724,29980126290296075027/68758178443879590516,-3.6995821142866445,5.846782807105959,0.09201753924027288,14065335642415598176089386053192911169054736229822032418295740948404600533678915131470158565472211736897189482684563125065992378951383415311841590129326559297801/152854942204971389093516694946519550710654641364744345736055264378690735191101666719309490100753329124640484239195913905899055576923522396866704216899365248000000,0.29459904890439187,0.35,0.35
ROT-CLEAN-SURROGATE,B,contrast_low,T013-S1,25.80204679481648,1155448762781390002287/44781283127256195910,0.4424064426872591,3927396544028785828537/8877349344582434514917,-3.7271344776018234,5.846782807105959,0.0919970945701328,14404714598352626074782960809052222350390206312229727073278987871816212586154962794517730149260566595871819429901507035043867112190572277462581726349201622081436167/156577929614629040065322195202188409713031726763154450274934910842852744153694335686434632328846352481756673013094940140753417605465653415411798812013947704704000000,0.29991642788818706,0.355,0.355
ROT-CLEAN-SURROGATE,B,contrast_low,T013-S2,25.80204679481648,1155448762781390002287/44781283127256195910,0.4386296552290022,3927396544028785828537/8953787089425928025684,-3.8795087394614547,5.846782807105959,0.0921511561683734,39565071764073105556670082187058662593006046094513337002306246150506398919434803434152038268039544284838357179454270889713810142611941138282559421170027408576129253023398412575886991059901/429349705518420585656012275328004215225972238954432645609463107612958426243331237716263581401897231796695141574310776260769276271489820559852035640841564401137870481126098774331504544000000,0.2810571922250623,0.345,0.34
ROT-CLEAN-SURROGATE,B,contrast_low,T013-S3,25.80204679481648,1155448762781390002287/44781283127256195910,0.4340740840547363,3927396544028785828537/9047756335376025183006,-3.873039870517269,5.846782807105959,0.09190339342883713,901480047028874181485301952300295583690122875611113380784911729433672726926852035621792983736981764190310849325516873380981534751710478006235437877456514243/9808996310097194738440640638856385727854485734900649793671279811827822203428843665985486450315938982524532893301227540145781444209670443347618562369408000000,0.2915717392671962,0.365,0.365
ROT-CLEAN-SURROGATE,B,gaussian_noise,T013-S0,20.776155529191023,7482972410578652389/360171177967208010,-1.435371604214077,-6650348559864477314748/4633189440518302623787,-14.667434108516918,-9.900488322269224,0.16187548795661025,51384314110895874596386326456486665029200668518538373252461595812363727916749405315142252482334873782780487230291444914635582379790377111585079397174724745283282915139518608410834507/317431099418023863207236271267305704198399945663699133216137040593000752663597179218983613274842689693626801731389248270804953799717160684115738118883406408997473630920730192512000000,0.4579114855634552,0.22,0.22
ROT-CLEAN-SURROGATE,B,gaussian_noise,T013-S1,20.776155529191023,7482972410578652389/360171177967208010,-1.4353482718181945,-6650348559864477314748/4633264755626382303719,-14.680767441850252,-9.900488322269224,0.16180221800069897,818629713936530664990494145037156491799767168957595086027745708721261701263520712241417142247718661376662953258477343130642869841362074939403675715263193352285864587269/5059446799011088023605899569045770623611227131258466577436628695152129796181192151924378412461546438760441172069245486688118204223413979515740044331052615911860220160000,0.45510817765326605,0.23,0.23
ROT-CLEAN-SURROGATE,B,gaussian_noise,T013-S2,20.776155529191023,7482972410578652389/360171177967208010,-1.4326825928389748,-302288570902930787034/210994795646900320853,-14.667425231464101,-9.900488322269224,0.16184921099060995,74250569658191386029776505750695815570671911691802740427005898494270186664639065395488267441869977270912943762867857421048774973388896315360955503839963756072915084825197672103687117428062421123/458763865475372610291836443997607741931253102194354851567282701036448812489640712543471632632166697436065374696891316820219703519841364272949694360917149195375276280335906998929302206766176000000,0.45011921842783065,0.235,0.22
ROT-CLEAN-SURROGATE,B,gaussian_noise,T013-S3,20.776155529191023,7482972410578652389/360171177967208010,-1.4324821484408208,-50381428483821797839/35170719955330162729,-14.59402910441455,-9.900488322269224,0.16173354765087214,282073485430142012348377676911554483240229611772605431652303363698360598651647643717763047217804466108757070875218658139894664325932710402530622603957435503115860497201/1744062932688788657144747755069647799360101819509411902696586628149058681556818078411187550699972878637142468691998926908036062093379724070779490290387639893285992000000,0.4572892369100211,0.23,0.23
