policy,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,relative_mean_reduction,clients_better,clients_equal,clients_worse
ROT-CLEAN-SURROGATE,vs_P,A,gaussian_noise,T013-S2,0.13637043769338458,0.013230630373728881,794460972622420812892967583241038332516944253488352538880497632295444471678837300918020833098436264353741903477056420224524801753208486860516057904431477662467884310233969422593533293045568481477/5825756564693937939892920065542321458738271960951755451875923795505883362164443410474144960977321607352052732983223710184362674223030024943881949606958278877176542556965916919637830248830416000000,25580201639418892399586322131016615988221047980548328203192937757380999221560168540979605781105657386722442334927791536605586342273/1933407624342047402868372899995489630429135662086390474486334388405573906201193117510135926095443080200700750639113855008381358000000,0.3888818236640116,0.05196682196489976,-9.307176139102609,10,25,65
ROT-CLEAN-SURROGATE,vs_P,A,gaussian_noise,T013-S3,0.13619304889067813,0.012981213800667652,449748511330830923779428117711931128933425914042334789459248015180793494184147939886263534976826987576767562141207777110486524875909880697211637656089942620372030293/3302286827368429815695853022787920226001759778386846773191499883541571021490449482497025265754714904706002323848783551862956764214417080050444320868454006065898000000,130495080671841069650311322888715623330316679003503819319664461921238805756733771227542502403208834490462618787784152997741479/10052610077582222953300610359944097349130343489090105180645136485925076787650900268117016536399971500874227922179913712242000000,0.38347689283938585,0.05266294608698942,-9.491549633338096,10,25,65
ROT-CLEAN-SURROGATE,vs_P,A,gaussian_blur,T013-S0,0.1013610799718398,0.018999883230678905,548603522093196307950867260411156154116288064085524364935128122939676103034903164189068221946789429238750460555022135961152074927586674933771294605106230709260639054159623/5412368556507188764949207105272067442825511448242047596982958355474006400392315436428302291250496781152526064297247303979078985945753593409377124794388654164050047270400000,3264667254345118345033818092465021770943953633621381744518304500580088048999346621690031676844122765141646636582318509501368525142077169101497616029327330702130377368453/171825648332074761463123994471040926129028839945987587595807905545949421212793459061464521106538861361895091609868596479137400818152127998011562861292007899376400652800000,0.3016547724858161,0.06629783801485245,-4.334826469258146,18,27,55
ROT-CLEAN-SURROGATE,vs_P,A,gaussian_blur,T013-S1,0.10149576399266705,0.018358503483926286,10074293610638765023230451927314401544325317771393576514686018543271052853391120573807181531149468069854662826396613443019802794301446526007185071626135845865038163803/99258266693441720498110807860126577157780506879792596986750008733742227759339459271451780182533907189660713562623730711259061820303982839764054248008986714789664000000,46619080676289621956954309273141213894843199709570311759426182171457985937583484247692560871584986197580064054064099531965102030361602739993022620889/2539372597396447199259830261101952019111511847019465421387656480302805116840370713886699258146225775365379221338049626894630464941155170292584864000000,0.2982644982023759,0.06496259982923903,-4.528542349954137,17,25,58
ROT-CLEAN-SURROGATE,vs_P,A,gaussian_blur,T013-S2,0.10143189992994672,0.01861224510247813,97073014655964155395266853831028299764538027476378634914897085908435217200938480982782682432373251022292252657399941520571250009915881266935319335964829587594891945262192738205337732211660765947746641467/957026484991476984766060637777362959007289854426048550727809036728393492763747224295829624245620455092474839665288320268710826675699731836804741166784982727591257356776607074939379156175008373535472000000,157103493897936292425751050156299601115131214159182823089085871929448245452596224419808595538047641109103006186344101698368799702011260394851575689790838776364205987476337/8440867452203211930112212517175444243165822002614341685437945926061131379265663708823324847808003470312483847543270822528251642099236097782804312768333371646704400291200000,0.2959881252826857,0.06071953805974376,-4.4497401775802725,19,25,56
ROT-CLEAN-SURROGATE,vs_P,A,gaussian_blur,T013-S3,0.10127441230844017,0.017871097174483982,24606854407700360113469334424458822577325748140011185560033648721741944744294091985837814570979421217750110734955055694289184120468934933195323434479008819942331191777299/242972078008786777363914021493867707610721796824851408139546126370704899304786368001313800099605638630005169266204417232117461429355618769505592366715061018201013696000000,16170633976468247939652107312016810860105510779186650838844246424600055461362242517406092946563757352779006416169586465123219150588206667694578949/904848416333182793898564652560844002849722095521116544941521812068222502586883022236614457600845646917841412605415179549023256387419922620632000000,0.3000652695378482,0.05994217611026342,-4.66693870665299,18,25,57
ROT-CLEAN-SURROGATE,vs_P,B,clean,T013-S0,0.1376182473996718,0.013651751181850925,2422942582864521004025697984300751942968769196239081464406237740703923834876729891968404935049573271979845213826823559898382759595615172593991368810254630439991252412221763/17606259552396388629152249577553800021536477246502738100557232063422674655466180331864085825881621762881697360312151695900832144227932764630656425810513437608975439168000000,106838830196051913734646702132889014357494667638549620797049534791592729204381907020537066560353855249440923337478082804045419234624099207625798683128127/7826016514136799679499043074974441145189201510373262741764709507092012422572846671333252837842141422636814247462804474241416459865659094141981105728000000,0.3812852513284536,0.049492032503386046,-9.080629625203388,10,25,65
ROT-CLEAN-SURROGATE,vs_P,B,clean,T013-S1,0.1376707856417518,0.013657847972183007,3336557188653080882310531822150408409383037832829248838366022369129981019952402077545018584582094814746681985938429712324200588392919688776083540368294963180850448516704451/24235767763652490436317428109619445095256670586912606984008597858505260008413350970975699028656677282852186529381699808441971311964245626713135113375446910055493855184000000,136964465591262369225795840026611344320316992546237448698194428731508254553458408102362189978803240318886854700444844952347372058061/10028261104547249249775740360179584548700993904052676131494482775606283208122889426173705056897763645203496763165725410348193064000000,0.3857328711092114,0.04867272452421841,-9.07997642982602,10,25,65
ROT-CLEAN-SURROGATE,vs_P,B,clean,T013-S2,0.13774474983490617,0.01377544857879653,15006011338705903227945527274156727981711095368369591065911153646687442677898853317732283874293773575556922688470503285565838146105982789671562871273958516004447165246673051328282767910588745097/108940713578494580777643276068317532566253435738063304493199794553051806167884451909548851460840511835855212476737041686453056834367216742507382129417285955442759677061017730049095410275368000000,8868679089179783541768582716020648238781796106592460208410299634558250874145715861837407294943636485269637974521674672030450151842020671/643803288034528818023673768429323247633234908006403193337458185125154371618968421456112953432945682837634362425265561008283893628912000000,0.37577811737539757,0.053608780315562585,-8.999293238764354,10,25,65
ROT-CLEAN-SURROGATE,vs_P,B,clean,T013-S3,0.13762850580083025,0.014717120416458729,135972469693843141803903939625762848495338460280809951443219436202918584696730650745098436985658303147389567192009134968480253151746296007364872204376476192943232774805201/987967346609257999134150396221388546387714365030461975743889763845586833202550452240636260699131751194065136795669431833536442429659243967180827785245799581361474808000000,74667911416412629299584068589830361766682237826236426552973511175562699053060870187582127260857620147125293174662254481017916907414481921/5073540835672486178432729564512457587188327648054930355283212763528181518602261867382115932942242694769637509964113730750098915100898400000,0.3841142361722943,0.05821327558274431,-8.351592017071148,11,25,64
