client,bank,target,estimator,quartile,context_correct,L1,JS,top_class_agreement,top_class_in_true_argmax,spearman
0,A,clean,pi_zero_soft,2,True,1.5410980302961892,0.40496926972724534,0,0,0.4846833886276331
0,A,clean,pi_zero_hard,2,True,1.6,0.43711507010311856,0,0,0.3859192080891638
0,A,clean,pi_oracle_state_soft,2,True,1.5410980302961892,0.40496926972724534,0,0,0.4846833886276331
0,A,clean,pi_source_state_soft,2,True,1.5410980302961892,0.40496926972724534,0,0,0.4846833886276331
0,B,clean,pi_zero_soft,2,True,1.5410980302961892,0.40496926972724534,0,0,0.4846833886276331
0,B,clean,pi_zero_hard,2,True,1.6,0.43711507010311856,0,0,0.3859192080891638
0,B,clean,pi_oracle_state_soft,2,True,1.5410980302961892,0.40496926972724534,0,0,0.4846833886276331
0,B,clean,pi_source_state_soft,2,True,1.5410980302961892,0.40496926972724534,0,0,0.4846833886276331
0,A,brightness_dark,pi_zero_soft,2,True,1.7668578021419965,0.5189884011710719,0,0,0.03728333758674101
0,A,brightness_dark,pi_zero_hard,2,True,1.9,0.6255629992299996,0,0,0.0638550856814101
0,A,brightness_dark,pi_oracle_state_soft,2,True,1.5102405032441861,0.39323549513230005,0,0,0.49959672366232943
0,A,brightness_dark,pi_source_state_soft,2,True,1.5102405032441861,0.39323549513230005,0,0,0.49959672366232943
0,B,brightness_dark,pi_zero_soft,2,True,1.7668578021419965,0.5189884011710719,0,0,0.03728333758674101
0,B,brightness_dark,pi_zero_hard,2,True,1.9,0.6255629992299996,0,0,0.0638550856814101
0,B,brightness_dark,pi_oracle_state_soft,2,True,1.507384233839361,0.3925577327210956,0,0,0.49959672366232943
0,B,brightness_dark,pi_source_state_soft,2,True,1.507384233839361,0.3925577327210956,0,0,0.49959672366232943
0,A,contrast_low,pi_zero_soft,2,True,1.7574807120586136,0.499775656559557,0,0,-0.12676334779491943
0,A,contrast_low,pi_zero_hard,2,True,1.9,0.6093722537889048,0,0,0.10708823421952984
0,A,contrast_low,pi_oracle_state_soft,2,True,1.596567426482588,0.43381514673149746,0,0,0.39520337841945463
0,A,contrast_low,pi_source_state_soft,2,True,1.596567426482588,0.43381514673149746,0,0,0.39520337841945463
0,B,contrast_low,pi_zero_soft,2,True,1.7574807120586136,0.499775656559557,0,0,-0.12676334779491943
0,B,contrast_low,pi_zero_hard,2,True,1.9,0.6093722537889048,0,0,0.10708823421952984
0,B,contrast_low,pi_oracle_state_soft,2,True,1.594965957858511,0.4302593042148568,0,0,0.39520337841945463
0,B,contrast_low,pi_source_state_soft,2,True,1.594965957858511,0.4302593042148568,0,0,0.39520337841945463
0,A,gaussian_noise,pi_zero_soft,2,True,1.5837991369079978,0.413188638374945,0,0,0.4846833886276331
0,A,gaussian_noise,pi_zero_hard,2,True,1.6999999999999997,0.49547606420729073,0,0,0.32725731411722675
0,A,gaussian_noise,pi_oracle_state_soft,2,True,1.5592273881153909,0.4149233976063904,0,0,0.4846833886276331
0,A,gaussian_noise,pi_source_state_soft,2,True,1.5592273881153909,0.4149233976063904,0,0,0.4846833886276331
0,B,gaussian_noise,pi_zero_soft,2,True,1.5837991369079978,0.413188638374945,0,0,0.4846833886276331
0,B,gaussian_noise,pi_zero_hard,2,True,1.6999999999999997,0.49547606420729073,0,0,0.32725731411722675
0,B,gaussian_noise,pi_oracle_state_soft,2,True,1.560177587721386,0.41540192508643137,0,0,0.4846833886276331
0,B,gaussian_noise,pi_source_state_soft,2,True,1.560177587721386,0.41540192508643137,0,0,0.4846833886276331
0,A,gaussian_blur,pi_zero_soft,2,True,1.5838025776498885,0.438543399760013,0,0,0.17150335289900864
0,A,gaussian_blur,pi_zero_hard,2,True,1.7999999999999998,0.5669213963731522,0,0,0.0874974578199873
0,A,gaussian_blur,pi_oracle_state_soft,2,True,1.5520514206240237,0.4050027438914021,0,0,0.4846833886276331
0,A,gaussian_blur,pi_source_state_soft,2,True,1.5520514206240237,0.4050027438914021,0,0,0.4846833886276331
0,B,gaussian_blur,pi_zero_soft,2,True,1.5838025776498885,0.438543399760013,0,0,0.17150335289900864
0,B,gaussian_blur,pi_zero_hard,2,True,1.7999999999999998,0.5669213963731522,0,0,0.0874974578199873
0,B,gaussian_blur,pi_oracle_state_soft,2,True,1.5495420392887984,0.40223437687113006,0,0,0.4846833886276331
0,B,gaussian_blur,pi_source_state_soft,2,True,1.5495420392887984,0.40223437687113006,0,0,0.4846833886276331
1,A,clean,pi_zero_soft,2,True,1.4543962323179516,0.39633100055710146,0,0,0.4930493313022979
1,A,clean,pi_zero_hard,2,True,1.5,0.42933961862378345,0,0,0.210409329495516
1,A,clean,pi_oracle_state_soft,2,True,1.4543962323179516,0.39633100055710146,0,0,0.4930493313022979
1,A,clean,pi_source_state_soft,2,True,1.4543962323179516,0.39633100055710146,0,0,0.4930493313022979
1,B,clean,pi_zero_soft,2,True,1.4543962323179516,0.39633100055710146,0,0,0.4930493313022979
1,B,clean,pi_zero_hard,2,True,1.5,0.42933961862378345,0,0,0.210409329495516
1,B,clean,pi_oracle_state_soft,2,True,1.4543962323179516,0.39633100055710146,0,0,0.4930493313022979
1,B,clean,pi_source_state_soft,2,True,1.4543962323179516,0.39633100055710146,0,0,0.4930493313022979
1,A,brightness_dark,pi_zero_soft,2,True,1.8361689397922656,0.565137591332854,0,0,-0.27679962459076374
1,A,brightness_dark,pi_zero_hard,2,True,2.0,0.6931471805599451,0,0,-0.3192754284070505
1,A,brightness_dark,pi_oracle_state_soft,2,True,1.4661682784899193,0.4074362869556183,0,0,0.4151994368861456
1,A,brightness_dark,pi_source_state_soft,2,True,1.4661682784899193,0.4074362869556183,0,0,0.4151994368861456
1,B,brightness_dark,pi_zero_soft,2,True,1.8361689397922656,0.565137591332854,0,0,-0.27679962459076374
1,B,brightness_dark,pi_zero_hard,2,True,2.0,0.6931471805599451,0,0,-0.3192754284070505
1,B,brightness_dark,pi_oracle_state_soft,2,True,1.4616983426464605,0.4061557083908358,0,0,0.4151994368861456
1,B,brightness_dark,pi_source_state_soft,2,True,1.4616983426464605,0.4061557083908358,0,0,0.4151994368861456
1,A,contrast_low,pi_zero_soft,2,True,1.8559590472397522,0.5657297744460472,0,0,-0.4151994368861456
1,A,contrast_low,pi_zero_hard,2,True,2.0,0.6931471805599452,0,0,-0.3192754284070505
1,A,contrast_low,pi_oracle_state_soft,2,True,1.5800301381341386,0.4766777615152815,0,0,0.0518999296107682
1,A,contrast_low,pi_source_state_soft,2,True,1.5800301381341386,0.4766777615152815,0,0,0.0518999296107682
1,B,contrast_low,pi_zero_soft,2,True,1.8559590472397522,0.5657297744460472,0,0,-0.4151994368861456
1,B,contrast_low,pi_zero_hard,2,True,2.0,0.6931471805599452,0,0,-0.3192754284070505
1,B,contrast_low,pi_oracle_state_soft,2,True,1.577393433798666,0.4736582972581933,0,0,0.0518999296107682
1,B,contrast_low,pi_source_state_soft,2,True,1.577393433798666,0.4736582972581933,0,0,0.0518999296107682
1,A,gaussian_noise,pi_zero_soft,2,True,1.5071663302331708,0.4006262057258021,0,0,0.39789946034922286
1,A,gaussian_noise,pi_zero_hard,2,True,1.5,0.37217472567429855,0,0,0.47685185185185186
1,A,gaussian_noise,pi_oracle_state_soft,2,True,1.4895898690429314,0.40829885190295623,0,0,0.39789946034922286
1,A,gaussian_noise,pi_source_state_soft,2,True,1.4895898690429314,0.40829885190295623,0,0,0.39789946034922286
1,B,gaussian_noise,pi_zero_soft,2,True,1.5071663302331708,0.4006262057258021,0,0,0.39789946034922286
1,B,gaussian_noise,pi_zero_hard,2,True,1.5,0.37217472567429855,0,0,0.47685185185185186
1,B,gaussian_noise,pi_oracle_state_soft,2,True,1.4894101830946473,0.4084798661348623,0,0,0.39789946034922286
1,B,gaussian_noise,pi_source_state_soft,2,True,1.4894101830946473,0.4084798661348623,0,0,0.39789946034922286
1,A,gaussian_blur,pi_zero_soft,2,True,1.6022733055789868,0.447957476211321,0,0,0.18164975363768868
1,A,gaussian_blur,pi_zero_hard,2,True,1.6,0.44918523733161797,0,0,0.1851851851851852
1,A,gaussian_blur,pi_oracle_state_soft,2,True,1.4643439022168925,0.39778895477606735,0,0,0.39789946034922286
1,A,gaussian_blur,pi_source_state_soft,2,True,1.4643439022168925,0.39778895477606735,0,0,0.39789946034922286
1,B,gaussian_blur,pi_zero_soft,2,True,1.6022733055789868,0.447957476211321,0,0,0.18164975363768868
1,B,gaussian_blur,pi_zero_hard,2,True,1.6,0.44918523733161797,0,0,0.1851851851851852
1,B,gaussian_blur,pi_oracle_state_soft,2,True,1.4591656901073036,0.3934906140275465,0,0,0.39789946034922286
1,B,gaussian_blur,pi_source_state_soft,2,True,1.4591656901073036,0.3934906140275465,0,0,0.39789946034922286
2,A,clean,pi_zero_soft,2,True,1.79228032571354,0.5535395029206567,0,0,-0.3146266024828463
2,A,clean,pi_zero_hard,2,True,2.0,0.6931471805599453,0,0,-0.5063696835418334
2,A,clean,pi_oracle_state_soft,2,True,1.79228032571354,0.5535395029206567,0,0,-0.3146266024828463
2,A,clean,pi_source_state_soft,2,True,1.79228032571354,0.5535395029206567,0,0,-0.3146266024828463
2,B,clean,pi_zero_soft,2,True,1.79228032571354,0.5535395029206567,0,0,-0.3146266024828463
2,B,clean,pi_zero_hard,2,True,2.0,0.6931471805599453,0,0,-0.5063696835418334
2,B,clean,pi_oracle_state_soft,2,True,1.79228032571354,0.5535395029206567,0,0,-0.3146266024828463
2,B,clean,pi_source_state_soft,2,True,1.79228032571354,0.5535395029206567,0,0,-0.3146266024828463
2,A,brightness_dark,pi_zero_soft,2,True,1.7613800202349954,0.5555948220353366,0,0,-0.1797866299901979
2,A,brightness_dark,pi_zero_hard,2,True,2.0,0.6931471805599452,0,0,-0.32075014954979214
2,A,brightness_dark,pi_oracle_state_soft,2,True,1.8160357383523427,0.5769405710255859,0,0,-0.4944132324730442
2,A,brightness_dark,pi_source_state_soft,2,True,1.8160357383523427,0.5769405710255859,0,0,-0.4944132324730442
2,B,brightness_dark,pi_zero_soft,2,True,1.7613800202349954,0.5555948220353366,0,0,-0.1797866299901979
2,B,brightness_dark,pi_zero_hard,2,True,2.0,0.6931471805599452,0,0,-0.32075014954979214
2,B,brightness_dark,pi_oracle_state_soft,2,True,1.8180617880740355,0.5780434949752837,0,0,-0.4944132324730442
2,B,brightness_dark,pi_source_state_soft,2,True,1.8180617880740355,0.5780434949752837,0,0,-0.4944132324730442
2,A,contrast_low,pi_zero_soft,2,True,1.7551745601294917,0.5475160341371998,0,0,-0.26967994498529685
2,A,contrast_low,pi_zero_hard,2,True,2.0,0.6931471805599453,0,0,-0.41666666666666674
2,A,contrast_low,pi_oracle_state_soft,2,True,1.8059860463461772,0.5712891537971276,0,0,-0.42699324622672
2,A,contrast_low,pi_source_state_soft,2,True,1.8059860463461772,0.5712891537971276,0,0,-0.42699324622672
2,B,contrast_low,pi_zero_soft,2,True,1.7551745601294917,0.5475160341371998,0,0,-0.26967994498529685
2,B,contrast_low,pi_zero_hard,2,True,2.0,0.6931471805599453,0,0,-0.41666666666666674
