representation,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,mean_delta_pp,relative_mean_reduction,clients_better,clients_equal,clients_worse
L,context_vs_clean_prototype,A,brightness_dark,T013-S2,0.01926045211417672,0.08325737721272129,224241419854747201607358297897477464046284251831236756795950863484495194558850297017708914709029960291979063906505628221922117909907/11642583389290926078055575090702770961554821873275319732962136229739352809860197157301566914656090459587730056816384652497266584000000,521189973943996366375544887779688878374278669225991241137381148866750318299143413556515442390534569002221717041861251574303182847973769503285785929083974458905543511/6259985497890044506929074412324438722793817642703660248122437846513746935157420296582444236282984843034974635741247435606734520449362939582200880365120915617824000000,0.07288762000317167,0.27189808518220576,-6.399692509854457,0.7686637177512021,27,65,8
L,context_vs_clean_prototype,A,brightness_dark,T013-S3,0.01968088153949682,0.08204209601858851,504511898213008229879682044920318060473657154507675815685396164269798255434189081074282760109174710191970988040835058429/25634618916867229055823770422297542729017883725867188638671085987411110527564908946678635736142551639639984657815048000000,279733657656257131828206663615407565427301295335001297255054442130548124449362012262820581300243632742720170529317621136167635979965390973951447623659/3409635677675483582313932536688728444151668369512888740551295294395695184531204451885165384885404730316280364540591037992966441472295038851798508000000,0.07678728031519759,0.2723300775872943,-6.236121447909169,0.7601123996754341,27,64,9
L,context_vs_clean_prototype,A,contrast_low,T013-S0,0.05930723901728122,0.08974867543567515,5245690336233871733645195826151944632062001514957997907727870658347656616857577738042916499318894621819618469726365261834359666215266840456881284801917/88449410614197666894802723276395247394824394695638217084965212209237666449216004103790933271481691285534190653301629953437365745759108970586803424000000,111265187520732704473103796196590030959462594153417441780252660789142492273241511757976966849963393627691106153074178548624173909668365002860445088700146748120463493345569/1239741834412686298105215190867848109925334054780797873414021992011895527331624852940401128392490388797566840675093697562907731116498858097257070475034259411768281067200000,0.24471817951747465,0.2673390385069308,-3.0441436418393923,0.3391853558909844,46,31,23
L,context_vs_clean_prototype,A,contrast_low,T013-S1,0.05765025879458825,0.08972086856223402,224229215774803284922117875878691475236943009493666395853431041772429926258778830437619705155572214270316209821119394903218419611245811378521458960763002539/3889474574151471621870147158057302931168337433228976535314028468713478335686318111159965470584370310873612375330000033407482555697384379840244005456672000000,796393397665372114547674471717008358979119187296608304957324433633910808562551322659643101903063558295697104935420252575422985578503949261954512740031814014078134977909753/8876345162808600536161855242696354854412839825440415906963138534432662906142612574081467837053769082095799973102746091334655444966433383330395102238543889420599505344000000,0.25096424413639695,0.264438972471822,-3.2070609767645757,0.35744872159145774,46,32,22
L,context_vs_clean_prototype,A,contrast_low,T013-S2,0.05862192520854178,0.08988803556371879,442910249156100216167810916351899042122390200081638776545501157308768265512651238546992597514078754528850240351849479812189171910323536838856743018926643063609422804013/7555368534562626537011624738375465913214095702799170334402789184211368894991838468743743384660993362517967840818016179181500018610893067127650127933263253882816656000000,4975613910370095338840013459683420134210574170491407406581138195140136671035412663090987193854292472023045649661086459112987485949251127883218363005559987092385985316757785217/55353461438625387779838187141221315549371359434322728624523108845818260146789650416169784646283872399914307670185097946027973912371995149998903386898438766255784777066592000000,0.2515357528731706,0.2739622117290921,-3.1266110355177004,0.34783394874630946,45,30,25
L,context_vs_clean_prototype,A,contrast_low,T013-S3,0.057879414970843805,0.08968182655140866,1279547041104867200848577534843642504701747684119702733132345152220701403649577716194401501851057348493613583507478155435580751545371350744022202427921/22107117733470987839918896920363287971932677507406527352101766104035125640941034015510070998233916499244684232779399387823032030912250096695092304000000,917639707124652557602731105914229592665134998957416172311474749531290643611139745031039231606355661444927024168322025433680602120051631287187815395291538947926261491/10232170133138739722168183397322087081484164408569152974788346508312139711657298912671921199047995611828934897772051416709816688214788540933619093723255954879616000000,0.24356589635873938,0.26823243458340945,-3.180241158056486,0.3546137807790371,46,33,21
L,context_vs_clean_prototype,A,gaussian_noise,T013-S0,0.02762117935666098,0.041438481186207236,3306072384583501428188958307156580457967178592606868522930732554421036051749896270735793018291063182810785017294157216823711408207525659897487/119693382454584651630554367878840492915100209312183451917779785622297146608157502360523131209736785490764411349008839662917765578137821331200000,706278597608384984463314859318785063154733207414344831096331525935472946685871886482721564499335157075557287215259456867154045007520477165846068278094576685362293/17044027131078086664040429468404217781756192475744795742722400209285114025444851201453952311380249373567692185064161632429315311460629699640382115790244549056000000,0.09475496763878369,0.1761020780965564,-1.3817301829546254,0.3334413191317767,30,51,19
L,context_vs_clean_prototype,A,gaussian_noise,T013-S1,0.025979990240512042,0.04175791095782266,36014298919032784365962048581118192955586226308501353162237703213686331025123064324457188456796023318516261601160867262461455467936763998655567/1386232195841001052785927993006116710107346537658088780252656814479034609172120201819451988055644614401759508919229044566620597359566486256000000,348561197755654670563263147315495349967984069476014965542634783703220310403711425611941198437402113403081016634335020712451778388939570853043268967267/8347189544700092267084356620640659341128327890019162372383610883635911982874059611055528230367746304814504516298038153755921041834875285646223152000000,0.09424074311778655,0.17927672486357593,-1.5777920717310612,0.3778426735295023,30,51,19
L,context_vs_clean_prototype,A,gaussian_noise,T013-S2,0.027300251613214737,0.041840513000226384,12137951118503033307037579132159136427374102493718761625057484246316682132160574930924679232957063848498499162173548497509780572657858471000001819619/444609496295910897603189766345950301304716124411037556111635204822344238707049907870614024243998041275191325066403712347068285196774481322470304000000,17840463479534079674066099323309860389048508157880733647718781637014133132572471598609984380188856411337784938325662053620612609913388316658422933543749/426392082703133975314130399945936422756487454625612151168125273186879438984438747824672235949023561355633925310672095335666373820015501992675220944000000,0.0939324432866377,0.1714872705917186,-1.4540261387011644,0.3475163267461126,30,52,18
L,context_vs_clean_prototype,A,gaussian_noise,T013-S3,0.02829391867634277,0.041350139248079266,1019744511156684097806282115028817956452373222961369608916675716288993198226661001894285056702336767844233745083687078359686191229/36041119748086258105615177589719403131457188813335238908549572705679387217811749898409223937910981026989746946592131162147248000000,921689676572438823038490774515922071030310879070391545372931075616720225701616239577930811079550984273740077768437638340257630263268141188631803/22289880840371094960796504727163571485380165070621695846655054481298076755270616282618663382594218546460879729080654056694051666422465471364000000,0.09701980925156671,0.17857273401315674,-1.3056220571736492,0.3157479227193403,30,50,20
