representation,policy,bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,clean_delta_vs_zero,true_template_regret,true_template_regret_exact,regret_p90,optimal_set_agreement,canonical_agreement,L1
H,oracle,B,clean,T013-S3,37.86941132060703,25437612453159365786861/671719246908842938650,0.602202146137519,2505997369797934962443/4161388971911210748786,-0.4611407178373119,3.7307214008384912,0.02332632933033982,3141375896270265710908813000528849948128510050507388268217701514821380754878927940697605061671678692671522840734523058286399851592921672485421/134670819904114845963466102779137378594176097618886536732610867035299850147696948132678471512383609187079128007365196621501287406017162836000000,0.08433419038829774,0.58,0.575,0.925246647322647
H,oracle,B,brightness_dark,T013-S0,33.59370540878032,7521846166021147529029/223906415636280979550,0.9061708277640564,5389767410999076677831/5947849175743311063642,0.4663941117847085,16.047678954569264,0.01877656678480471,4174058196040312062205181590524956726271276248143280471354274756675328433942463412762466903417492452282111447498203253655771/222301459253895506408880926169714777427016982133289870739347343717332820779487039486556290382771117193544056755142083776000000,0.058711185882791596,0.72,0.7,0.7908498824245039
H,oracle,B,brightness_dark,T013-S1,33.49502805906788,1730711924848279729939/51670711300680226050,0.898559422526911,10713251346962347257782/11922696572292074619309,0.28156833646067875,15.949001604856814,0.01905369282183414,794702479191826548096826993845433629098702732098106500442595161657785532259318231645383715422929391572254127/41708580411307754686410328420115569763732865893368539514125914518782362572818534502953063940732926005232000000,0.05847569959698985,0.725,0.715,0.7908498824245039
H,oracle,B,brightness_dark,T013-S2,33.62039006754332,22583463096951741568303/671719246908842938650,0.9032419912506411,5398729710443226168439/5977057934350541265242,0.43309647223219466,16.07436361333226,0.018351739684274636,330373228027720553254770550321757337432775884127008406700990587975385900996634617020831371692990639669204504209804217906616583240421/18002283909400316952934975680355492510496807005465715277217162389673594308043642644458416790740854303078094747448622973713458901120000,0.05897678288765223,0.73,0.72,0.7908498824245039
H,oracle,B,brightness_dark,T013-S3,33.428392864456335,11227247440142773883941/335859623454421469325,0.8958209795924076,1185387911580028726273/1323241963053122658376,0.26778242033703215,15.882366410245274,0.01957015819493996,229082373442141957530808991736195819447951998486146957676065747637550552923634682549562241633892735955603412369011/11705698602956273377103739756431812357630753132179361450285509536369762175502072867812520328865946315909822062000000,0.06339184330299764,0.71,0.69,0.7908498824245039
H,oracle,B,contrast_low,T013-S0,27.756514199723384,12413172313617041719/447216542549163075,0.5817767234593337,873374986226788742695/1501220229358037726266,-1.74511470937974,7.801250212012865,0.055852972878619025,65760035966535385616769611638430658456832593025865632712572195392840859396571648504110297316894998709119687932929038403676513260965019765511517/1177377542811313223579498189230487651316010081520944894405542613071443386583337682281708997531118471323395817218056543858683922723877029856000000,0.24112915618954825,0.535,0.525,1.173162167496124
H,oracle,B,contrast_low,T013-S1,28.09521990033995,3145349992199114519449/111953207818140489775,0.6159231594101259,5467765055502622910926/8877349344582434514917,-1.4339613720783544,8.139955912629429,0.054084370253206115,71126748210989646002042948131354848603231186754989624448456003035674340996154495299918059428228055609625752287773354076167876484712787245916085915548126415357/1315107264409226621294128747135805786917233564829067015383477819666690530935776277745591117771353886173487160841619150302825947528872363455165327541203538000000,0.2489832964171453,0.545,0.535,1.173162167496124
H,oracle,B,contrast_low,T013-S2,27.59625578994129,975628218774903111053/35353644574149628350,0.5732324443019754,5132601259031094904239/8953787089425928025684,-2.085299744336645,7.6409918022307695,0.05920955168136301,27015928066121684753484078631315244704922360210901810754101282082539592036107231155176868607325571291204041306456349106726466841802538493671617373939848837443/456276517875160810829673410889257403163590945871801959112752161118394921513404434568701936446401613684225439630299020190121159368238541470246004396060528000000,0.2571077809642458,0.51,0.495,1.173162167496124
H,oracle,B,contrast_low,T013-S3,27.79030048120174,9333639855301644022394/335859623454421469325,0.5816850739374487,2631472406455611919510/4523878167688012591503,-1.8847861841320084,7.83503649349122,0.05560893950331976,5662265414321804537432150712020293735757523537944977636702927156955845159068804704220961027227918601389698593807408015674480264899165094756445573/101822934673727716739176138240313835197520329317064271818001037870479334980960645251741089244767124811240236907350267500140257415572215222195200000,0.24166683660891394,0.525,0.515,1.173162167496124
H,oracle,B,gaussian_noise,T013-S0,34.33910515378746,23066237853425678489803/671719246908842938650,0.5309831983811144,2460145747832014469570/4633189440518302623787,-1.104484483920483,3.6624613023272112,0.028373067314060193,8255506821429891056460821406072975155212319270684896075712547335330879082551356064185431954266853976251230345984218267263705702728370991960157/290962789819305074808594259147168468851138728239865898586163468559997487661719855815558783771612862906444117823323784372741636123483252672000000,0.09280721309845008,0.595,0.585,0.9283158632614817
H,oracle,B,gaussian_noise,T013-S1,34.092165127183414,3816727247453926990061/111953207818140489775,0.4951738137441554,2294271379129897920133/4633264755626382303719,-1.364757843857858,3.4155212757231697,0.030053637626714876,3143167593710639169275854825521274539245507740511147227892223751139452926158458681623465291584704543689988611090068734357593277086057984470423/104585262947226620128496825392526219959848306225106983093191172637820569741809598149337672396717565606048278744342767563109659919331237152000000,0.0954569121554721,0.585,0.575,0.9283158632614817
H,oracle,B,gaussian_noise,T013-S2,34.33275532953293,11530986277129711150624/335859623454421469325,0.529069587439595,2455880448665758281015/4641885504231807058766,-1.1108254311221941,3.6561114780726816,0.02862692646730591,291801396546555973460988328875324971382521751387527604547672900376057629917356499006697827769140328151085453292799848750553632501653013937178337/10193249243149277364135714811193816365323921817119223729157987519274759793985787986658027916451447554775224654257519623497883053568472157344000000,0.09185893983971162,0.595,0.575,0.9283158632614817
