pool,layer,mse_before,mse_after,restoration_ratio,gamma_abs_mean,gamma_abs_max,beta_abs_mean,beta_abs_max,cap_fraction,negative_scale_fraction,nonfinite_count
A,1,0.0,2.458734701839759e-09,,0.00024598464369773865,0.000770866870880127,4.366699795355089e-05,0.00015777049702592194,0.0,0.0,0
A,2,5.2716096289228785e-09,7.841415007240872e-08,14.874802117779478,0.01901055872440338,0.6760745644569397,4.3889500375371426e-05,0.0001852262212196365,0.0,0.0,0
B,1,0.0,2.548543667969088e-09,,0.00025497376918792725,0.0007776618003845215,4.483104567043483e-05,0.00015284656547009945,0.0,0.0,0
B,2,5.200852147972863e-09,8.314374991412449e-08,15.986562884032656,0.015641868114471436,0.5306202173233032,4.442705903784372e-05,0.00017850003496278077,0.0,0.0,0
