method,context,lr,steps,n,accuracy,accuracy_sd,gain_pp,support_loss_before,support_loss_after,query_loss_before,query_loss_after,worst_class_accuracy,gamma_norm,beta_norm
none,none,0.0,0,1,17.999999225139618,0.0,0.0,0,0,2.278552293777466,2.278552293777466,0.0,0.0,0.0
random_no_write,random,0.0,0,1,18.99999976158142,0.0,1.000000536441803,2.304476261138916,2.304600238800049,2.278552293777466,2.2777490615844727,0.0,0.14638853073120117,0.1419590413570404
bn,correct,0.0,0,1,19.999998807907104,0.0,1.9999995827674866,2.304476261138916,2.7508320808410645,2.278552293777466,2.5627448558807373,0.0,0.0,0.0
prior,correct,0.0,0,1,7.999999821186066,0.0,-9.999999403953552,2.304476261138916,2.317483901977539,2.278552293777466,2.3257226943969727,0.0,0.0,0.0
affine,correct,0.01,1,1,17.999999225139618,0.0,0.0,2.304476261138916,2.304461717605591,2.278552293777466,2.2785565853118896,0.0,6.204051896929741e-05,0.00037412732490338385
bn,wrong_MNIST,0.0,0,1,12.999999523162842,0.0,-4.999999701976776,2.251763343811035,1.8017867803573608,2.278552293777466,2.3269290924072266,0.0,0.0,0.0
prior,wrong_MNIST,0.0,0,1,7.999999821186066,0.0,-9.999999403953552,2.251763343811035,2.260380506515503,2.278552293777466,2.3257226943969727,0.0,0.0,0.0
affine,wrong_MNIST,0.01,1,1,17.999999225139618,0.0,0.0,2.251763343811035,2.251737594604492,2.278552293777466,2.278557538986206,0.0,0.00025064017972908914,0.0004414631403051317
bn,wrong_USPS,0.0,0,1,17.999999225139618,0.0,0.0,2.259936809539795,1.874852180480957,2.278552293777466,2.4076485633850098,0.0,0.0,0.0
prior,wrong_USPS,0.0,0,1,7.999999821186066,0.0,-9.999999403953552,2.259936809539795,2.270949125289917,2.278552293777466,2.3257226943969727,0.0,0.0,0.0
affine,wrong_USPS,0.01,1,1,17.999999225139618,0.0,0.0,2.259936809539795,2.2599036693573,2.278552293777466,2.278557062149048,0.0,0.00019733801309484988,0.0005425424897111952
bn,wrong_MNISTM,0.0,0,1,17.999999225139618,0.0,0.0,2.2993717193603516,2.654601573944092,2.278552293777466,2.2666432857513428,0.0,0.0,0.0
prior,wrong_MNISTM,0.0,0,1,7.999999821186066,0.0,-9.999999403953552,2.2993717193603516,2.309791088104248,2.278552293777466,2.3257226943969727,0.0,0.0,0.0
affine,wrong_MNISTM,0.01,1,1,17.999999225139618,0.0,0.0,2.2993717193603516,2.299346923828125,2.278552293777466,2.278557538986206,0.0,0.00013598945224657655,0.00048160128062590957
bn,shuffled,0.0,0,1,19.999998807907104,0.0,1.9999995827674866,2.3104147911071777,2.8624770641326904,2.278552293777466,2.5627448558807373,0.0,0.0,0.0
prior,shuffled,0.0,0,1,7.999999821186066,0.0,-9.999999403953552,2.3104147911071777,2.32342267036438,2.278552293777466,2.3257226943969727,0.0,0.0,0.0
affine,shuffled,0.01,1,1,17.999999225139618,0.0,0.0,2.3104147911071777,2.310403347015381,2.278552293777466,2.2785587310791016,0.0,6.556395237566903e-05,0.0003346331650391221
bn,noise,0.0,0,1,17.000000178813934,0.0,-0.9999990463256836,2.316319465637207,2.849214792251587,2.278552293777466,2.4536542892456055,0.0,0.0,0.0
prior,noise,0.0,0,1,7.999999821186066,0.0,-9.999999403953552,2.316319465637207,2.320873975753784,2.278552293777466,2.3257226943969727,0.0,0.0,0.0
affine,noise,0.01,1,1,17.999999225139618,0.0,0.0,2.316319465637207,2.316298246383667,2.278552293777466,2.2785561084747314,0.0,0.00018505413027014583,0.00042217448935844004
full,correct,0.001,1,1,17.999999225139618,0.0,0.0,2.304476261138916,2.304367780685425,2.278552293777466,2.2785561084747314,0.0,0.0,0.0
