client,n_query,before,after,delta,logit_abs_difference_mean,logit_abs_difference_max
0,178,32.022473216056824,26.966291666030884,-5.05618155002594,0.3044790029525757,0.9814152121543884
1,99,14.141413569450378,15.15151560306549,1.0101020336151123,0.44854190945625305,1.3274452686309814
2,140,1.4285714365541935,1.4285714365541935,0.0,0.6698670387268066,1.989783763885498
3,216,14.351852238178253,1.3888888992369175,-12.962963338941336,1.1417369842529297,2.8692691326141357
4,105,7.619047909975052,3.809523954987526,-3.809523954987526,0.13981954753398895,0.5299053192138672
5,158,30.379748344421387,26.582279801368713,-3.7974685430526733,0.20024047791957855,0.7430369257926941
6,261,47.89271950721741,27.203065156936646,-20.68965435028076,0.9284460544586182,2.7441396713256836
7,197,20.812182128429413,20.812182128429413,0.0,0.10419289767742157,0.5642604827880859
8,193,19.170984625816345,12.435232847929,-6.735751777887344,0.5174688100814819,1.9636800289154053
9,176,23.295454680919647,25.0,1.7045453190803528,0.2402954250574112,1.0259077548980713
10,282,14.184397459030151,12.056737393140793,-2.1276600658893585,0.6495117545127869,1.8351356983184814
11,180,65.00000357627869,45.55555582046509,-19.4444477558136,0.2288498729467392,0.7067533731460571
12,164,21.95121943950653,19.512194395065308,-2.439025044441223,0.3912113606929779,1.238635540008545
13,80,58.75000357627869,43.75,-15.000003576278687,0.397625595331192,1.4530372619628906
14,71,57.7464759349823,46.47887349128723,-11.267602443695068,0.4410216212272644,1.5586705207824707
15,236,0.0,0.0,0.0,0.680729866027832,2.252305030822754
16,21,66.66666865348816,52.3809552192688,-14.28571343421936,0.8387565612792969,1.49253249168396
17,87,65.51724076271057,37.931033968925476,-27.586206793785095,0.8267890810966492,1.6726839542388916
18,10,10.000000149011612,20.000000298023224,10.000000149011612,0.5868871212005615,1.3099925518035889
19,91,45.0549453496933,41.75824224948883,-3.2967031002044678,0.14916574954986572,0.6139571666717529
20,152,78.28947305679321,34.86842215061188,-43.421050906181335,0.8610632419586182,2.810452461242676
21,242,0.0,0.0,0.0,0.7308831810951233,2.0116844177246094
22,175,65.71428775787354,61.14285588264465,-4.571431875228882,0.260592520236969,0.9055066108703613
23,140,38.57142925262451,26.428571343421936,-12.142857909202576,0.9012501835823059,1.8273496627807617
24,179,3.3519551157951355,1.6759775578975677,-1.6759775578975677,0.42297497391700745,1.32942795753479
25,36,38.88888955116272,36.11111044883728,-2.7777791023254395,0.07391583174467087,0.28126245737075806
26,284,75.70422291755676,45.07042169570923,-30.633801221847534,0.6388217210769653,2.2775192260742188
27,195,82.56410360336304,37.435898184776306,-45.12820541858673,1.0726571083068848,2.9481735229492188
28,26,23.076924681663513,19.23076957464218,-3.846155107021332,0.597274899482727,1.6724891662597656
29,382,75.91623067855835,40.31413793563843,-35.60209274291992,0.940220832824707,2.3568811416625977
30,275,29.454544186592102,24.727272987365723,-4.727271199226379,0.4986846446990967,1.8078522682189941
31,202,62.871283292770386,32.673266530036926,-30.19801676273346,1.0055605173110962,2.0980563163757324
32,198,29.797980189323425,24.747474491596222,-5.050505697727203,0.3072283864021301,0.8964061141014099
33,264,20.454546809196472,14.772728085517883,-5.681818723678589,0.19330362975597382,0.7430577278137207
34,102,23.52941334247589,18.627451360225677,-4.901961982250214,0.6249566078186035,2.0847225189208984
35,175,70.28571367263794,41.14285707473755,-29.14285659790039,1.0955523252487183,2.2740819454193115
36,18,16.66666716337204,16.66666716337204,0.0,0.17122136056423187,0.5635708570480347
37,80,26.250001788139343,28.749999403953552,2.499997615814209,0.14174926280975342,0.4640536308288574
38,25,68.00000071525574,35.999998450279236,-32.0000022649765,0.9469308257102966,2.0440917015075684
39,160,51.249998807907104,43.12500059604645,-8.124998211860657,0.6840662956237793,2.103768825531006
40,250,0.800000037997961,1.2000000104308128,0.3999999724328518,0.6157153248786926,1.8771591186523438
41,100,9.999999403953552,8.999999612569809,-0.9999997913837433,0.2227863073348999,0.5706622004508972
42,320,56.25,54.6875,-1.5625,0.1637422889471054,0.6585574150085449
43,198,7.070706784725189,6.565656512975693,-0.5050502717494965,0.14967277646064758,0.5886509418487549
44,74,22.972974181175232,17.56756752729416,-5.405406653881073,0.8477312326431274,1.7348628044128418
45,13,46.153849363327026,23.076924681663513,-23.076924681663513,0.4527735114097595,1.1666018962860107
46,79,15.189874172210693,6.329113990068436,-8.860760182142258,0.715664267539978,1.9731237888336182
47,32,62.5,56.25,-6.25,0.7824291586875916,1.554801106452942
48,161,1.8633540719747543,3.105590119957924,1.2422360479831696,0.6413129568099976,1.719604253768921
49,202,22.27722704410553,16.336633265018463,-5.940593779087067,0.4951227903366089,1.1758208274841309
50,121,39.66941833496094,38.01652789115906,-1.6528904438018799,0.38162168860435486,1.2903509140014648
51,12,0.0,0.0,0.0,0.8993518948554993,1.761120080947876
52,24,45.83333432674408,41.66666865348816,-4.16666567325592,0.29645711183547974,1.044893741607666
53,121,27.272725105285645,28.925618529319763,1.6528934240341187,0.20054467022418976,0.6582822799682617
54,237,30.379745364189148,28.270041942596436,-2.1097034215927124,0.4450948238372803,1.2479301691055298
55,210,70.47619223594666,38.0952388048172,-32.380953431129456,1.135013461112976,2.4753270149230957
56,118,16.101695597171783,15.25423675775528,-0.8474588394165039,0.08536960184574127,0.3095831871032715
57,117,42.73504614830017,33.33333432674408,-9.401711821556091,0.5771687626838684,1.711998462677002
58,28,3.57142873108387,3.57142873108387,0.0,0.8851094841957092,1.9344134330749512
59,94,47.87233769893646,43.617019057273865,-4.255318641662598,0.36476224660873413,1.1884703636169434
60,475,17.89473593235016,7.1578942239284515,-10.736841708421707,0.8875709176063538,1.9801466464996338
61,15,6.666667014360428,6.666667014360428,0.0,0.19629819691181183,0.6307507157325745
62,75,15.999999642372131,15.999999642372131,0.0,0.21321158111095428,0.4835154414176941
63,215,35.348838567733765,22.325581312179565,-13.0232572555542,0.7411543130874634,2.6345510482788086
64,127,22.834645211696625,21.259842813014984,-1.5748023986816406,0.4363780617713928,1.0691747665405273
65,152,23.02631586790085,11.84210553765297,-11.184210330247879,0.7302057147026062,2.0024032592773438
66,194,3.0927833169698715,2.5773195549845695,-0.515463761985302,0.593812882900238,1.7545950412750244
67,82,25.609755516052246,26.82926654815674,1.2195110321044922,0.14601659774780273,0.6471536159515381
68,229,24.017468094825745,15.72052389383316,-8.296944200992584,0.7105401754379272,2.094858169555664
69,142,21.12676054239273,21.830984950065613,0.7042244076728821,0.2675042152404785,0.8452801704406738
70,77,62.337660789489746,36.36363744735718,-25.97402334213257,0.9873710870742798,2.1208417415618896
71,36,11.11111119389534,13.88888955116272,2.7777783572673798,0.6376970410346985,1.9949426651000977
72,161,45.34161686897278,31.05590045452118,-14.2857164144516,0.4831399917602539,1.143446683883667
73,228,30.263158679008484,25.438597798347473,-4.824560880661011,0.6999915838241577,1.8642274141311646
74,164,71.95121645927429,45.7317054271698,-26.219511032104492,0.702281653881073,2.1294362545013428
75,200,46.50000035762787,37.5,-9.000000357627869,0.5429717302322388,1.2270917892456055
76,167,56.28742575645447,42.514970898628235,-13.772454857826233,0.7024943232536316,1.8848565816879272
77,172,36.62790656089783,32.55814015865326,-4.069766402244568,0.17436175048351288,0.7342801094055176
78,98,15.306122601032257,11.224489659070969,-4.0816329419612885,0.5059571266174316,1.4084441661834717
