target,context,accuracy,macro_client_accuracy,copied_t002
brightness_dark,none,17.640800563718493,18.259971715975553,False
brightness_dark,moment_correct,23.79147557913167,23.678631037008017,False
brightness_dark,moment_wrong_clean,11.749451520876091,13.178074645344168,False
brightness_dark,moment_wrong_alt,11.104461839869078,12.849751177243888,False
brightness_dark,moment_noise_image,13.15247002476978,12.734334106557071,False
brightness_dark,T002_ce_correct,52.05133337565537,48.957613707054406,True
brightness_dark,T002_ce_noise,50.40893674419331,45.85848221555352,True
contrast_low,none,20.087771783004776,20.05806868383661,False
contrast_low,moment_correct,19.37628839489099,19.622429146897048,False
contrast_low,moment_wrong_clean,13.597978650591587,14.264509164728224,False
contrast_low,moment_wrong_alt,15.200478795132959,15.662403693888336,False
contrast_low,moment_noise_image,15.53294753784414,15.28771639522165,False
contrast_low,T002_ce_correct,55.28958058581068,51.802650140598416,True
contrast_low,T002_ce_noise,57.12480885138005,52.545004941523075,True
gaussian_noise,none,30.74672521857479,29.499900958500803,False
gaussian_noise,moment_correct,22.9337057647359,22.931444060988724,False
gaussian_noise,moment_wrong_clean,19.542522916602632,19.551052381750196,False
gaussian_noise,moment_wrong_alt,23.917813782345927,24.18672798667103,False
gaussian_noise,moment_noise_image,36.804308611890946,35.01135690510273,False
gaussian_noise,T002_ce_correct,55.62869869831478,52.94712782278657,True
gaussian_noise,T002_ce_noise,56.60615736479054,53.52354505285621,True
gaussian_blur,none,30.99275230779893,30.511363789904863,False
gaussian_blur,moment_correct,23.099940137295977,23.194975623395294,False
gaussian_blur,moment_wrong_clean,21.337854902391477,21.959936587139964,False
gaussian_blur,moment_wrong_alt,21.065230427871054,20.87629139982164,False
gaussian_blur,moment_noise_image,31.750781251366163,31.51708895713091,False
gaussian_blur,T002_ce_correct,57.03836703778653,54.149280428886414,True
gaussian_blur,T002_ce_noise,60.29656231571793,56.73545162379742,True
