client,target,n_query,none,moment_correct,moment_wrong_clean,moment_wrong_alt,moment_noise_image,delta_wrong_clean,delta_wrong_alt
0,brightness_dark,178,6.741572916507721,32.022473216056824,7.303370535373688,2.247191034257412,1.6853932291269302,24.719102680683136,29.77528218179941
1,brightness_dark,99,0.0,19.191919267177582,1.0101010091602802,1.0101010091602802,0.0,18.1818182580173,18.1818182580173
2,brightness_dark,140,0.0,0.7142857182770967,0.0,0.0,0.0,0.7142857182770967,0.7142857182770967
3,brightness_dark,216,0.0,2.777777798473835,0.0,0.0,0.46296296641230583,2.777777798473835,2.777777798473835
4,brightness_dark,105,0.0,1.904761977493763,0.0,0.0,1.904761977493763,1.904761977493763,1.904761977493763
5,brightness_dark,158,25.316455960273743,29.7468364238739,20.886076986789703,24.05063360929489,8.860759437084198,8.860759437084198,5.69620281457901
6,brightness_dark,261,29.885056614875793,27.969348430633545,18.390804529190063,9.961685538291931,14.942528307437897,9.578543901443481,18.007662892341614
7,brightness_dark,197,3.553299605846405,21.31979614496231,3.0456852167844772,2.0304568111896515,1.0152284055948257,18.274110928177834,19.28933933377266
8,brightness_dark,193,0.5181347019970417,8.290155231952667,0.5181347019970417,1.0362694039940834,1.554404105991125,7.7720205299556255,7.253885827958584
9,brightness_dark,176,0.0,36.36363744735718,3.4090910106897354,2.8409091755747795,0.5681818351149559,32.95454643666744,33.5227282717824
10,brightness_dark,282,20.21276503801346,14.539006352424622,23.758864402770996,23.404254019260406,48.58155846595764,-9.219858050346375,-8.865247666835785
11,brightness_dark,180,52.77777910232544,44.44444477558136,34.99999940395355,45.00000178813934,23.333333432674408,9.444445371627808,-0.5555570125579834
12,brightness_dark,164,12.195121496915817,25.609755516052246,12.195121496915817,12.804877758026123,3.658536449074745,13.414634019136429,12.804877758026123
13,brightness_dark,80,18.75,38.75000178813934,3.750000149011612,2.500000037252903,6.25,35.00000163912773,36.25000175088644
14,brightness_dark,71,88.73239159584045,40.84506928920746,88.73239159584045,92.95774698257446,23.943661153316498,-47.887322306632996,-52.112677693367004
15,brightness_dark,236,0.0,0.8474576286971569,0.0,0.0,69.06779408454895,0.8474576286971569,0.8474576286971569
16,brightness_dark,21,19.0476194024086,52.3809552192688,14.28571492433548,14.28571492433548,4.76190485060215,38.09524029493332,38.09524029493332
17,brightness_dark,87,13.793103396892548,35.63218414783478,0.0,0.0,0.0,35.63218414783478,35.63218414783478
18,brightness_dark,10,0.0,10.000000149011612,0.0,0.0,0.0,10.000000149011612,10.000000149011612
19,brightness_dark,91,57.14285969734192,40.65934121608734,54.94505763053894,60.43956279754639,18.681319057941437,-14.2857164144516,-19.780221581459045
