client,bank,context,salt,train_half,BER128,BER256,max_mean_utility_difference,max_vote_frequency_difference,top_mean_utility_margin,p_mode
0,B,gaussian_noise,T013-S1,0,1,3,0.0011026654231980535,0.0546875,2.4590322302222115e-05,0.46484375
1,B,gaussian_blur,T013-S1,0,1,2,0.003077474134763564,0.01171875,0.002148263157152801,0.52734375
5,A,contrast_low,T013-S1,1,2,3,0.0026492715721922653,0.05078125,0.000400621797704692,0.52734375
5,A,contrast_low,T013-S2,0,2,3,0.0028974457795567466,0.046875,0.00032012822171690095,0.5078125
5,A,gaussian_noise,T013-S0,1,3,1,0.004074968795598254,0.01171875,0.0021818776964978187,0.54296875
5,B,contrast_low,T013-S1,0,2,3,0.009387904504422466,0.0390625,0.005468121668574151,0.546875
5,B,gaussian_blur,T013-S3,1,3,1,0.003334603682500245,0.0390625,0.0005217475631282308,0.5234375
6,A,clean,T013-S1,0,3,0,0.007559222847203046,0.04296875,0.0008572552035599422,0.515625
6,A,clean,T013-S2,1,3,0,0.007764673360822747,0.03515625,0.0009644991887004843,0.515625
6,B,contrast_low,T013-S2,0,1,2,0.0027198291412621634,0.0078125,0.001813389468928681,0.4375
8,A,contrast_low,T013-S0,1,3,1,0.004739609079070532,0.03515625,0.006834702917442659,0.37109375
8,A,contrast_low,T013-S1,1,3,1,0.004669744232940864,0.03125,0.0027424282591805953,0.375
8,A,contrast_low,T013-S2,1,3,2,0.004404038130199831,0.0390625,7.611160806088646e-05,0.375
8,A,contrast_low,T013-S3,0,3,1,0.004886170098305467,0.03515625,0.005359497349415996,0.36328125
9,A,clean,T013-S0,1,1,3,0.00757237944655705,0.0390625,0.0024054259761423667,0.4375
9,A,gaussian_noise,T013-S0,1,1,3,0.003073372819797763,0.0234375,0.00228563747989571,0.4609375
9,A,gaussian_noise,T013-S2,1,1,3,0.0035554419236027285,0.02734375,0.0026710956554124713,0.4609375
9,A,gaussian_noise,T013-S3,1,1,3,0.003377791468050013,0.0234375,0.002757214662114749,0.45703125
10,B,clean,T013-S2,0,1,3,0.004328215448730422,0.0,0.0022593515751593444,0.5234375
11,A,brightness_dark,T013-S2,0,1,3,0.008482166901884984,0.046875,0.004549358347797498,0.515625
11,A,brightness_dark,T013-S3,1,1,3,0.008320658956771376,0.0546875,0.003309579488301724,0.5078125
11,B,brightness_dark,T013-S0,1,3,1,0.002507142559537664,0.0078125,0.002393576680474328,0.484375
15,A,clean,T013-S1,1,0,3,0.00467772724030133,0.0390625,0.0009192968072996142,0.5234375
15,A,clean,T013-S2,1,0,3,0.004857873832126619,0.03125,0.0017369894122332044,0.5546875
15,A,clean,T013-S3,1,0,3,0.0038807253024691745,0.0390625,0.0020373743969093984,0.5390625
15,A,brightness_dark,T013-S0,0,4,0,0.009280398249881708,0.04296875,0.0006887843444676003,0.33984375
15,A,brightness_dark,T013-S1,0,4,0,0.009025550499606872,0.04296875,0.003864829345401541,0.3515625
15,A,brightness_dark,T013-S1,1,4,0,0.008927411063090392,0.046875,0.0009139292115443833,0.3203125
15,A,brightness_dark,T013-S2,0,4,0,0.009350685044638887,0.0390625,0.0023519481339813898,0.30078125
15,A,brightness_dark,T013-S2,1,4,0,0.008585590028231416,0.0390625,0.0024073672490272586,0.38671875
15,A,brightness_dark,T013-S3,0,4,0,0.008803383592581985,0.0390625,0.0024943272436129724,0.37890625
15,A,brightness_dark,T013-S3,1,4,0,0.009151092830022712,0.0390625,0.002252335797564039,0.30859375
15,B,clean,T013-S2,0,3,0,0.002636619218646986,0.02734375,0.00015612784168870204,0.50390625
15,B,brightness_dark,T013-S0,0,4,0,0.00949027940460061,0.04296875,0.00037919129801174025,0.37109375
15,B,brightness_dark,T013-S1,1,4,0,0.009228603954547247,0.0234375,0.0013251021665380358,0.359375
15,B,brightness_dark,T013-S3,0,4,0,0.009390084483770555,0.0234375,0.00011718507491136064,0.40234375
16,B,gaussian_noise,T013-S1,0,0,3,0.00315520866287355,0.01171875,0.0002312427179336264,0.50390625
17,B,gaussian_noise,T013-S0,0,3,0,0.006748838663766359,0.03125,0.002246345309091926,0.4453125
22,A,brightness_dark,T013-S0,0,1,4,0.002779036836627726,0.01953125,0.0003280296006569379,0.484375
22,B,brightness_dark,T013-S1,0,4,1,0.00623081592937002,0.03125,0.0016277306976405,0.45703125
22,B,brightness_dark,T013-S2,1,4,1,0.005953670133113775,0.015625,0.0001915512721648603,0.4453125
22,B,gaussian_blur,T013-S0,0,4,3,0.0037181012384955034,0.01171875,0.000582394677264781,0.50390625
23,A,gaussian_blur,T013-S0,0,1,3,0.01135707136337809,0.03125,0.0023313606551958656,0.390625
