client,bank,context,salt,train_half,BER128,BER256,max_mean_utility_difference,max_vote_frequency_difference,top_mean_utility_margin,p_mode
23,A,gaussian_blur,T013-S0,1,1,4,0.011470268983040302,0.0390625,0.00330271725156763,0.41796875
23,A,gaussian_blur,T013-S1,0,1,3,0.010959251173913187,0.03515625,0.0023484065844900158,0.41015625
23,A,gaussian_blur,T013-S1,1,1,0,0.011867489443514363,0.04296875,0.002320996057491765,0.3984375
23,A,gaussian_blur,T013-S2,1,4,0,0.011239498995393846,0.03515625,0.0007815652774669391,0.39453125
23,A,gaussian_blur,T013-S3,0,1,4,0.011900522176850087,0.03515625,0.0011018700328628876,0.41796875
23,A,gaussian_blur,T013-S3,1,1,3,0.01092767315139878,0.0390625,0.0010869509548746949,0.40625
23,B,gaussian_blur,T013-S1,1,3,0,0.005602071560830823,0.04296875,0.0002012519358706507,0.40234375
23,B,gaussian_blur,T013-S2,0,1,3,0.005491021895514147,0.0390625,0.003438321375833232,0.421875
24,A,clean,T013-S0,1,4,2,0.010510273284571757,0.03125,0.002589216319704018,0.5859375
24,A,clean,T013-S2,1,4,2,0.010480344049176533,0.03125,0.0013592996592000318,0.57421875
24,A,clean,T013-S3,0,4,2,0.010960022009414358,0.02734375,0.004200206609313202,0.58984375
24,A,clean,T013-S3,1,4,2,0.010275901154658734,0.03515625,0.0030300988163125017,0.58203125
24,B,clean,T013-S0,0,2,4,0.011976203024013577,0.04296875,9.093900262453278e-05,0.54296875
24,B,clean,T013-S3,1,2,4,0.011204226983792828,0.04296875,0.00035935938219959273,0.53125
26,A,gaussian_blur,T013-S1,0,4,0,0.0017262193889714408,0.03125,0.0008468331499151474,0.52734375
27,A,brightness_dark,T013-S1,1,1,2,0.011366825447613152,0.05078125,0.005277019562788398,0.55078125
27,A,brightness_dark,T013-S3,1,1,2,0.011514031731215775,0.04296875,0.0017206767279987836,0.53515625
28,B,clean,T013-S0,1,3,0,0.0018294784977612624,0.01171875,0.00010782818924978517,0.4375
28,B,contrast_low,T013-S0,0,2,1,0.013837792745970395,0.01171875,0.004779379844544555,0.4296875
28,B,contrast_low,T013-S1,0,2,1,0.01522339926754764,0.015625,0.0011063287547513716,0.41015625
28,B,contrast_low,T013-S1,1,2,1,0.013279296231594462,0.015625,0.0004622736492044131,0.40625
28,B,contrast_low,T013-S3,0,2,1,0.01448950698826997,0.0234375,0.0007925438796007128,0.41796875
28,B,contrast_low,T013-S3,1,2,1,0.0139696715195406,0.015625,0.0008582062980282847,0.41015625
33,B,brightness_dark,T013-S0,1,3,1,0.006450604518115649,0.02734375,0.002460947800464684,0.54296875
33,B,brightness_dark,T013-S1,1,3,1,0.006573271835145846,0.0234375,0.00046707366289623647,0.5234375
33,B,brightness_dark,T013-S3,0,3,1,0.006601106128900569,0.01953125,0.0014253488579452679,0.53515625
34,B,gaussian_noise,T013-S2,0,1,3,0.0022756180655715114,0.03125,0.001908310851323037,0.53515625
36,A,clean,T013-S1,0,4,0,0.006444568208583161,0.06640625,0.0025025864844750315,0.37890625
36,A,clean,T013-S2,0,4,0,0.006499461448484225,0.05078125,0.00036007175715155153,0.39453125
36,B,gaussian_blur,T013-S3,0,4,2,0.0022655919592583333,0.03125,0.0004285540737923737,0.421875
37,A,clean,T013-S0,1,0,3,0.007989665448281108,0.01953125,0.0015079779685570733,0.578125
37,A,clean,T013-S1,1,0,3,0.00809888573079728,0.03125,0.000716805229158618,0.55859375
37,A,clean,T013-S2,1,0,3,0.007493860006599304,0.02734375,0.00036988869007800165,0.55859375
38,A,gaussian_blur,T013-S1,1,4,0,0.004102691354621804,0.04296875,0.0011488496648295666,0.60546875
38,A,gaussian_blur,T013-S3,0,4,0,0.003940286113992173,0.04296875,0.001517252050312729,0.60546875
38,B,gaussian_blur,T013-S1,0,0,4,0.008791432526422126,0.07421875,0.0033708398826979777,0.453125
42,A,gaussian_noise,T013-S0,1,3,0,0.004056915202725561,0.01171875,0.0004062126226380032,0.46875
42,A,gaussian_noise,T013-S3,1,3,0,0.0036514439975349764,0.0234375,0.001435984215095043,0.453125
42,B,gaussian_noise,T013-S3,0,3,0,0.001995357400245321,0.0234375,0.0007328872157058088,0.484375
46,A,contrast_low,T013-S0,1,3,1,0.007917095073142538,0.0,0.0014862372670342498,0.5
46,A,contrast_low,T013-S3,0,3,1,0.008167704778576208,0.00390625,0.007528362936648356,0.51171875
46,A,contrast_low,T013-S3,1,3,1,0.007582125229047528,0.0078125,0.00993700729788932,0.5234375
46,B,contrast_low,T013-S0,0,3,1,0.0060170982018707886,0.01171875,0.0016891639907412337,0.50390625
46,B,contrast_low,T013-S1,0,3,1,0.0060260121712430335,0.015625,0.007158061676465427,0.515625
47,B,gaussian_blur,T013-S0,0,3,0,0.004511409388885252,0.03125,0.0010098892022999504,0.66015625
47,B,gaussian_blur,T013-S0,1,0,4,0.004113277383256984,0.0234375,0.0007441519831711898,0.484375
47,B,gaussian_blur,T013-S1,0,3,4,0.004037498108958586,0.03125,0.0006856045454507114,0.6484375
47,B,gaussian_blur,T013-S2,0,0,4,0.004467939755552386,0.04296875,0.001383597493673247,0.47265625
50,A,contrast_low,T013-S3,0,2,3,0.008789428142412951,0.03125,0.00655889107848264,0.453125
50,A,gaussian_blur,T013-S0,0,3,1,0.01050074571237203,0.03125,0.0037696765747401236,0.453125
50,A,gaussian_blur,T013-S0,1,3,1,0.011308546968189412,0.02734375,0.007015151954107139,0.46484375
50,A,gaussian_blur,T013-S1,0,3,1,0.010734770640531736,0.03515625,0.0037431817093450674,0.44921875
50,A,gaussian_blur,T013-S1,1,3,1,0.011082403851527362,0.03515625,0.007042711081894868,0.47265625
50,A,gaussian_blur,T013-S3,0,3,1,0.011737352390763034,0.02734375,0.00813506584832459,0.4609375
50,A,gaussian_blur,T013-S3,1,3,1,0.010090042409540303,0.03515625,0.002494704024398846,0.45703125
50,B,gaussian_blur,T013-S0,0,3,1,0.008599056714376933,0.0390625,0.005464485930604561,0.46875
50,B,gaussian_blur,T013-S0,1,3,1,0.008522175253534894,0.0546875,0.0004970940379565627,0.4765625
50,B,gaussian_blur,T013-S1,0,3,1,0.008457537262360386,0.046875,0.002668834601150731,0.4765625
50,B,gaussian_blur,T013-S1,1,3,1,0.008667322825138605,0.0390625,0.003300972510249788,0.453125
50,B,gaussian_blur,T013-S3,0,3,1,0.009245727821507402,0.05078125,0.0046689011121054435,0.47265625
50,B,gaussian_blur,T013-S3,1,3,1,0.007876363942912504,0.04296875,0.0011132291640116225,0.47265625
51,B,gaussian_noise,T013-S1,1,0,4,0.002945868401017002,0.03125,0.0004546214290142091,0.34765625
53,A,brightness_dark,T013-S3,0,2,1,0.010094714766706833,0.03515625,0.0011710854499154544,0.51171875
53,B,brightness_dark,T013-S0,0,2,1,0.012863846392868831,0.04296875,0.001385192943158695,0.50390625
53,B,brightness_dark,T013-S2,0,2,1,0.012944630752901084,0.0390625,0.0013270470325722004,0.515625
53,B,brightness_dark,T013-S3,0,2,1,0.012544434006924933,0.04296875,0.0010119340997080451,0.51171875
56,B,clean,T013-S0,0,4,1,0.00990504184336533,0.0625,0.005141329260322626,0.46875
56,B,clean,T013-S1,0,4,1,0.009753937909239755,0.06640625,0.009349751221099078,0.49609375
56,B,clean,T013-S2,0,4,1,0.01000425018631193,0.05859375,0.002601470592986125,0.47265625
56,B,clean,T013-S2,1,4,1,0.009787691469079755,0.0546875,0.0011252679517475322,0.4375
56,B,clean,T013-S3,1,4,1,0.009060627506813232,0.06640625,0.005629920841337908,0.46484375
56,B,gaussian_blur,T013-S1,1,2,1,0.006254573831646838,0.04296875,0.005045723847946459,0.515625
57,A,gaussian_blur,T013-S0,0,1,2,0.010213217166163463,0.07421875,0.006616844141705337,0.42578125
57,A,gaussian_blur,T013-S0,1,1,2,0.010361148754128694,0.06640625,0.006862097787046063,0.4375
57,A,gaussian_blur,T013-S1,0,1,2,0.010479998201814231,0.08203125,0.006198750780172213,0.41015625
57,A,gaussian_blur,T013-S1,1,1,2,0.010107358557909374,0.06640625,0.007325439012343635,0.4453125
57,A,gaussian_blur,T013-S2,0,1,2,0.010327291905421223,0.0546875,0.002331038596515828,0.4609375
57,A,gaussian_blur,T013-S2,1,1,2,0.010246777806961723,0.08203125,0.011330376903842452,0.421875
57,A,gaussian_blur,T013-S3,0,1,2,0.010743071863948543,0.08203125,0.012130615384129692,0.44921875
57,A,gaussian_blur,T013-S3,1,1,2,0.009823969854452014,0.0625,0.001307405163200494,0.4296875
57,B,contrast_low,T013-S2,0,1,2,0.009257161111761555,0.0546875,0.008175088773347714,0.50390625
58,B,gaussian_noise,T013-S0,1,4,2,0.00837460775644454,0.05078125,0.0026983194981274965,0.67578125
60,A,gaussian_blur,T013-S0,1,3,4,0.0048909707882015836,0.0546875,0.004653608897396873,0.5703125
61,A,gaussian_noise,T013-S1,0,1,3,0.008660402190728786,0.03515625,0.008721265361743875,0.51953125
61,A,gaussian_noise,T013-S3,1,1,3,0.008283659977677998,0.0390625,0.00767201293760854,0.5234375
62,B,gaussian_blur,T013-S0,1,4,2,0.008019593253750961,0.046875,0.002896553018538802,0.46875
62,B,gaussian_blur,T013-S2,1,4,2,0.007676620739368366,0.046875,0.001847327559538882,0.4609375
64,A,clean,T013-S0,0,1,3,0.006510075387116969,0.0078125,7.677848636437932e-05,0.5234375
64,A,clean,T013-S1,1,1,3,0.006611215808268709,0.0234375,0.004014992677180592,0.5234375
64,A,clean,T013-S2,0,1,3,0.006939534104857851,0.015625,0.002210149069865372,0.53125
64,A,gaussian_blur,T013-S1,0,1,3,0.00970856257697386,0.04296875,0.00041253526518594087,0.44140625
64,A,gaussian_blur,T013-S2,1,1,3,0.009635413616871582,0.046875,0.002407192379733698,0.453125
64,B,clean,T013-S1,0,1,3,0.006531966312944002,0.0234375,0.004032210860877827,0.5
64,B,clean,T013-S3,1,1,3,0.006532765166013228,0.015625,0.004860979655985762,0.49609375
64,B,brightness_dark,T013-S0,0,3,1,0.013030160095989916,0.02734375,0.00425494188051058,0.43359375
64,B,brightness_dark,T013-S1,1,4,1,0.01283810756248634,0.03515625,0.0038656124419122204,0.41015625
64,B,brightness_dark,T013-S2,0,4,1,0.012984814953862434,0.03125,0.005639700761086338,0.4296875
64,B,brightness_dark,T013-S3,0,4,1,0.012870486490991751,0.03125,0.0036193785086058436,0.4296875
64,B,gaussian_blur,T013-S2,1,3,1,0.01162042967795371,0.0625,0.01071272099720339,0.46875
66,A,brightness_dark,T013-S1,0,2,1,0.005766401568644337,0.01953125,0.0009576552295782582,0.56640625
68,A,gaussian_noise,T013-S0,0,4,2,0.002885716419406322,0.0234375,0.00023032497787057996,0.53515625
75,A,contrast_low,T013-S2,1,1,2,0.00579605927993682,0.03125,0.002228025959877566,0.5859375
77,B,brightness_dark,T013-S0,0,1,3,0.012089694240474907,0.078125,0.009624809588617193,0.53125
77,B,brightness_dark,T013-S0,1,1,3,0.011566766383390801,0.05859375,0.01088840133741195,0.5234375
77,B,brightness_dark,T013-S1,1,1,3,0.011809707184241255,0.07421875,0.004793550855536831,0.5078125
77,B,brightness_dark,T013-S3,0,1,3,0.01177902827858277,0.05859375,0.008534736368439969,0.5234375
77,B,brightness_dark,T013-S3,1,1,3,0.011872907914164078,0.078125,0.009719516000714806,0.53515625
84,A,contrast_low,T013-S1,1,3,0,0.004466806920436222,0.0546875,0.003702814791658701,0.390625
84,A,contrast_low,T013-S2,1,3,0,0.0051684571995838065,0.05078125,0.0034189959846203126,0.39453125
84,A,contrast_low,T013-S3,0,3,0,0.004564814550962783,0.046875,0.0005698878301197831,0.3828125
84,B,contrast_low,T013-S1,0,0,3,0.00216199960063794,0.02734375,0.0019030634176806756,0.4140625
84,B,contrast_low,T013-S2,0,0,3,0.0018585009239075836,0.03515625,0.0013583743783897873,0.41015625
84,B,gaussian_blur,T013-S3,0,3,0,0.003401813499934881,0.04296875,9.869451407877826e-05,0.515625
86,B,contrast_low,T013-S2,0,2,1,0.007615859617088523,0.02734375,0.00035432209417449347,0.36328125
87,A,contrast_low,T013-S1,0,1,3,0.004853412195932759,0.01953125,0.009006058089616974,0.47265625
87,A,contrast_low,T013-S2,0,1,3,0.005306363187267742,0.01953125,8.747916593946374e-06,0.4453125
89,A,brightness_dark,T013-S0,0,4,3,0.0014119426619189522,0.01171875,0.0008849494293239569,0.43359375
89,A,brightness_dark,T013-S1,0,4,3,0.0013818329601415172,0.00390625,0.0006652045960784413,0.42578125
89,B,brightness_dark,T013-S3,1,4,3,0.003881179152051054,0.03125,0.0016396358999969587,0.4609375
95,A,gaussian_noise,T013-S0,1,4,2,0.002998921747044645,0.04296875,0.00021722114151024905,0.57421875
98,A,contrast_low,T013-S2,1,2,1,0.0034115854214659728,0.04296875,0.004387465580773862,0.55859375
