pool,target,context,layer,mse_before,mse_after,restoration_ratio,gamma_abs_mean,gamma_abs_max,beta_abs_mean,beta_abs_max,cap_fraction,negative_scale_fraction,minimum_source_variance,nonfinite_count
A,clean,clean_identity,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.012962503215592483,0
A,clean,clean_identity,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.793770315631656e-06,0
B,clean,clean_identity,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.012849077209066619,0
B,clean,clean_identity,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.847272410783726e-06,0
A,brightness_dark,correct_pair,1,0.11061240134917363,0.03790317239627519,0.34266657204760487,1.349045991897583,7.0,0.24152067303657532,1.423217535018921,0.0625,0.0,0.0,0
A,brightness_dark,correct_pair,2,0.05280097977599866,0.04694067613213369,0.8890114602280762,0.21028578281402588,0.7311641573905945,0.11122338473796844,0.7961495518684387,0.0,0.0,1.1851313619807166e-06,0
A,brightness_dark,same_class_derangement,1,0.17003506429106569,0.09679499784906857,0.569264923400594,0.821187436580658,1.3836073875427246,0.23482286930084229,0.5950283408164978,0.0,0.0625,0.0,0
A,brightness_dark,same_class_derangement,2,0.19973147471623656,0.17214248521333633,0.8618695949544428,0.9707508087158203,3.723529815673828,0.5718963146209717,5.17818021774292,0.0,0.03125,0.0,0
A,brightness_dark,cross_class_derangement,1,0.16968650073370287,0.09680592515389683,0.5704986827786553,0.8139433860778809,1.169824481010437,0.23448282480239868,0.5255670547485352,0.0,0.0625,0.0,0
A,brightness_dark,cross_class_derangement,2,0.19893922773364137,0.170364544581594,0.8563647628596114,1.2919155359268188,7.0,0.7424237728118896,8.647845268249512,0.015625,0.03125,0.0,0
A,brightness_dark,wrong_alt_source,1,0.02408751410442048,0.013566172233003382,0.5632034992981593,0.22971761226654053,0.48493674397468567,0.020030124112963676,0.04329594969749451,0.0,0.0,0.023615549065340583,0
A,brightness_dark,wrong_alt_source,2,0.013503634881442496,0.010794629611080518,0.7993869580934201,0.11213560402393341,0.27933821082115173,0.07923579961061478,0.3414275050163269,0.0,0.0,2.66515591730074e-06,0
