pool,target,context,macro_class,sample_weighted,macro_client
A,brightness_dark,none,17.297802711547455,5.803571428571429,5.34300481279691
A,brightness_dark,clean_identity,17.297802711547455,5.803571428571429,5.34300481279691
A,brightness_dark,correct_pair,31.199908647890357,16.964285714285715,15.505685207123557
A,brightness_dark,same_class_derangement,13.985507246376812,4.129464285714286,3.79884522408247
A,brightness_dark,cross_class_derangement,17.382733364500545,5.46875,4.989950855573018
A,brightness_dark,wrong_alt_source,12.891538101916785,5.133928571428571,4.793059453368187
A,brightness_dark,noise_source,14.810659186535764,6.361607142857143,5.8894904019931955
A,contrast_low,none,14.59020647016574,6.584821428571429,5.978145667662223
A,contrast_low,clean_identity,14.59020647016574,6.584821428571429,5.978145667662223
A,contrast_low,correct_pair,32.18718269703879,11.607142857142858,10.45348005524526
A,contrast_low,same_class_derangement,13.55072463768116,3.90625,3.5878747468814254
A,contrast_low,cross_class_derangement,16.730559451457065,5.133928571428571,4.673495143651962
A,contrast_low,wrong_alt_source,16.981794156283577,6.584821428571429,6.037382051969568
A,contrast_low,noise_source,10.217391304347826,3.5714285714285716,3.306975937448442
A,gaussian_noise,none,34.12665927214718,12.946428571428571,12.017767263265947
A,gaussian_noise,clean_identity,34.12665927214718,12.946428571428571,12.017767263265947
A,gaussian_noise,correct_pair,35.40656274786613,15.513392857142858,14.396304769131044
A,gaussian_noise,same_class_derangement,13.985507246376812,4.129464285714286,3.79884522408247
A,gaussian_noise,cross_class_derangement,14.830917874396135,5.022321428571429,4.654579423367977
A,gaussian_noise,wrong_alt_source,32.945451113235315,17.96875,18.77245319386323
A,gaussian_noise,noise_source,10.217391304347826,3.5714285714285716,3.306975937448442
A,gaussian_blur,none,31.05933773823647,15.959821428571429,14.905946468934417
A,gaussian_blur,clean_identity,31.05933773823647,15.959821428571429,14.905946468934417
A,gaussian_blur,correct_pair,37.12755345582105,16.852678571428573,16.046977943430345
A,gaussian_blur,same_class_derangement,13.985507246376812,4.129464285714286,3.79884522408247
A,gaussian_blur,cross_class_derangement,15.724637681159422,5.022321428571429,4.642727039754391
A,gaussian_blur,wrong_alt_source,23.986715777528282,16.852678571428573,16.17384938678394
A,gaussian_blur,noise_source,10.217391304347826,3.5714285714285716,3.306975937448442
B,brightness_dark,none,17.297802711547455,5.803571428571429,5.34300481279691
B,brightness_dark,clean_identity,17.297802711547455,5.803571428571429,5.34300481279691
B,brightness_dark,correct_pair,36.370564982930254,17.299107142857142,15.847061155363917
B,brightness_dark,same_class_derangement,19.895200249337694,6.361607142857143,5.91850852749
B,brightness_dark,cross_class_derangement,10.919432756739909,2.232142857142857,1.9911819448073704
B,brightness_dark,wrong_alt_source,14.002649213027894,5.245535714285714,4.886692389845848
B,brightness_dark,noise_source,10.0,5.133928571428571,4.852320750554402
B,contrast_low,none,14.59020647016574,6.584821428571429,5.978145667662223
B,contrast_low,clean_identity,14.59020647016574,6.584821428571429,5.978145667662223
B,contrast_low,correct_pair,31.99665557775224,10.9375,9.847298148088157
B,contrast_low,same_class_derangement,17.459093034128095,5.022321428571429,4.639123380184174
B,contrast_low,cross_class_derangement,9.615084930652952,1.5625,1.358270552009344
B,contrast_low,wrong_alt_source,16.981794156283577,6.584821428571429,6.037382051969568
B,contrast_low,noise_source,9.613526570048311,4.017857142857143,3.773763822391629
B,gaussian_noise,none,34.12665927214718,12.946428571428571,12.017767263265947
B,gaussian_noise,clean_identity,34.12665927214718,12.946428571428571,12.017767263265947
B,gaussian_noise,correct_pair,35.40656274786613,15.513392857142858,14.396304769131044
B,gaussian_noise,same_class_derangement,19.688327879071217,5.357142857142857,4.955579092105229
B,gaussian_noise,cross_class_derangement,11.273180613994077,2.0089285714285716,1.7802114908893902
B,gaussian_noise,wrong_alt_source,33.29271254745328,18.415178571428573,19.279947318136692
B,gaussian_noise,noise_source,8.961352657004833,3.6830357142857144,3.457308110470573
B,gaussian_blur,none,31.05933773823647,15.959821428571429,14.905946468934417
B,gaussian_blur,clean_identity,31.05933773823647,15.959821428571429,14.905946468934417
B,gaussian_blur,correct_pair,32.18046350873111,16.852678571428573,15.99835321928064
B,gaussian_blur,same_class_derangement,21.77575190899174,5.580357142857143,5.1462654179583
B,gaussian_blur,cross_class_derangement,11.249026024622097,2.455357142857143,2.214004658162594
B,gaussian_blur,wrong_alt_source,25.18534806311709,16.517857142857142,15.818646433763206
B,gaussian_blur,noise_source,8.961352657004833,3.6830357142857144,3.457308110470573
