bank,heldout,batch,true_context,selected,second,best_score,second_score,score_margin,zero_improvement,true_rank,J_clean,J_brightness_dark,J_contrast_low,J_gaussian_noise,J_gaussian_blur
A,B,0,clean,clean,gaussian_blur,4.068629639843612,15.729147638520596,11.660517998676983,0.0,1,4.068629639843612,4780.201529980847,144.2071520716816,27.027544648095954,15.729147638520596
A,B,1,clean,clean,gaussian_noise,3.3192629517684034,18.014616782312125,14.695353830543722,0.0,1,3.3192629517684034,4408.017937963864,196.24285285207375,18.014616782312125,26.519837906584467
A,B,2,clean,clean,gaussian_noise,1.4060102487622372,18.233691937795083,16.827681689032847,0.0,1,1.4060102487622372,5057.78367279744,185.37541782216087,18.233691937795083,23.639348972735895
A,B,3,clean,clean,gaussian_noise,1.211787539561778,14.417920644430689,13.206133104868911,0.0,1,1.211787539561778,4841.161509616214,217.81580081922425,14.417920644430689,29.16084963210135
A,B,0,brightness_dark,brightness_dark,contrast_low,135.7713999240188,268.7866365956426,133.01523667162382,176.5816890208095,1,312.3530889448283,135.7713999240188,268.7866365956426,371.7698157348856,275.5035686207911
A,B,1,brightness_dark,brightness_dark,gaussian_blur,126.86893677497333,259.4264440210457,132.55750724607236,163.88389264483936,1,290.7528294198127,126.86893677497333,260.77903719247695,344.76784381015915,259.4264440210457
A,B,2,brightness_dark,brightness_dark,gaussian_blur,137.577619329159,277.5533246276004,139.97570529844137,173.99419109703376,1,311.57181042619277,137.577619329159,278.6073662018697,368.02761595415416,277.5533246276004
A,B,3,brightness_dark,brightness_dark,gaussian_blur,130.50929569101038,262.803281675477,132.29398598446664,162.8581609745172,1,293.3674566655276,130.50929569101038,271.53743434185225,348.29624087948326,262.803281675477
A,B,0,contrast_low,contrast_low,gaussian_blur,11.778285770966695,62.581321000925875,50.80303522995918,104.33400974486051,1,116.1122955158272,1189.564173206827,11.778285770966695,190.5116130942887,62.581321000925875
A,B,1,contrast_low,contrast_low,gaussian_blur,9.438842885852864,41.765789098233526,32.32694621238066,79.63614002462508,1,89.07498291047794,830.470484614146,9.438842885852864,156.40096499976158,41.765789098233526
A,B,2,contrast_low,contrast_low,gaussian_blur,8.524775417625204,41.83562311561058,33.31084769798538,80.95461437676765,1,89.47938979439286,1521.610194759466,8.524775417625204,158.2958929734882,41.83562311561058
A,B,3,contrast_low,contrast_low,gaussian_blur,7.780270576785485,56.68235367974864,48.902083102963154,97.48036768909698,1,105.26063826588246,942.7225098804413,7.780270576785485,175.9187541739505,56.68235367974864
A,B,0,gaussian_noise,gaussian_noise,clean,5.58256696812704,22.295612810023837,16.713045841896797,16.713045841896797,1,22.295612810023837,4038.52883660537,380.5355694863806,5.58256696812704,91.09281479756869
