target,context,metric,pool_A,pool_B,abs_difference
brightness_dark,none,macro_class,17.546026454211063,17.546026454211063,0.0
brightness_dark,none,sample_weighted,17.64080058514529,17.64080058514529,0.0
brightness_dark,none,macro_client,18.259971715975553,18.259971715975553,0.0
brightness_dark,clean_identity,macro_class,17.546026454211063,17.546026454211063,0.0
brightness_dark,clean_identity,sample_weighted,17.64080058514529,17.64080058514529,0.0
brightness_dark,clean_identity,macro_client,18.259971715975553,18.259971715975553,0.0
brightness_dark,correct_pair,macro_class,32.29653570328799,32.424807666744606,0.12827196345661918
brightness_dark,correct_pair,sample_weighted,32.36252410399628,32.48886229137575,0.12633818737947422
brightness_dark,correct_pair,macro_client,31.268559074494988,31.338011376559734,0.06945230206474662
brightness_dark,same_class_derangement,macro_class,14.528762881008678,22.12655868931889,7.597795808310213
brightness_dark,same_class_derangement,sample_weighted,14.528891548640201,22.1956247090897,7.666733160449498
brightness_dark,same_class_derangement,macro_client,13.453533583786339,21.429907199461013,7.9763736156746745
brightness_dark,cross_class_derangement,macro_class,18.710409433883946,11.733552114258226,6.97685731962572
brightness_dark,cross_class_derangement,sample_weighted,18.75124675842809,11.85584147882173,6.895405279606358
brightness_dark,cross_class_derangement,macro_client,17.480450639035553,11.020253703929484,6.460196935106069
brightness_dark,wrong_alt_source,macro_class,14.903865455386008,15.489586518933976,0.5857210635479682
brightness_dark,wrong_alt_source,sample_weighted,14.981049271893077,15.572843939091696,0.5917946671986183
brightness_dark,wrong_alt_source,macro_client,15.88149869767949,16.56445667380467,0.6829579761251807
brightness_dark,noise_source,macro_class,12.884809315788658,10.0,2.884809315788658
brightness_dark,noise_source,sample_weighted,12.86654697785757,10.033911829243966,2.8326351486136048
brightness_dark,noise_source,macro_client,13.23213202971965,11.551137597532943,1.6809944321867079
contrast_low,none,macro_class,19.95526398771052,19.95526398771052,0.0
contrast_low,none,sample_weighted,20.08777179333732,20.08777179333732,0.0
contrast_low,none,macro_client,20.05806868383661,20.05806868383661,0.0
contrast_low,clean_identity,macro_class,19.95526398771052,19.95526398771052,0.0
contrast_low,clean_identity,sample_weighted,20.08777179333732,20.08777179333732,0.0
contrast_low,clean_identity,macro_client,20.05806868383661,20.05806868383661,0.0
contrast_low,correct_pair,macro_class,28.56147342050601,28.1116255098242,0.44984791068181096
contrast_low,correct_pair,sample_weighted,28.63887226544318,28.186714542190305,0.4521577232528742
contrast_low,correct_pair,macro_client,27.36103107407689,26.8309675026685,0.530063571408391
contrast_low,same_class_derangement,macro_class,14.460474540861444,20.008427496966995,5.547952956105551
contrast_low,same_class_derangement,sample_weighted,14.469047144092027,20.101070549903586,5.632023405811559
contrast_low,same_class_derangement,macro_client,13.226094915065914,19.24204897833988,6.015954063273966
contrast_low,cross_class_derangement,macro_class,18.925132317501017,12.215961198347333,6.709171119153684
contrast_low,cross_class_derangement,sample_weighted,18.977325620054526,12.341246093490259,6.6360795265642665
contrast_low,cross_class_derangement,macro_client,17.439575750380754,11.086546267848462,6.353029482532293
contrast_low,wrong_alt_source,macro_class,22.733171407184606,22.693556051591294,0.03961535559331253
contrast_low,wrong_alt_source,sample_weighted,22.85391315911962,22.814016889420838,0.039896269698783016
contrast_low,wrong_alt_source,macro_client,21.93080638581887,21.889481714461,0.0413246713578701
contrast_low,noise_source,macro_class,10.145171335421141,8.717599748976372,1.4275715864447687
contrast_low,noise_source,sample_weighted,10.08710685550901,8.757231198882904,1.3298756566261059
contrast_low,noise_source,macro_client,9.204582379199564,9.791642591590062,0.5870602123904973
gaussian_noise,none,macro_class,30.67664385146025,30.67664385146025,0.0
gaussian_noise,none,sample_weighted,30.746725181195558,30.746725181195558,0.0
gaussian_noise,none,macro_client,29.499900958500803,29.499900958500803,0.0
gaussian_noise,clean_identity,macro_class,30.67664385146025,30.67664385146025,0.0
gaussian_noise,clean_identity,sample_weighted,30.746725181195558,30.746725181195558,0.0
gaussian_noise,clean_identity,macro_client,29.499900958500803,29.499900958500803,0.0
gaussian_noise,correct_pair,macro_class,32.49955759017932,32.40677112345037,0.09278646672895263
gaussian_noise,correct_pair,sample_weighted,32.575304209056455,32.482212913092624,0.09309129596383059
gaussian_noise,correct_pair,macro_client,31.38728214194998,31.267717452254146,0.11956468969583511
