target,context,accuracy,macro_client_accuracy,gain_pp,support_loss_before,support_loss_after,gamma_norm,beta_norm
brightness_dark,none,4.332129888586189,3.3707864582538605,0.0,3.199836015701294,3.199836015701294,0.0,0.0
brightness_dark,correct,51.26353724984055,49.75031167268753,46.931407361254365,3.199836015701294,1.5535712242126465,0.6071740984916687,0.9776520729064941
brightness_dark,wrong_clean,21.66064985715095,20.44035866856575,17.328519968564763,2.4056917428970337,1.3300934433937073,0.4703245609998703,0.8742563128471375
brightness_dark,wrong_alt,19.855595549521464,19.48416754603386,15.523465660935276,2.642621159553528,1.359548270702362,0.5891087055206299,0.9205374717712402
brightness_dark,shuffled,55.956677054239954,54.52275425195694,51.624547165653766,3.3579286336898804,1.663236141204834,0.6267648935317993,0.9976078271865845
brightness_dark,noise_image,35.379062469255196,32.68357813358307,31.046932580669008,3.765761971473694,1.7663641571998596,0.7950049936771393,1.0700175762176514
contrast_low,none,3.610108246428334,3.0331403482705355,0.0,3.0505443811416626,3.0505443811416626,0.0,0.0
contrast_low,correct,49.09747233244486,47.84076660871506,45.48736408601653,3.0505443811416626,1.5924625396728516,0.34678368270397186,0.9658518433570862
contrast_low,wrong_clean,26.71480077698773,25.94200372695923,23.104692530559397,2.4056917428970337,1.3300934433937073,0.4703245609998703,0.8742563128471375
contrast_low,wrong_alt,34.65704009851394,33.69084149599075,31.046931852085606,2.475825548171997,1.3776472806930542,0.389523983001709,0.8893068730831146
contrast_low,shuffled,49.09747278432123,48.06491881608963,45.4873645378929,3.149684429168701,1.6630422472953796,0.34941981732845306,0.987130343914032
contrast_low,noise_image,35.37906263063961,32.23527520895004,31.768954384211277,3.765761971473694,1.7663641571998596,0.7950049936771393,1.0700175762176514
gaussian_noise,none,20.577617043407386,18.252751976251602,0.0,2.642621159553528,2.642621159553528,0.0,0.0
gaussian_noise,correct,56.317691338191395,54.13120090961456,35.74007429478401,2.642621159553528,1.359548270702362,0.5891087055206299,0.9205374717712402
gaussian_noise,wrong_clean,51.62454725172545,49.13460314273834,31.046930208318066,2.4056917428970337,1.3300934433937073,0.4703245609998703,0.8742563128471375
gaussian_noise,wrong_alt,41.15523479690621,38.97117227315903,20.57761775349882,3.199836015701294,1.5535712242126465,0.6071740984916687,0.9776520729064941
gaussian_noise,shuffled,55.59566984968495,53.569403290748596,35.018052806277566,2.9526337385177612,1.6008145213127136,0.6209917068481445,0.9403562843799591
gaussian_noise,noise_image,59.92779890983113,58.06094706058502,39.350181866423746,3.765761971473694,1.7663641571998596,0.7950049936771393,1.0700175762176514
gaussian_blur,none,20.216606484746244,18.19600500166416,0.0,2.475825548171997,2.475825548171997,0.0,0.0
gaussian_blur,correct,61.010831142590796,58.90364348888397,40.79422465784455,2.475825548171997,1.3776472806930542,0.389523983001709,0.8893068730831146
gaussian_blur,wrong_clean,58.84476745171668,56.54579699039459,38.628160966970434,2.4056917428970337,1.3300934433937073,0.4703245609998703,0.8742563128471375
gaussian_blur,wrong_alt,56.31768718523239,55.02780377864838,36.10108070048614,3.0505443811416626,1.5924625396728516,0.34678368270397186,0.9658518433570862
gaussian_blur,shuffled,61.371842338720384,59.40869450569153,41.15523585397414,2.729334235191345,1.565450131893158,0.4042060226202011,0.9254574775695801
gaussian_blur,noise_image,64.25992829274615,61.655884981155396,44.04332180799991,3.765761971473694,1.7663641571998596,0.7950049936771393,1.0700175762176514
