client,target,n_query,none_accuracy,correct_accuracy,wrong_clean_accuracy,wrong_alt_accuracy,shuffled_accuracy,noise_image_accuracy,delta_wrong_clean,delta_wrong_alt
0,brightness_dark,178,6.741572916507721,55.0561785697937,24.719101190567017,20.78651636838913,59.550559520721436,42.134833335876465,30.337077379226685,34.26966220140457
0,contrast_low,178,5.056179687380791,52.24719047546387,28.651684522628784,37.078651785850525,51.6853928565979,43.2584285736084,23.595505952835083,15.168538689613342
0,gaussian_noise,178,26.404494047164917,61.79775595664978,57.865166664123535,46.6292142868042,60.67416071891785,64.60674405097961,3.932589292526245,15.168541669845581
0,gaussian_blur,178,25.280898809432983,66.29213690757751,64.60674405097961,59.550559520721436,66.29213690757751,70.78651785850525,1.6853928565979004,6.741577386856079
1,brightness_dark,99,0.0,44.44444477558136,16.161616146564484,18.18181872367859,49.494948983192444,23.232322931289673,28.282828629016876,26.26262605190277
1,contrast_low,99,1.0101010091602802,43.43434274196625,23.232322931289673,30.30303120613098,44.44444477558136,21.212121844291687,20.202019810676575,13.131311535835266
1,gaussian_noise,99,10.101009905338287,46.464645862579346,40.40403962135315,31.313130259513855,46.464645862579346,51.51515007019043,6.060606241226196,15.15151560306549
1,gaussian_blur,99,11.11111119389534,51.51515007019043,48.48484992980957,50.50504803657532,52.52525210380554,52.52525210380554,3.0303001403808594,1.0101020336151123
