block1,block2,bank,context,cases,agreements,agreement,mean_utility_abs_difference_max,mean_utility_abs_difference_p95,vote_difference_max,vote_difference_p95
Q0,Q3,A,gaussian_blur,800,775,0.96875,0.016779820318109494,0.004729882522039955,0.068359375,0.02734375
Q0,Q3,B,ALL,4000,3923,0.98075,0.023072904863844626,0.005827727397126006,0.0654296875,0.02734375
Q0,Q3,B,clean,800,783,0.97875,0.016294407149061906,0.005692192651459581,0.0634765625,0.0283203125
Q0,Q3,B,brightness_dark,800,786,0.9825,0.023072904863844626,0.007303390104164877,0.0419921875,0.0234375
Q0,Q3,B,contrast_low,800,790,0.9875,0.014012246521855518,0.005133638069950216,0.0654296875,0.025390625
Q0,Q3,B,gaussian_noise,800,784,0.98,0.012600854027813916,0.005006977850066957,0.060546875,0.0283203125
Q0,Q3,B,gaussian_blur,800,780,0.975,0.01102354833798437,0.005544050459931682,0.0595703125,0.03125
Q1,Q2,ALL,ALL,8000,7850,0.98125,0.019493308015753035,0.005282535125101478,0.0810546875,0.0263671875
Q1,Q2,ALL,clean,1600,1568,0.98,0.015283053776487568,0.00493847815705094,0.0810546875,0.0263671875
Q1,Q2,ALL,brightness_dark,1600,1573,0.983125,0.017958815699577177,0.0060235337294976075,0.0556640625,0.0234375
Q1,Q2,ALL,contrast_low,1600,1579,0.986875,0.019493308015753035,0.005001351645599487,0.0615234375,0.0263671875
Q1,Q2,ALL,gaussian_noise,1600,1568,0.98,0.015089244972210045,0.00545076567273983,0.0634765625,0.025390625
Q1,Q2,ALL,gaussian_blur,1600,1562,0.97625,0.016527466346699833,0.00493270386575204,0.0693359375,0.029296875
Q1,Q2,A,ALL,4000,3913,0.97825,0.019493308015753035,0.005351196748967887,0.0810546875,0.0263671875
Q1,Q2,A,clean,800,787,0.98375,0.015283053776487568,0.005000331221411076,0.0810546875,0.02734375
Q1,Q2,A,brightness_dark,800,784,0.98,0.017958815699577177,0.006312808766609311,0.0400390625,0.0234375
Q1,Q2,A,contrast_low,800,786,0.9825,0.019493308015753035,0.00487812805833198,0.0615234375,0.0263671875
Q1,Q2,A,gaussian_noise,800,782,0.9775,0.015089244972210045,0.0053382693157655444,0.060546875,0.02734375
Q1,Q2,A,gaussian_blur,800,774,0.9675,0.016527466346699833,0.005007842829206444,0.0693359375,0.0302734375
Q1,Q2,B,ALL,4000,3937,0.98425,0.016079704765633238,0.005215122817846733,0.0634765625,0.025390625
Q1,Q2,B,clean,800,781,0.97625,0.011605735749703814,0.004742902396931959,0.0576171875,0.0244140625
Q1,Q2,B,brightness_dark,800,789,0.98625,0.016079704765633238,0.005766365356534489,0.0556640625,0.0234375
Q1,Q2,B,contrast_low,800,793,0.99125,0.010681996789407858,0.005148168183664274,0.0615234375,0.025390625
Q1,Q2,B,gaussian_noise,800,786,0.9825,0.01442034452736791,0.005613829701162974,0.0634765625,0.0234375
Q1,Q2,B,gaussian_blur,800,788,0.985,0.012191662983331747,0.004835478057368887,0.0634765625,0.0283203125
Q1,Q3,ALL,ALL,8000,7882,0.98525,0.022748244471823033,0.0053712468284388085,0.0732421875,0.02734375
Q1,Q3,ALL,clean,1600,1573,0.983125,0.01653304586406373,0.00505465669776885,0.0732421875,0.029296875
Q1,Q3,ALL,brightness_dark,1600,1579,0.986875,0.019062774370740245,0.006534864832780467,0.052734375,0.0244140625
Q1,Q3,ALL,contrast_low,1600,1584,0.99,0.022748244471823033,0.005326539765544042,0.0634765625,0.0263671875
Q1,Q3,ALL,gaussian_noise,1600,1572,0.9825,0.013509366368913363,0.00518527189828845,0.0625,0.0283203125
Q1,Q3,ALL,gaussian_blur,1600,1574,0.98375,0.01448648850112802,0.004732013221752144,0.0712890625,0.029296875
Q1,Q3,A,ALL,4000,3943,0.98575,0.014559612687362031,0.005282431574979636,0.0732421875,0.02734375
Q1,Q3,A,clean,800,789,0.98625,0.012283769835123814,0.005021238329576836,0.0732421875,0.0302734375
Q1,Q3,A,brightness_dark,800,789,0.98625,0.014559612687362031,0.006512264141844764,0.052734375,0.0263671875
Q1,Q3,A,contrast_low,800,793,0.99125,0.013682568784090536,0.0051196786784998075,0.0517578125,0.0244140625
Q1,Q3,A,gaussian_noise,800,784,0.98,0.013509366368913363,0.004886748623614374,0.0615234375,0.02734375
Q1,Q3,A,gaussian_blur,800,788,0.985,0.01448648850112802,0.004843764566717529,0.0712890625,0.0283203125
Q1,Q3,B,ALL,4000,3939,0.98475,0.022748244471823033,0.00550275046548341,0.064453125,0.02734375
Q1,Q3,B,clean,800,784,0.98,0.01653304586406373,0.005063943661086824,0.064453125,0.0263671875
Q1,Q3,B,brightness_dark,800,790,0.9875,0.019062774370740245,0.006566775090439732,0.041015625,0.0224609375
Q1,Q3,B,contrast_low,800,791,0.98875,0.022748244471823033,0.005514116326428282,0.0634765625,0.02734375
Q1,Q3,B,gaussian_noise,800,788,0.985,0.012754886174791664,0.005559113258190872,0.0625,0.029296875
Q1,Q3,B,gaussian_blur,800,786,0.9825,0.011248979756692182,0.004604889156269079,0.0634765625,0.03125
