client,bank,context,salt,train_half,point,BER256,BER4096,top_mean_utility_margin,p_mode,H1,H2
61,A,gaussian_noise,T013-S1,0,3,3,3,0.0018449828297308383,0.515625,1,3
61,A,gaussian_noise,T013-S3,1,3,3,3,0.0009807212441785749,0.517578125,1,3
62,B,gaussian_blur,T013-S0,1,2,2,2,0.00019102592074985236,0.450439453125,2,4
64,A,gaussian_blur,T013-S0,1,1,1,1,0.00210661292759012,0.44775390625,1,3
64,A,gaussian_blur,T013-S3,1,1,1,3,0.00041637912646697874,0.452880859375,1,3
64,B,clean,T013-S1,0,1,3,1,0.0012136257294818739,0.484375,3,1
64,B,clean,T013-S3,1,1,3,1,0.0005873762072260642,0.473388671875,3,1
66,A,brightness_dark,T013-S2,1,2,2,2,0.00021724060948705314,0.54052734375,2,1
71,A,brightness_dark,T013-S0,0,1,3,3,0.0004705640639539026,0.544677734375,0,3
71,A,brightness_dark,T013-S0,1,1,3,3,0.00029773227568711554,0.51611328125,0,3
71,A,brightness_dark,T013-S1,0,1,3,3,9.290073909020541e-05,0.541748046875,0,3
75,A,contrast_low,T013-S0,0,1,1,1,0.0006203774830314208,0.567626953125,2,1
77,B,brightness_dark,T013-S2,1,4,1,3,4.1815018526316764e-05,0.4755859375,1,3
81,A,contrast_low,T013-S0,0,3,3,2,0.001468917464160205,0.390625,3,2
81,A,contrast_low,T013-S1,0,3,3,2,0.00015269514495853796,0.388671875,3,2
81,A,contrast_low,T013-S2,1,3,3,2,0.0014903908428709222,0.39990234375,3,2
81,A,contrast_low,T013-S3,0,3,3,2,0.0005070876993258758,0.3935546875,3,2
83,B,contrast_low,T013-S0,1,3,2,2,0.0006082095766870261,0.488525390625,3,2
83,B,contrast_low,T013-S2,1,3,2,2,0.0006992770503079629,0.49462890625,3,2
83,B,contrast_low,T013-S3,0,3,2,3,0.0018120162184379904,0.499755859375,3,2
83,B,contrast_low,T013-S3,1,3,2,2,0.00012647314373895902,0.49169921875,3,2
84,A,contrast_low,T013-S1,1,3,0,0,0.000970249964194803,0.377685546875,3,0
84,A,contrast_low,T013-S2,1,3,0,0,0.00038665275835724205,0.378173828125,3,0
84,A,contrast_low,T013-S3,0,3,0,0,0.0010958678415488447,0.37158203125,3,0
84,A,gaussian_blur,T013-S2,1,3,0,3,5.939432892453916e-05,0.482666015625,3,0
