salt,bank,target1,target2,orientation,same_client_overlap,control_mean,control_min,control_max,control_by_offset
T013-S2,B,brightness_dark,gaussian_blur,1,0.59,0.40375,0.35,0.44,"{""7"": 0.43, ""13"": 0.4, ""23"": 0.35, ""37"": 0.41, ""41"": 0.44, ""53"": 0.42, ""71"": 0.37, ""89"": 0.41}"
T013-S2,B,contrast_low,gaussian_noise,0,0.53,0.3675,0.31,0.43,"{""7"": 0.33, ""13"": 0.39, ""23"": 0.38, ""37"": 0.43, ""41"": 0.36, ""53"": 0.35, ""71"": 0.39, ""89"": 0.31}"
T013-S2,B,contrast_low,gaussian_noise,1,0.52,0.33,0.29,0.39,"{""7"": 0.33, ""13"": 0.31, ""23"": 0.35, ""37"": 0.39, ""41"": 0.33, ""53"": 0.29, ""71"": 0.31, ""89"": 0.33}"
T013-S2,B,contrast_low,gaussian_blur,0,0.67,0.34875,0.29,0.38,"{""7"": 0.34, ""13"": 0.34, ""23"": 0.35, ""37"": 0.37, ""41"": 0.37, ""53"": 0.35, ""71"": 0.38, ""89"": 0.29}"
T013-S2,B,contrast_low,gaussian_blur,1,0.7,0.33125,0.29,0.39,"{""7"": 0.32, ""13"": 0.32, ""23"": 0.31, ""37"": 0.39, ""41"": 0.29, ""53"": 0.35, ""71"": 0.35, ""89"": 0.32}"
T013-S2,B,gaussian_noise,gaussian_blur,0,0.68,0.3675,0.32,0.41,"{""7"": 0.36, ""13"": 0.41, ""23"": 0.41, ""37"": 0.34, ""41"": 0.35, ""53"": 0.32, ""71"": 0.38, ""89"": 0.37}"
T013-S2,B,gaussian_noise,gaussian_blur,1,0.68,0.37,0.33,0.4,"{""7"": 0.38, ""13"": 0.4, ""23"": 0.37, ""37"": 0.35, ""41"": 0.38, ""53"": 0.33, ""71"": 0.4, ""89"": 0.35}"
T013-S3,A,clean,brightness_dark,0,0.52,0.38625,0.33,0.45,"{""7"": 0.45, ""13"": 0.4, ""23"": 0.41, ""37"": 0.39, ""41"": 0.34, ""53"": 0.33, ""71"": 0.37, ""89"": 0.4}"
T013-S3,A,clean,brightness_dark,1,0.54,0.4375,0.4,0.49,"{""7"": 0.45, ""13"": 0.46, ""23"": 0.4, ""37"": 0.42, ""41"": 0.41, ""53"": 0.47, ""71"": 0.49, ""89"": 0.4}"
T013-S3,A,clean,contrast_low,0,0.56,0.3125,0.26,0.36,"{""7"": 0.36, ""13"": 0.34, ""23"": 0.3, ""37"": 0.33, ""41"": 0.35, ""53"": 0.27, ""71"": 0.26, ""89"": 0.29}"
T013-S3,A,clean,contrast_low,1,0.54,0.32,0.25,0.35,"{""7"": 0.34, ""13"": 0.34, ""23"": 0.29, ""37"": 0.32, ""41"": 0.33, ""53"": 0.25, ""71"": 0.35, ""89"": 0.34}"
T013-S3,A,clean,gaussian_noise,0,0.75,0.44625,0.38,0.56,"{""7"": 0.43, ""13"": 0.46, ""23"": 0.47, ""37"": 0.56, ""41"": 0.44, ""53"": 0.39, ""71"": 0.44, ""89"": 0.38}"
T013-S3,A,clean,gaussian_noise,1,0.8,0.41125,0.37,0.46,"{""7"": 0.37, ""13"": 0.45, ""23"": 0.41, ""37"": 0.46, ""41"": 0.39, ""53"": 0.37, ""71"": 0.41, ""89"": 0.43}"
T013-S3,A,clean,gaussian_blur,0,0.7,0.36125,0.31,0.4,"{""7"": 0.39, ""13"": 0.38, ""23"": 0.39, ""37"": 0.36, ""41"": 0.4, ""53"": 0.32, ""71"": 0.34, ""89"": 0.31}"
T013-S3,A,clean,gaussian_blur,1,0.67,0.34625,0.3,0.39,"{""7"": 0.35, ""13"": 0.36, ""23"": 0.33, ""37"": 0.35, ""41"": 0.32, ""53"": 0.3, ""71"": 0.39, ""89"": 0.37}"
T013-S3,A,brightness_dark,contrast_low,0,0.55,0.4125,0.38,0.43,"{""7"": 0.42, ""13"": 0.4, ""23"": 0.43, ""37"": 0.43, ""41"": 0.4, ""53"": 0.41, ""71"": 0.38, ""89"": 0.43}"
T013-S3,A,brightness_dark,contrast_low,1,0.58,0.4025,0.35,0.47,"{""7"": 0.42, ""13"": 0.47, ""23"": 0.4, ""37"": 0.35, ""41"": 0.43, ""53"": 0.35, ""71"": 0.36, ""89"": 0.44}"
T013-S3,A,brightness_dark,gaussian_noise,0,0.56,0.4675,0.42,0.52,"{""7"": 0.48, ""13"": 0.52, ""23"": 0.42, ""37"": 0.47, ""41"": 0.46, ""53"": 0.49, ""71"": 0.45, ""89"": 0.45}"
T013-S3,A,brightness_dark,gaussian_noise,1,0.53,0.4025,0.36,0.44,"{""7"": 0.42, ""13"": 0.44, ""23"": 0.39, ""37"": 0.36, ""41"": 0.43, ""53"": 0.4, ""71"": 0.4, ""89"": 0.38}"
T013-S3,A,brightness_dark,gaussian_blur,0,0.57,0.46625,0.41,0.52,"{""7"": 0.47, ""13"": 0.49, ""23"": 0.45, ""37"": 0.46, ""41"": 0.46, ""53"": 0.52, ""71"": 0.41, ""89"": 0.47}"
T013-S3,A,brightness_dark,gaussian_blur,1,0.57,0.38875,0.33,0.42,"{""7"": 0.41, ""13"": 0.41, ""23"": 0.33, ""37"": 0.38, ""41"": 0.4, ""53"": 0.36, ""71"": 0.4, ""89"": 0.42}"
T013-S3,A,contrast_low,gaussian_noise,0,0.53,0.3475,0.29,0.42,"{""7"": 0.34, ""13"": 0.33, ""23"": 0.38, ""37"": 0.42, ""41"": 0.33, ""53"": 0.29, ""71"": 0.38, ""89"": 0.31}"
T013-S3,A,contrast_low,gaussian_noise,1,0.55,0.3425,0.29,0.42,"{""7"": 0.29, ""13"": 0.4, ""23"": 0.37, ""37"": 0.42, ""41"": 0.33, ""53"": 0.32, ""71"": 0.31, ""89"": 0.3}"
T013-S3,A,contrast_low,gaussian_blur,0,0.69,0.34125,0.31,0.38,"{""7"": 0.31, ""13"": 0.34, ""23"": 0.35, ""37"": 0.38, ""41"": 0.35, ""53"": 0.33, ""71"": 0.36, ""89"": 0.31}"
T013-S3,A,contrast_low,gaussian_blur,1,0.72,0.36875,0.31,0.46,"{""7"": 0.31, ""13"": 0.44, ""23"": 0.37, ""37"": 0.46, ""41"": 0.32, ""53"": 0.33, ""71"": 0.36, ""89"": 0.36}"
T013-S3,A,gaussian_noise,gaussian_blur,0,0.72,0.3925,0.35,0.43,"{""7"": 0.41, ""13"": 0.41, ""23"": 0.43, ""37"": 0.35, ""41"": 0.39, ""53"": 0.38, ""71"": 0.39, ""89"": 0.38}"
T013-S3,A,gaussian_noise,gaussian_blur,1,0.7,0.3875,0.34,0.45,"{""7"": 0.4, ""13"": 0.45, ""23"": 0.36, ""37"": 0.4, ""41"": 0.34, ""53"": 0.37, ""71"": 0.39, ""89"": 0.39}"
T013-S3,B,clean,brightness_dark,0,0.49,0.37625,0.34,0.42,"{""7"": 0.42, ""13"": 0.39, ""23"": 0.42, ""37"": 0.37, ""41"": 0.35, ""53"": 0.36, ""71"": 0.36, ""89"": 0.34}"
T013-S3,B,clean,brightness_dark,1,0.53,0.4425,0.4,0.53,"{""7"": 0.44, ""13"": 0.47, ""23"": 0.44, ""37"": 0.4, ""41"": 0.42, ""53"": 0.42, ""71"": 0.53, ""89"": 0.42}"
T013-S3,B,clean,contrast_low,0,0.5,0.30375,0.26,0.34,"{""7"": 0.34, ""13"": 0.32, ""23"": 0.3, ""37"": 0.3, ""41"": 0.33, ""53"": 0.26, ""71"": 0.28, ""89"": 0.3}"
T013-S3,B,clean,contrast_low,1,0.55,0.32625,0.26,0.37,"{""7"": 0.34, ""13"": 0.35, ""23"": 0.3, ""37"": 0.28, ""41"": 0.35, ""53"": 0.26, ""71"": 0.36, ""89"": 0.37}"
T013-S3,B,clean,gaussian_noise,0,0.74,0.425,0.38,0.5,"{""7"": 0.38, ""13"": 0.42, ""23"": 0.46, ""37"": 0.5, ""41"": 0.45, ""53"": 0.38, ""71"": 0.42, ""89"": 0.39}"
T013-S3,B,clean,gaussian_noise,1,0.78,0.46625,0.41,0.5,"{""7"": 0.42, ""13"": 0.5, ""23"": 0.48, ""37"": 0.47, ""41"": 0.47, ""53"": 0.41, ""71"": 0.5, ""89"": 0.48}"
T013-S3,B,clean,gaussian_blur,0,0.69,0.355,0.28,0.42,"{""7"": 0.38, ""13"": 0.37, ""23"": 0.41, ""37"": 0.33, ""41"": 0.42, ""53"": 0.3, ""71"": 0.35, ""89"": 0.28}"
T013-S3,B,clean,gaussian_blur,1,0.64,0.365,0.29,0.41,"{""7"": 0.41, ""13"": 0.38, ""23"": 0.33, ""37"": 0.35, ""41"": 0.34, ""53"": 0.29, ""71"": 0.41, ""89"": 0.41}"
T013-S3,B,brightness_dark,contrast_low,0,0.6,0.39125,0.34,0.42,"{""7"": 0.42, ""13"": 0.4, ""23"": 0.41, ""37"": 0.39, ""41"": 0.36, ""53"": 0.4, ""71"": 0.34, ""89"": 0.41}"
T013-S3,B,brightness_dark,contrast_low,1,0.55,0.3725,0.3,0.42,"{""7"": 0.41, ""13"": 0.41, ""23"": 0.38, ""37"": 0.34, ""41"": 0.4, ""53"": 0.3, ""71"": 0.32, ""89"": 0.42}"
T013-S3,B,brightness_dark,gaussian_noise,0,0.55,0.43875,0.4,0.5,"{""7"": 0.44, ""13"": 0.5, ""23"": 0.4, ""37"": 0.46, ""41"": 0.41, ""53"": 0.46, ""71"": 0.4, ""89"": 0.44}"
T013-S3,B,brightness_dark,gaussian_noise,1,0.52,0.42125,0.39,0.45,"{""7"": 0.45, ""13"": 0.44, ""23"": 0.41, ""37"": 0.41, ""41"": 0.45, ""53"": 0.39, ""71"": 0.42, ""89"": 0.4}"
T013-S3,B,brightness_dark,gaussian_blur,0,0.61,0.46125,0.43,0.52,"{""7"": 0.45, ""13"": 0.52, ""23"": 0.47, ""37"": 0.44, ""41"": 0.43, ""53"": 0.48, ""71"": 0.43, ""89"": 0.47}"
T013-S3,B,brightness_dark,gaussian_blur,1,0.55,0.3725,0.33,0.41,"{""7"": 0.39, ""13"": 0.41, ""23"": 0.33, ""37"": 0.33, ""41"": 0.39, ""53"": 0.35, ""71"": 0.37, ""89"": 0.41}"
T013-S3,B,contrast_low,gaussian_noise,0,0.52,0.33625,0.28,0.42,"{""7"": 0.33, ""13"": 0.34, ""23"": 0.38, ""37"": 0.42, ""41"": 0.29, ""53"": 0.28, ""71"": 0.35, ""89"": 0.3}"
T013-S3,B,contrast_low,gaussian_noise,1,0.52,0.3425,0.29,0.41,"{""7"": 0.33, ""13"": 0.36, ""23"": 0.38, ""37"": 0.41, ""41"": 0.35, ""53"": 0.3, ""71"": 0.32, ""89"": 0.29}"
T013-S3,B,contrast_low,gaussian_blur,0,0.71,0.3425,0.3,0.38,"{""7"": 0.35, ""13"": 0.33, ""23"": 0.36, ""37"": 0.38, ""41"": 0.32, ""53"": 0.33, ""71"": 0.37, ""89"": 0.3}"
T013-S3,B,contrast_low,gaussian_blur,1,0.69,0.32625,0.27,0.37,"{""7"": 0.27, ""13"": 0.36, ""23"": 0.32, ""37"": 0.36, ""41"": 0.28, ""53"": 0.32, ""71"": 0.37, ""89"": 0.33}"
T013-S3,B,gaussian_noise,gaussian_blur,0,0.69,0.42375,0.37,0.47,"{""7"": 0.42, ""13"": 0.47, ""23"": 0.46, ""37"": 0.37, ""41"": 0.44, ""53"": 0.39, ""71"": 0.46, ""89"": 0.38}"
T013-S3,B,gaussian_noise,gaussian_blur,1,0.68,0.37875,0.33,0.43,"{""7"": 0.37, ""13"": 0.42, ""23"": 0.33, ""37"": 0.41, ""41"": 0.34, ""53"": 0.35, ""71"": 0.38, ""89"": 0.43}"
