dataset,baseline,affine_correct,affine_gain,affine_wrong,specificity_pp,affine_shuffled,affine_noise,prior_correct,random_no_write,train_eval_seconds,peak_gpu_gib,commit,run_id
MNIST,92.49757710506813,94.7551450067572,2.2575679016890717,92.01869921512733,2.736445791629876,94.68673426486103,90.87851291255745,98.24411363186039,92.48617534986495,226.09954237937927,0.46023035049438477,af29ce6235c4afa63db67e004942ad87eab937c8,20260913-123718-ttfl-pfl-gpu0
Cifar10,34.21770064498969,57.277744622290854,23.060043977301163,25.832834685876133,31.44490993641472,58.049072234122406,59.937495811366716,79.19409519929789,34.18445394231564,238.47584104537964,0.6839237213134766,af29ce6235c4afa63db67e004942ad87eab937c8,20260913-123718-ttfl-pfl-gpu0
Cifar100,11.717762851632639,13.007913901708248,1.2901510500756093,11.318747139829233,1.6891667618790152,13.327126538260455,11.930571273178588,36.58974550690686,11.757664452605765,250.0187954902649,0.7185993194580078,5db9d154450d4a0fdbe7608b132318801c3df894,20260913-124228-ttfl-pfl-c100-fixed
TinyImagenet,9.644504157739933,10.425215096694936,0.7807109389550035,8.820218632787768,1.6049964639071685,8.758487984703923,4.019753803764212,24.95733333930864,9.644504124868531,715.720235824585,4.516867637634277,5db9d154450d4a0fdbe7608b132318801c3df894,20260913-124728-ttfl-pfl-tiny-gpu0
