client,bank,context,iterations,converged,cap_hit,L,eta,max_step,projected_gradient_residual,objective,initial_objective,active_classes,L1_change,differs_from_BBSE,direct_KKT,reference_KKT,reference_objective,objective_error,unique,prevalence_error,reference_agreement,objective_dominance
0,A,clean,13800,True,False,1.3993141229711412,0.7146358230678871,9.992145999504487e-13,1.3963605503722525e-12,0.00020135998395897844,0.0025883625389112003,5,0.9438198209915206,True,1.39635013079141e-12,1.7943545954635098e-17,0.0002013599839589783,1.3552527156068805e-19,True,7.325943879310515e-10,True,True
0,A,brightness_dark,20000,False,True,1.394925478795869,0.7168841742450804,6.529363161256185e-11,9.101859690177801e-11,0.00030099156434578594,0.0017776251014162499,5,0.39417161963160713,True,9.101859294469855e-11,2.2442984970449942e-17,0.0003009915643457778,8.131516293641283e-18,True,9.713019001600376e-08,True,True
0,A,contrast_low,20000,False,True,1.4234836730677,0.7025019105733294,2.759290155002203e-06,3.927498178244889e-06,0.0002698082442041757,0.0017430803613375507,6,0.914670098555658,True,3.92749817826007e-06,4.185020385794047e-17,0.00026979829522233624,9.948981839486958e-09,True,0.0021014827149848994,False,True
0,A,gaussian_noise,6441,True,False,1.402569935847361,0.7129769250300173,9.974937542622797e-13,1.394597364862023e-12,0.00012405872935599232,0.0036298420669190197,4,0.6874778739931036,True,1.3946086717094366e-12,1.6506978076091805e-17,0.00012405872935599232,0.0,True,3.1372095199433403e-10,True,True
0,A,gaussian_blur,20000,False,True,1.408515056749274,0.7099675613748213,1.1598777494015167e-12,1.6321708287835855e-12,0.00016202449819224557,0.002364319253471716,5,0.986229851473786,True,1.6321358327353597e-12,1.1133401058710524e-17,0.00016202449819224547,1.0842021724855044e-19,True,1.2226795201297769e-09,True,True
0,B,clean,13800,True,False,1.3993141229711412,0.7146358230678871,9.992145999504487e-13,1.3963605503722525e-12,0.00020135998395897844,0.0025883625389112003,5,0.9438198209915206,True,1.39635013079141e-12,1.7943545954635098e-17,0.0002013599839589783,1.3552527156068805e-19,True,7.325943879310515e-10,True,True
0,B,brightness_dark,20000,False,True,1.3875862647644732,0.720675914278914,4.090502936371365e-11,5.671966527822779e-11,0.0003023761926351393,0.0017546068474456002,5,0.3881479823364803,True,5.67196892752031e-11,6.028164079019405e-17,0.0003023761926351362,3.144186300207963e-18,True,5.8648948114692345e-08,True,True
0,B,contrast_low,20000,False,True,1.4499744695791066,0.6896673155150631,4.24252069586295e-09,6.147125001193942e-09,0.00028081903298702085,0.0020127466141488565,5,0.9100167858997616,True,6.1471249613968826e-09,2.47198095326695e-17,0.00028081903295163694,3.5383913681019674e-14,True,5.897201313449785e-06,False,True
0,B,gaussian_noise,6490,True,False,1.404444821347707,0.7120251253733121,9.984929549844423e-13,1.3979136417750909e-12,0.00011935769718294139,0.003484171530411017,4,0.6910217935287417,True,1.3978827657586991e-12,1.8126505071242027e-17,0.00011935769718294147,8.131516293641283e-20,True,3.148207042280582e-10,True,True
0,B,gaussian_blur,20000,False,True,1.4193980423404204,0.704524009594319,2.8221452952337245e-12,4.0022116974350425e-12,0.00016111310928871032,0.0025915877042240643,5,0.9973947425089431,True,4.00218925925358e-12,1.802486111757151e-17,0.0001611131092887103,2.710505431213761e-20,True,3.123123031023578e-09,True,True
1,A,clean,1985,True,False,1.3999188113547174,0.7143271394662442,9.89985871058252e-13,1.3529503354140288e-12,0.0010733563390727895,0.001666243647122275,4,0.5559020845000082,True,1.3529928588086604e-12,3.176712365382528e-17,0.0010733563390727897,2.168404344971009e-19,True,4.0784042809605126e-11,True,True
1,A,brightness_dark,3511,True,False,1.394993361871199,0.7168492892744898,9.968206815536007e-13,1.3831629345891024e-12,0.0005148772706276673,0.0037198197967899466,5,0.42623385238990025,True,1.3831806793679347e-12,2.8406096919120216e-17,0.0005148772706276668,4.336808689942018e-19,True,1.8738702256548834e-10,True,True
1,A,contrast_low,20000,False,True,1.4243839423712685,0.7020579004388607,5.807786890299482e-11,8.267462900765548e-11,0.0001546221156267369,0.002587547164856107,4,0.37432594902812244,True,8.267461991699407e-11,1.600553457131726e-17,0.0001546221156267308,6.0986372202309624e-18,True,9.491318961676876e-08,True,True
1,A,gaussian_noise,5408,True,False,1.4029489246988578,0.712784323359918,9.956480084838404e-13,1.390612958086668e-12,0.0012219891253062616,0.001469491696622871,4,0.6976895500780991,True,1.3906361956070312e-12,2.951740414591786e-17,0.0012219891253062618,2.168404344971009e-19,True,2.2334833982284863e-10,True,True
1,A,gaussian_blur,5172,True,False,1.409753828890807,0.709343702075134,9.982015214404782e-13,1.3982971122439813e-12,0.0011332408716255699,0.0020335595633489724,4,0.6831710978583683,True,1.398471562077258e-12,2.4259023609363162e-17,0.0011332408716255697,2.168404344971009e-19,True,1.6053069984423018e-10,True,True
1,B,clean,1985,True,False,1.3999188113547174,0.7143271394662442,9.89985871058252e-13,1.3529503354140288e-12,0.0010733563390727895,0.001666243647122275,4,0.5559020845000082,True,1.3529928588086604e-12,3.176712365382528e-17,0.0010733563390727897,2.168404344971009e-19,True,4.0784042809605126e-11,True,True
1,B,brightness_dark,3350,True,False,1.3876542927829845,0.7206405840423471,9.989856164516198e-13,1.3786591957981633e-12,0.0005308105820813108,0.004255448073700654,5,0.4179572979079298,True,1.3786991296879658e-12,9.75781955236954e-18,0.0005308105820813109,1.0842021724855044e-19,True,1.8214008773442814e-10,True,True
1,B,contrast_low,6474,True,False,1.4511232309739688,0.6891213500378031,9.973133430207781e-13,1.443196884561272e-12,0.00011337246016279328,0.002347864520266313,3,0.2848730273586908,True,1.4432029247883615e-12,1.7780915628762273e-17,0.0001133724601627932,8.131516293641283e-20,True,3.561489991810163e-10,True,True
1,B,gaussian_noise,5406,True,False,1.4049211854165418,0.7117837003102152,9.95981075391228e-13,1.3931917872845369e-12,0.0012376806839933534,0.001467081146344068,4,0.7109948117695799,True,1.3930964671768353e-12,2.439454888092385e-17,0.0012376806839933532,2.168404344971009e-19,True,2.2911328390051722e-10,True,True
1,B,gaussian_blur,5030,True,False,1.4207227051707167,0.703867120839628,9.995337890700284e-13,1.4110696300814442e-12,0.0011597245958431931,0.0021629192074211403,4,0.6952335790141765,True,1.4111622840314725e-12,1.691355389077387e-17,0.0011597245958431938,6.505213034913027e-19,True,1.5734247238441412e-10,True,True
