bank,salt,matched_p05,matched_median,matched_p95,actual_oracle_capture,source_capture,actual_below_matched_p05,source_minus_oracle_pp
A,T013-S0,0.7422467551452455,0.8354744780107095,0.880467846954223,0.7575335137347834,0.5772270057295578,False,-1.6496516926143485
A,T013-S1,0.7344527289102918,0.8268435943672443,0.8841717889744447,0.7511022258547141,0.5730751879933925,False,-1.6300053271919523
A,T013-S2,0.7384322909059389,0.834182092642568,0.8868193337656064,0.7608498861862641,0.6225253097388455,False,-1.2553830384188274
A,T013-S3,0.7441884177154207,0.835459382798325,0.88797023509457,0.7668993069473864,0.6221477229964935,False,-1.3156509556048022
B,T013-S0,0.76765201241276,0.8490839188124935,0.9026770839671007,0.7563479742370641,0.5895698841440419,True,-1.4940043651953516
B,T013-S1,0.7539246037546771,0.8436228959094156,0.8986971269454749,0.7575432208623061,0.6023263001967626,False,-1.389422599461689
B,T013-S2,0.74724816859506,0.8418527768130235,0.9020123913169371,0.7491074205075158,0.5829537930003055,False,-1.4940043651953516
B,T013-S3,0.7546652324803118,0.8385958452042601,0.8967349967689959,0.7562075989868505,0.5911692526908814,False,-1.4873019523267175
