client,bank,context,salt,label,count,real_regret_exact,repair_regret_exact,regret_reduction_exact,recovery_fraction_exact,recovery_fraction,zero_gap,prevalence_L1_change,DU_change,actual_optimal_agreement,repair_optimal_agreement,enters_optimal_set,repaired_states,best_utility_class
0,A,contrast_low,T013-S3,1,2,0,0,0,,,True,0.03188837927950883,-0.011145441949640102,1.0,1.0,False,"[2, 2]",True
0,A,contrast_low,T013-S3,6,1,0,0,0,,,True,-0.07264684182852821,0.007937427620036366,1.0,1.0,False,"[2, 2]",False
0,A,contrast_low,T013-S3,7,17,0,983263/45722800,-983263/45722800,,,True,-0.7884928324481638,0.008030773960433432,1.0,0.5,False,"[1, 2]",False
0,A,gaussian_noise,T013-S0,1,2,0,0,0,,,True,0.002587871405119291,-0.025153162376264818,1.0,1.0,False,"[1, 1]",True
0,A,gaussian_noise,T013-S0,6,1,0,12189907223209/144295937794800,-12189907223209/144295937794800,,,True,0.09556022073880799,0.041773924044925526,1.0,0.0,False,"[3, 0]",False
0,A,gaussian_noise,T013-S0,7,17,0,0,0,,,True,-0.7425082217644936,-0.10150241153834197,1.0,1.0,False,"[1, 1]",False
0,A,gaussian_noise,T013-S1,1,2,0,0,0,,,True,0.002587871405119291,-0.02513445373322956,1.0,1.0,False,"[1, 1]",True
0,A,gaussian_noise,T013-S1,6,1,0,263211654866753/3144237454881600,-263211654866753/3144237454881600,,,True,0.09556022073880799,0.041731411467081564,1.0,0.0,False,"[3, 0]",False
0,A,gaussian_noise,T013-S1,7,17,0,0,0,,,True,-0.7425082217644936,-0.10140685954203571,1.0,1.0,False,"[1, 1]",False
0,A,gaussian_noise,T013-S2,1,2,0,0,0,,,True,0.002587871405119291,-0.025120107357924054,1.0,1.0,False,"[1, 1]",True
0,A,gaussian_noise,T013-S2,6,1,0,98021087565341861/1159440263499658800,-98021087565341861/1159440263499658800,,,True,0.09556022073880799,0.04171137229410671,1.0,0.0,False,"[0, 3]",False
0,A,gaussian_noise,T013-S2,7,17,0,0,0,,,True,-0.7425082217644936,-0.1013763630503448,1.0,1.0,False,"[1, 1]",False
0,A,gaussian_noise,T013-S3,1,2,0,0,0,,,True,0.002587871405119291,-0.02512754518109693,1.0,1.0,False,"[1, 1]",True
0,A,gaussian_noise,T013-S3,6,1,0,5685901311226361/68174778113659200,-5685901311226361/68174778113659200,,,True,0.09556022073880799,0.0417242881030635,1.0,0.0,False,"[3, 0]",False
0,A,gaussian_noise,T013-S3,7,17,0,0,0,,,True,-0.7425082217644936,-0.10140825511895363,1.0,1.0,False,"[1, 1]",False
0,A,gaussian_blur,T013-S0,1,2,13433449/495370080,16647253/1300314840,2478806999111/173155125353760,2478806999111/4695621797603,0.5278974981282288,False,0.28818087886022203,0.02325587251436008,0.5,0.5,False,"[1, 1]",False
0,A,gaussian_blur,T013-S0,6,1,13433449/495370080,2146704950875/34631025070752,-136025569/3900944520,-6037902956772/4695621797603,-1.2858580220098224,False,0.09224186522796707,0.021658523344478195,0.5,0.0,False,"[4, 4]",False
0,A,gaussian_blur,T013-S0,7,17,13433449/495370080,0,13433449/495370080,1,1.0,False,-0.6252735444112769,-0.0720813607638125,0.5,1.0,True,"[2, 1]",True
0,A,gaussian_blur,T013-S1,1,2,19668389/683624400,121095753/7693481600,7449388846301/571679537251200,7449388846301/16447650964472,0.452915061390357,False,0.28818087886022203,0.02304418241939135,0.5,0.5,False,"[1, 1]",False
0,A,gaussian_blur,T013-S1,6,1,19668389/683624400,74193261404377/1143359074502400,-555774819/15386963200,-41297959475433/32895301928944,-1.25543640136331,False,0.09224186522796707,0.021655694830946537,0.5,0.0,False,"[4, 4]",False
0,A,gaussian_blur,T013-S1,7,17,19668389/683624400,0,19668389/683624400,1,1.0,False,-0.6252735444112769,-0.07213948187405621,0.5,1.0,True,"[1, 2]",True
0,A,gaussian_blur,T013-S2,1,2,188149849/7650953020,1993851/252569900,806653205426627/48310010979152450,1613306410853254/2376049427347255,0.6789868898705669,False,0.28818087886022203,0.023134968972256142,0.5,0.5,False,"[1, 1]",True
0,A,gaussian_blur,T013-S2,6,1,188149849/7650953020,33095298245210737/579720131749829400,-49246157/1515419400,-18839001681127207/14256296564083530,-1.3214513037410482,False,0.09224186522796707,0.021674231448982256,0.5,0.0,False,"[4, 4]",False
