bank,context,salt,actual_macro,actual_macro_exact,actual_capture,actual_capture_exact,null_macro_p05,null_macro_median,null_macro_p95,null_capture_p05,null_capture_median,null_capture_p95,actual_below_null_p05,eligible_client_capture,nonpositive_client_denominator,capture_deficit_p95_exceedance
A,clean,T013-S0,39.115670128760435,4379124746870947087559/111953207818140489775,0.8123936380704208,417891674733031462617/514395553029684521137,38.92522679592008,39.42495977258365,39.79780027723181,0.7813075285189085,0.8628790586290731,0.9237379009937453,False,72,28,0.05555555555555555
A,clean,T013-S1,39.055656911893294,35404097771102715117/906503707029477650,0.7983792226356284,1100940455008560359093/1378969321588943132807,38.92371032174601,39.41981548980952,39.801429332145304,0.7769547517697598,0.8575084872449927,0.9194720032252738,False,72,28,0.05555555555555555
A,clean,T013-S2,39.06935355761002,4373939458155521497762/111953207818140489775,0.8004916748231686,3312021665571698162154/4137484210942399939171,38.944252985907376,39.41284390928672,39.80906380126994,0.7801816367595233,0.8562572242694999,0.9205833978291209,False,73,27,0.0547945205479452
A,clean,T013-S3,38.97003400399879,26176921893178067633497/671719246908842938650,0.773342186234171,3245306809816636809079/4196469386494771626546,38.95419250613209,39.40250181703183,39.782200411953774,0.7708064739396469,0.84256631893433,0.9033438037062018,False,75,25,0.05333333333333334
A,brightness_dark,T013-S0,33.65725645904361,22608226961686561507157/671719246908842938650,0.8984659835648294,901851940468439356311/1003768597771699181435,33.15835181259748,33.89588846280143,34.6239295015475,0.8706438462270945,0.9117736415091335,0.9523739003196867,False,91,9,0.03296703296703297
A,brightness_dark,T013-S1,33.69726020864514,870580701932401222082/25835355650340113025,0.9010580738007838,10849094574177142542707/12040394387027914519545,33.15331530770215,33.88966786364674,34.6089554633601,0.8707120363308668,0.9117922674627805,0.9519204650333576,False,92,8,0.03260869565217391
A,brightness_dark,T013-S2,33.53010866143379,22522819338829979773823/671719246908842938650,0.891381026641532,10736815662764690542398/12045147183823210116145,33.12246571255035,33.902058080201385,34.58446051437109,0.8686480861093124,0.9121234534172122,0.9501788496837561,False,92,8,0.043478260869565216
A,brightness_dark,T013-S3,33.75649545071011,22674887702432780383039/671719246908842938650,0.9036692950939224,10888884026367491151614/12049633738231375520845,33.10829809866132,33.911848557279896,34.6356763418836,0.8675348658967053,0.9123296140726567,0.9526801396511264,False,91,9,0.02197802197802198
A,contrast_low,T013-S0,31.249615062826653,3498494649365525705024/111953207818140489775,0.8339188640877399,3793316499250545012188/4548783655829897649377,30.59796256288268,31.506170226932376,32.21275633566901,0.7858040756488984,0.8528616249071957,0.9050324385519071,False,94,6,0.010638297872340425
A,contrast_low,T013-S1,31.23746173864131,6994268091474645951373/223906415636280979550,0.8342238605846344,7578469376731873648351/9084455306062318509936,30.5957669538019,31.576390418438177,32.294681268927604,0.7867759153754131,0.8592847926800381,0.912396374266035,False,94,6,0.02127659574468085
