target,context,layer,ratio_defined_clients,restoration_ratio,mse_before,mse_after,gamma_abs_mean,beta_abs_mean,cap_fraction,negative_scale_fraction,gamma_abs_max_max,beta_abs_max_max,cap_fraction_max,clients_cap_gt10pct
brightness_dark,oracle_correct,1,100,0.3470761984868977,0.1233257748764424,0.043158273357363726,1.4184317243099214,0.24097518414258956,0.0571875,0.0,7.0,1.757897973060608,0.0625,0
brightness_dark,oracle_correct,2,100,0.8812096252454278,0.05931952675265218,0.05221693142159275,0.2534431195259094,0.12627424813807012,0.0,0.0115625,1.2982451915740967,1.7316572666168213,0.0,0
brightness_dark,oracle_wrong_clean,1,0,,0.0,2.6198692709615613e-09,0.000262115653604269,4.443039040779695e-05,0.0,0.0,0.0023323893547058105,0.00019394770788494498,0.0,0
brightness_dark,oracle_wrong_clean,2,100,12.686596957701882,5.240178967514634e-09,6.584789620899125e-08,0.016140154507011176,4.5009480563749095e-05,0.0,0.0,0.9980018734931946,0.0003063896729145199,0.0,0
brightness_dark,oracle_wrong_alt,1,100,0.5638881781666469,0.023556953702715808,0.013246882122442166,0.23577795088291167,0.018219580100849272,0.0,0.0,0.6889671087265015,0.07098618149757385,0.0,0
brightness_dark,oracle_wrong_alt,2,100,0.8192566598460487,0.011959061221674134,0.00978039721968756,0.121457801759243,0.06831897139549255,0.0,0.0034375,1.0007048845291138,0.46428704261779785,0.0,0
brightness_dark,oracle_noise_source,1,100,0.4888941381644834,0.20515034657995934,0.10073941918629728,1.0003688710927963,0.25723152458667753,0.0,0.5028125,1.0777313709259033,0.9663138389587402,0.0,0
brightness_dark,oracle_noise_source,2,100,0.8522563044413991,0.19863331413359048,0.1691326618341099,1.535270454287529,1.0236916774511338,0.0171875,0.2171875,9.0,15.444284439086914,0.09375,0
contrast_low,oracle_correct,1,100,0.522142625921633,0.04940727758804883,0.025375765282914842,0.8891460585594178,0.04744728598743677,0.0,0.0,3.4868922233581543,0.2338014841079712,0.0,0
contrast_low,oracle_correct,2,100,0.8572748800890444,0.051810660082446044,0.04433719738771126,0.1692041726410389,0.09241886548697949,0.0,0.0034375,1.1928582191467285,0.6348704695701599,0.0,0
contrast_low,oracle_wrong_clean,1,0,,0.0,2.6198692709615613e-09,0.000262115653604269,4.443039040779695e-05,0.0,0.0,0.0023323893547058105,0.00019394770788494498,0.0,0
contrast_low,oracle_wrong_clean,2,100,12.686596957701882,5.240178967514634e-09,6.584789620899125e-08,0.016140154507011176,4.5009480563749095e-05,0.0,0.0,0.9980018734931946,0.0003063896729145199,0.0,0
contrast_low,oracle_wrong_alt,1,100,0.6393483634479855,0.012844021861436416,0.008183034288942076,0.22694406151771546,0.02275198608636856,0.0,0.0,1.2409453392028809,0.06145057454705238,0.0,0
contrast_low,oracle_wrong_alt,2,100,0.8851298555419292,0.009659977169693251,0.008548876023316089,0.0577516221627593,0.036124775744974615,0.0,0.00140625,1.002272129058838,0.1926574558019638,0.0,0
contrast_low,oracle_noise_source,1,100,0.4888941381644834,0.20515034657995934,0.10073941918629728,1.0003688710927963,0.25723152458667753,0.0,0.5028125,1.0777313709259033,0.9663138389587402,0.0,0
contrast_low,oracle_noise_source,2,100,0.8522563044413991,0.19863331413359048,0.1691326618341099,1.535270454287529,1.0236916774511338,0.0171875,0.2171875,9.0,15.444284439086914,0.09375,0
gaussian_noise,oracle_correct,1,100,0.5638881781666469,0.023556953702715808,0.013246882122442166,0.23577795088291167,0.018219580100849272,0.0,0.0,0.6889671087265015,0.07098618149757385,0.0,0
gaussian_noise,oracle_correct,2,100,0.8192566598460487,0.011959061221674134,0.00978039721968756,0.121457801759243,0.06831897139549255,0.0,0.0034375,1.0007048845291138,0.46428704261779785,0.0,0
gaussian_noise,oracle_wrong_clean,1,0,,0.0,2.6198692709615613e-09,0.000262115653604269,4.443039040779695e-05,0.0,0.0,0.0023323893547058105,0.00019394770788494498,0.0,0
gaussian_noise,oracle_wrong_clean,2,100,12.686596957701882,5.240178967514634e-09,6.584789620899125e-08,0.016140154507011176,4.5009480563749095e-05,0.0,0.0,0.9980018734931946,0.0003063896729145199,0.0,0
gaussian_noise,oracle_wrong_alt,1,100,0.3470761984868977,0.1233257748764424,0.043158273357363726,1.4184317243099214,0.24097518414258956,0.0571875,0.0,7.0,1.757897973060608,0.0625,0
gaussian_noise,oracle_wrong_alt,2,100,0.8812096252454278,0.05931952675265218,0.05221693142159275,0.2534431195259094,0.12627424813807012,0.0,0.0115625,1.2982451915740967,1.7316572666168213,0.0,0
gaussian_noise,oracle_noise_source,1,100,0.4888941381644834,0.20515034657995934,0.10073941918629728,1.0003688710927963,0.25723152458667753,0.0,0.5028125,1.0777313709259033,0.9663138389587402,0.0,0
gaussian_noise,oracle_noise_source,2,100,0.8522563044413991,0.19863331413359048,0.1691326618341099,1.535270454287529,1.0236916774511338,0.0171875,0.2171875,9.0,15.444284439086914,0.09375,0
gaussian_blur,oracle_correct,1,100,0.6393483634479855,0.012844021861436416,0.008183034288942076,0.22694406151771546,0.02275198608636856,0.0,0.0,1.2409453392028809,0.06145057454705238,0.0,0
gaussian_blur,oracle_correct,2,100,0.8851298555419292,0.009659977169693251,0.008548876023316089,0.0577516221627593,0.036124775744974615,0.0,0.00140625,1.002272129058838,0.1926574558019638,0.0,0
gaussian_blur,oracle_wrong_clean,1,0,,0.0,2.6198692709615613e-09,0.000262115653604269,4.443039040779695e-05,0.0,0.0,0.0023323893547058105,0.00019394770788494498,0.0,0
gaussian_blur,oracle_wrong_clean,2,100,12.686596957701882,5.240178967514634e-09,6.584789620899125e-08,0.016140154507011176,4.5009480563749095e-05,0.0,0.0,0.9980018734931946,0.0003063896729145199,0.0,0
gaussian_blur,oracle_wrong_alt,1,100,0.522142625921633,0.04940727758804883,0.025375765282914842,0.8891460585594178,0.04744728598743677,0.0,0.0,3.4868922233581543,0.2338014841079712,0.0,0
gaussian_blur,oracle_wrong_alt,2,100,0.8572748800890444,0.051810660082446044,0.04433719738771126,0.1692041726410389,0.09241886548697949,0.0,0.0034375,1.1928582191467285,0.6348704695701599,0.0,0
gaussian_blur,oracle_noise_source,1,100,0.4888941381644834,0.20515034657995934,0.10073941918629728,1.0003688710927963,0.25723152458667753,0.0,0.5028125,1.0777313709259033,0.9663138389587402,0.0,0
gaussian_blur,oracle_noise_source,2,100,0.8522563044413991,0.19863331413359048,0.1691326618341099,1.535270454287529,1.0236916774511338,0.0171875,0.2171875,9.0,15.444284439086914,0.09375,0
