bank,salt,lambda_,cells,mean_exact,mean_pp,fraction_ge_1pp
B,T013-S1,1/2,200,311915634297608420856061138543434455794683509454114153400368407806281563636606465219849749057998320299671576142210045097656435063944100399315188405920389867110843890647309120533057503255544002977/6982322964532326930415621025346469715776482657592389960022959507961902425468366049657049409874070351092398016631044793748989992579981011783736947592118890916565835394520727595282427690616480000000,4.467218658919488,0.62
B,T013-S2,1/2,200,1381272164007312317740523010244102450843075114363744707864380970583726632681510535137061620126133897860426836062546412418765628696449868006131239718627610966778926884905426463351204069633536772283/33038562629352075979707021438947979924591688509766950710845544954396899978781392018430126765814855622039868482834634534338770321844556087686656546340779425067766851689498618565540759156518880000000,4.180787704063627,0.615
B,T013-S3,1/2,200,253789905250173967370516276271889997584662625921135040062420768400232782153130064036308135357766489264120874921261626659649932445303588176748442021492990823857625653201111881892491/5061116085820139498540335556519680375322925343321898252878113542692361385413128710899078702235678650604028334506971100641421143440088219365850526860734097843328680009624636672000000,5.0145047247824195,0.625
B,T013-S0,3/4,200,115519356813015052038148247232804378126083114100426935899240625416786911043976746062938616042453151295158117432252922704848750591063004852258115598801011057287153049591259868731087927083290381/1943714829358026701245470054334854967411010190249526995859264548015964980449559246889195208253859953111870093741283901243836470259170032817603455676187011730842138179243579195252796660480000000,5.94322557343296,0.615
B,T013-S1,3/4,200,13201992481905322430954077585242339690269071635976563969671352981029380392474224356573771069783944005031060544169371496242097375618801918598679343402503426824593157343585397281240680924469/230932055275556682064110534876789357962483923820008480907735389693393736285583099173317955440054140309507718944947092096949407251413323324131857811235655935254657237508674932712704352000000,5.716829768891207,0.625
B,T013-S2,3/4,200,2663365815865018926045922160916937764567871436519561887675300718216164961827770834175118108180517646434108055112051625951544094678153692601168116007543130810973076825963687243913705413225348711/54888362237783151159405107091102196136025112718365041247343740197868251682552422085155288663985622620681435765382360810350801773615773899278175498597233394945281881317643134184802964270080000000,4.852332456791095,0.58
B,T013-S3,3/4,200,479470275190624528395139151991183909998101186030730946062745425686227685248539967704408284218208864419428088233038375774380294374134419819731126138674182113611648388539907809832690126107441/8295855967011964886275050926944735838426959202861023838265975104674479895669613581293342201760754049690673696029408208804166483401888829590409010855928704489079285057735845395360930304000000,5.779635966405551,0.62
B,T013-S0,1,200,44946415924664726455565170828117208385169838352591859627596071962067558840607698824647568189/521389365666822577071676649670024396920841442244486077808875072292628839729369616081840000000,8.620508756863735,0.68
B,T013-S1,1,200,1539515372492825113883838806311192075272849435252572666790290287743123254260001171120290745112701/21170957270479731022735446505010196966284468874755001286124226758515012769078203297950357921600000,7.271826931697076,0.655
B,T013-S2,1,200,13982008088215399573347158865827679512714171946151208505119239068224698971346524038786244680805742477/220124340406616963869712822549814070634297372065271364031574062332496508076332263183229274879240000000,6.35186824972996,0.6
B,T013-S3,1,200,3677664091885999402736291443643732630683713348846176702570349613652866894491863767871364255799368287076397/47967575688360577776668112536001248469837625425389969366424068962023694164482572890812088026186005353600000,7.666979285714436,0.635
