bank,lambda_,cells,switch_rate,argmax_overlap_rate,stale_regret_mean_exact,stale_regret_mean_pp,stale_regret_median_pp,stale_regret_p75_pp,stale_regret_p90_pp,mismatch_regret_mean_exact,mismatch_regret_mean_pp,mismatch_regret_median_pp,mismatch_regret_p75_pp,mismatch_regret_p90_pp,oracle_vs_zero_mean_exact,oracle_vs_zero_mean_pp,oracle_vs_zero_median_pp,oracle_vs_zero_p75_pp,oracle_vs_zero_p90_pp,historical_minus_zero_mean_exact,historical_minus_zero_mean_pp,historical_minus_zero_median_pp,historical_minus_zero_p75_pp,historical_minus_zero_p90_pp,top_two_margin_mean_exact,top_two_margin_mean_pp,top_two_margin_median_pp,top_two_margin_p75_pp,top_two_margin_p90_pp
A,1/4,800,0.24125,0.76125,851859819982921323942366208175630515643022289872927564308908577138798920254767883739842575536999194351755311328656425614940174628659341365970553216937768918743967108961485388287249120205360883287448664229693/155512633754485607352476143419686443340232369642732168274491866264029914419390164307120820842322840165736660323815026174510480891399556814202306538804411435994842290838925341108437943982337291567544176896000000,0.5477753153662027,0.0,0.0,1.82031703044095,6567642318641172503367000226818462933214782596887885696049021809262365714685445133140281611915338230452825035883541143969883861371497903326279562077133172017670540401152838676149780921768404161981914994237078134309190289547071265075813359222596454067344470537/117116462186393936052423064003148067897853577552495110928985219006217309847691094836912331471025772639609363564536080910902537801707483866038476373209482000119445050595448739190090673782920304574927633236945460223394620495214504368627658552455386093772800000000,5.607787492921871,3.107940607457497,7.840109344883911,16.104559763167078,3257679383079791746735457953908014820651419154872817380818559901366335634969126184835656334777628981181759284031570500796962361813847449295708871712426794871830699316313846734040127782197243005830775301744637609680372777240423288991084972460483235087021/67730095166801330827060165131991716250739677136967467499189212901107728349310532134103092697230571476266701487531764632203469349012751679570141635373382045592581850371457802878264882829709938936117215628411105836537608372950638404722079281658675200000000,4.8097959630161276,3.1425911826718793,6.12141435649131,10.302528884404259,100991104758877289119441814588276981523842273227657764962374701195142471846762939032325599832004622740754645164830985294491799322019085523655165531455150999040484705645628724902399464701265377233889998976672671443472191116146732976741026766064434210616286435983/2369559256231283435814557017576067826356476593552522090951136851461020934096885794013476013311552748571777385685879258417614576895810848628553906269285996467457202439183121214566426605354556209990337154620610514478453430575182547645406668900436727624089600000000,4.262020647649925,2.3429472526973925,5.706935437166244,10.185511543565022,3532637484427296896536944556400314574111486617404175620447869008801396271959275294772499546079488668091879390573194535530027639815539327316205844812424878219348737634487438263120151635894099568502282635639908107418123262656327526016600968835899100803991921849073500019/86251122988531199295052640003197054324700942258941178378671475311636469461614805793974691502642144483190730412817628258502986469869101805638635574044770880844850353796813356195867177211488798684474080158811001712564743373522077975717426264544320358619875551641600000000,4.095758248732635,2.568203308430346,4.749982577677335,8.1005420840195
A,1/2,800,0.4225,0.58,77941731218506174715267051592672018072343533149220075943266289733066418526224281917499427717617592362137226957266609020801460840729085631087171872656477208169529185769144311411897178894791191399350263506274733852695780618450104916458589456925979/3560367498769146265966344998056242294031196031208861607651440920760132742974945138207426088545309013663474568976864982439055058822220355905131272537254399463886193291180088143554330497892684501163357047789111968348199789154997373518396147200000000,2.1891484866506445,0.0,2.9777313615555165,8.204869920358638,996080033353061465973848575255383768282288474676731218053177819693432355557594350768377131233780566132581608912629080954640862831358159040635381934246378057436225150640846327472245003809449683686744196929846576345492915887805558243651885056306167886405226003046261/20378174101804926552374318471303490200038567369765019835074830330345120678115232366964862972380824580433468205550596953214305203506085621665001588079551884437207075502763977349285384880166147862582185145816437519236084907604060501498013053238014524044140646400000000,4.887974891061693,2.4721712439115024,7.583153231246762,15.133402811195342,17671819283423218296931619432693906068721135227137948357755053011631900153271886664987067437696438871352072650861000186243595351275337142674384889084255286637242874391071168214527594524515669897220309088220459008389611695038529904819309085578741501963/469900142057016799530949608563905070568383254107261549027255058907614853234528441827145627400729176703950874797451130473683608722233049260266202713257457163850925675009788036210629058340237749950657850068544573757219238616511606795401611626291200000000,3.760760574802923,2.574826696753565,4.654108911060847,8.632763718154662,20671180298615930503501255907316617184557373023939192202351514417504827734385463389394829619170836642314744193257181524523441778528808407556777071100250331503677224099033867011093856697316034030508090804386605872516004389728858496950775621354760182384959767/1315285142844551062188911629344061332009885860489249957972137144637300382809422236716497108659428564027753575377631264694617687927858494983161783423188230430930974586940180765455645704218021826194216997137380944264591148092798996472718639453801069977600000000,1.5716120881522786,0.9443136143871177,3.513423159118493,6.313757213026654,28647565405532058505771628095064571144692047113717670260266343513730691736306458956627184098334629193424760756766941113646699168757533579374587381514712876951081533697816694749368865563959916676251679342244878852450271056698949540691267913064820014951619156061615061/958345810983679992167251555591078381385566025099346426429683059018182994017942286599718794473801605368785893475751425094477627442990020062651506378275232009387226153297926179954079746794319985383045335097900019028497148594689755285749180717159115095776395018240000000,2.9892722519574835,1.7688811437277983,3.388379333901908,6.005793298659284
A,3/4,800,0.68375,0.31875,5127611804521788032105324516209813234656553346148308830311072846573098870226651398084618625341600184703044746128279812007911484592727495538776327721897040091265977675905012615701744880968424726224606930331302744038483821536043443234404229996595125468454489758117/95217571236753834370007506914303153702563987868546461571981863426812554051540247853878745178622685534614288756433453729282015285250578259145885301076547175243147022623194318809522270367450916598744668060756301071903778375595119156441179230303544540952268800000000,5.385152906045285,2.493626812955665,7.590986504494356,16.209933700670824,32845867840246275238546519401758474346790330031742542649892693977175073377687898528646040507644979768652425114414359699556837850385365848688319838032779184471389964289406343336919528826514880673366570944591797721004503984879976518330248004445750337902246809/587882644469740661164547502312102960111201341097340014882865148159126935036788865963782866208360543528993424602663963006991589596974539708092756232397154071023886920673879385308297930429196760129693833283077196895069294224154595644830554278416987443200000000,5.587147052091092,2.894309802756741,8.728969368212796,15.4290825729168,14113628215265670957989364171178552785434667314050265390253236149737851460485354441063064743621192058047898297091444452645300902546573339833963813931648446896375973037904729907529824440285154697252959574629342479155533307903337493656215893518825509503194827/330812214855610915239609237087335753193283281064495039223574894091633738843664715741132521098190758341780093690740825302746374003014950082769628761748830464497073838968936017514611751219626802173653811602541707032068253483423954563078661233181028597760000000,4.266356434699917,2.5252785789659162,4.9022912029727665,12.181692477905083,-172022284143026826032759628501823771920514756040821744717748667069528257282058143114372648592335770749682250745879585561052648813294571501546736064497073714032528715015997321330817301608380709130276584127905686919467000501220745098449523464518921918649677433/15375654871003281126410247410371024107576272056216797994636071855190474698537831395905756394956001973428980873232093241354384421097546962982685765265734656241611263123754932178152732118378519026613579229693939892073598323847615666048060576859358722867200000000,-1.1187964713453675,0.0,1.5497015901371858,3.6638873618197967,982845631440099718181252167223813135404545964205292061243231573358941109661706229403988089726605377897358163788274463511039123201561824619584533676173613905650515317511716746275512186964522900439871260613442674568400672042881678397496577015413260269895308592449881907/28750374329510399765017546667732351441566980752980392792890491770545489820538268597991563834214048161063576804272542752834328823289700601879545191348256960281616784598937785398622392403829599561491360052937000570854914457840692658572475421514773452873291850547200000000,3.418548990617045,2.0557067564715488,3.9432319952329236,7.490233577987205
A,1,800,0.86625,0.14,97322175250298629572788058387406168738830094874008017256135679910455995338896881246614822568787549327414253550249926658072236849356466791235479451377199823/1009131256539066924424525939440418544437725626867746433463059818111914055864003062846479601806669321771746200731553053792301202721032794629462535532800000000,9.64415427821316,5.882613529581326,14.352914077641199,24.942324724255744,150067694991699176414713299610607701390442882062775858818304187837900112092105478466649079398455373066743419644063106758154755940582696279476280788254279/1984547837272306228211601552879821714650887880914481822130383688242581517730964493162727019868949045313602006912217185961499815421894394750389929600000000,7.561807892621129,3.5176313467159335,11.304203962424783,21.79042579493099,775933426502201651358579913769515515174749663425072173166057543040720678471302396778571765962153148894711213093673742170095077223321041400404912358407/13298032144014287692841985488684728547062367532014230817130319250073117297277774910681559839970275091366164342763606017208588000119532539647219200000000,5.834949247370145,3.394784477539111,6.86242573616974,14.856742849639328,-5168241718438951070170303293264289205229543532193850291252640205949505500559397366064163556398746090374211672945201874119274266235910206280059134119821/135677698537932716783961250831215444464415782725842037608060217325101072247568362088997279189595733193925850973879868232544934706443567417370708480000000,-3.809205030843014,-0.9563403875124842,0.3118142081981203,2.2483733796672154,38162391334766120428531672199841370475498532210582307479352871209194749321980317154250460455848953986652470232692107951231597227333933749443448100475254893/842594044645060171713629101765701932394883846950187244872854108814474891021257657625122188538909854065632285424746691161047779472285716345912571558400000000,4.529155122481538,2.7698156277962296,5.448078957893833,9.409087498552541
B,1/4,800,0.2475,0.755,124329954123515565810872393285407087005497099047503751531543337107278560507248987669584641991875476896249932332618322184539769041914973304687030064389948321276417277239871326319835264215206615297593246923156526306788253/21588799829491257842516988903916443495138442919709050495063115496452320477310463337357705183136329277511295086565062245749019670573558837975800589474200635571353902692552289272967002897572428517697141608505921974400000000,0.5759002589559209,0.0,0.0,1.969177560176663,290499450962115913142967338037472657603660906051790898495389292411421116497374687621495634434464348219342612133154541131078880961507137426635542908458638327169765818994971876679711079387277837874785791996761019543979125719154255122202508104382724043285241373/5286388931780626141118080247457046315853768159481274237868563586492537498204924600040600157835851275895284770474705538939142127188828371892302779690587649061995270063161764570118751748401772818984396797777944576121295642091685175419913179943922362142720000000,5.495234170450383,2.8781345288954685,7.961577395524537,15.767407775235107,877350094082454587620596629196511628073152422377519637686227824096299893303040319079290431224530612951853114278701158102363399123581261243013293303090099833070574110232166019229993036923056585132655693190473121750407987988926245035415683690977515182311777886827/18554662892295992799302260259656657892277893579624424170189488404229642528324425845040546722301714945630985836250284335723349642539146439102511649566627747299058696120449765326739641611817531273474256546720184710044434866041167936475363472324972854501785600000000,4.7284615149043505,2.8921042810047997,6.076476235339855,10.571260100079071,1968864484491673185925656847924867121342479153317577556733916947477421128151877399659190067271452279890991281177403448570333499418109949308300890785094601159838317863297278514996071586075407720908692105703129610996234131939760692065149918475153295192721458763/47413255654478998345150449405079681414248084916042730481258497916734786220554853334766578175521421146022848371733166281982844167259405928984084276738988432363601908405061258716555829902836221003755060566466627055856959930637523914860001016611893296578560000000,4.15256125594843,2.0889377429682074,5.41466599483663,10.513010111659261,1084313651096132109696162836969304872778125531328145395818339037741151370801294165131709604923818793129484823211728999521028450549415103183705169099224888540365668178721891083551073282132429707777093451956020872748940388052367664597913603798419552507940286062487747/26795339504055997173434500489911079662069943152070831369677721612256685122425557944061971264164209243983430549125424359154386890187088545795086222787295386507577572836567056754949772907333853078924171333561517603418602029950531476729358509906716213106117628800000000,4.046650168145845,2.2844409485835957,4.373989946548004,8.78553457408008
B,1/2,800,0.4325,0.57,623493506017980980072322439530426508690123768520480174351283501430309145037354906912585559458781637864466709916118092124312838629166207067336948122837626437424323645205116363505065119880714446121999640962013040283190705955924929451017918395031601/28883280921595859539502088270647161043726136172530226963821108727336908147774182689053147257704682977785400704996473617013734050430846347240882664134961653834600000821619516625552642404630664968286755483271554690251964875488201068412673702400000000,2.158665796003108,0.0,2.7787309839227166,8.173517745467356,390088550800814739825677788434713167183404355241743972043228990900990492267048656628468742025743278279039756631031055597988439738089510628410096436836068415305454599850098381144159402146758726684326770296988697784398890168399954052621348898167855547639089/8477773980476585758744540709994604066537920551341408575676801265749846806300196280118212296773730582627508879132074795233036095903233564885775197705550672722428255142857353331420068418673461806102046035240886567240849453216356681132528675525131696128000000,4.601308689039685,2.2644629134659398,7.3417897792802735,13.29492069666221,18618247187909229834304837371641525463091362393309672647874393419905182002280876151777972536585687597275487509994506715801310954744736862147330769287605317882905820674978192254041033561417128544846703159032155402532435409224871086942591897000963095142086751/511654508449478239302940314492563131506989063371017895434999366007894697879987681653263793249623717681894163197556312701351992318090245628258882159769361629148688452512604520237101126048449450708045146585680956685852410190226350955870590840805764915200000000,3.638831844623066,2.258609656103292,4.527947645862908,8.615988590383958,2987891841003240548085255254940005699912815971726911824777853959635219908634771021284894376898444945494599920349677802009906538913657021373745975154036559804424205524856236756667439425840207325779088060259041312078840172767019247397056326725416055270449498229963/201861935948944335454478038342126743621161221530051925023958054880498352334012288072768706582282450529192276942653955445541959042106920742649738808216243250788035125034548308985736445811325210923487170361731664690311006904689258067516454328225135710183219200000000,1.4801660486199584,0.8279413310269444,3.185226029862219,6.742638527309058,182352080019738060672109416479476963002491738020720541666512072472098597415929279445928183943137854906817401391412948699136039483970625756993783970183514351246104070392812346935615313279515190370128946960287688805735298255820995737683768850566462368207494673680121269/6323700122957215332930542115619014800248506583888716203243942300492577688892431674798625218342753381580089609593600148760435306084152896807640348577801711215788307189429825394168146406130789326626104434720518154406790079068325428508128608337985026293043760396800000000,2.8836294649352054,1.552650554990844,2.9199122579077206,6.402382166716968
B,3/4,800,0.69,0.3125,702243986613544546694012985812473378104162725529697014398361232546827318057927256549560857247523567618310698273380552078327129417632329079752107303991208341115015192950329094445867182907706026791855046986078208986863611847711630947560240639400269932351151920871/13241178753609438955408913886486998180661837147345691900633418018417882182011197119535323568798456517500629113418191652510919560432804172621833390565010971044319087396207912507657819935130700365550477677593526653174843994544548733916837591447702744668057600000000,5.303485434951314,2.3399793388196937,7.404810027066833,16.099213188465832,32164268399181522920332824452275272686729329830945616018961678109442785779603519769807166894518132743682575410986653573544261848191924713315467331399035133055999070498081825938838740265222088567424175024254728084310963406986949697853406439794825926582037/577143981856508897256576770596898375581930985868475752922745216668652821070960341575452721311820924684454798435060782866765703153061027153675997910617629328598327869334620463568136698417655143927115536014608658736609430235349325409747546648160235520000000,5.573005941380203,2.631558601833987,8.562016902371665,15.69069566010114,163483294299836816692059934540698340750633666927253600669548278681009691912800790400894198221321268792778610133588702200927349190859328285243073210106210173289440683013686123274108379678915212053152542266721068380395102350816464176925772268602769277449238022368087/3976480260900716943055013091068941757575648653960008267206294596068840070878139384182501005645242772987408058095964933131993890479010770302170320934431363018069724005619444902811850936831597129642090462565670220831456791100742549352075400947573743010227404800000000,4.111256276242801,2.1826512063389267,4.404462534533718,12.72632895917891,-145857991558594999570180213343036992078180184957318957469026877855435190050731877968437148946140496402830032661420580501114048239108428268642369224816190595706862257774284228137023995517311134558217001182605557252047664921181372828682613603462608711643188740821/12234056724178444572998668990431923855827952820003146971148973023060506202061350792289012520138330335102562238948724572457088426794358832887862958073711712168971825759669594483984027018868194601423464870407979678200667085132682307122209353225765800617164800000000,-1.1922291587085136,0.0,1.3675156128978236,3.7717149624400923,3556006093831789922824718467169277270411506297490794902805474225876792261832965921061460225289677919461169995844502049854510903622657700144055266663715384708626121521408254105455376621459506382265568163038899662728193580556406132682332976842044067958406756760825657657/109610802131258399104129396670729589870974114120737747522894999875204679940802149029842837117941058614054886566289069245180878638791983544665766042015229661073663991283450306832247871039600348328185810201822314676384361370517640760807562544525073789079425180211200000000,3.244211359363551,1.7307756526303384,3.4598853862749674,8.068106467192546
B,1,800,0.86625,0.14,484676072829949023932249277161077752611210391599768162737318374976480876994588067055998765724706493237804487315747274290317947468871519312358626723598331/5082836288882530913060759325602332002577855036923636545751817011290304917139834473809336675455661167398031418664664201546895340633874723439135987200000000,9.535543646960658,5.503296046888546,14.457880429649403,24.57097986895187,442222074417056873346795553470232877797549443480268779900990536254511245040357315382322067493921593438543220894699388710802618791669188166703587473947/5913802487922333124850714600565040696423614784738317120622713420721484152977045609742613700226613465610327008506522818754695280831181403126245520000000,7.477795806001302,3.208667514151639,11.142660910446955,22.0894838057333,200274669429196847286617456064877781763814746640367534972689119322774498824960696426659004731066502682984429101240014431097460168811401170582487303367/3531608536607073124984264998634304958400169738010336708811658554937450823211474648410512613238007483280850202504433073422608616425187330201392640000000,5.6709192809236715,3.070543449722308,6.039202568878088,15.293173275875166,-4679342356687907820536672541624747727590929994074421873615242674305918522816408287461417580035194235761673025828075902458528279905203718674414439681511997/121081427675372819950974260686803624143359292967251316684484940833576116229432694894948660951457518399195190622060056013300173034403262388290586070400000000,-3.8646243660369852,-0.7807022486751715,0.2656099009725436,2.4254707960384763,618286736135717801005344809794333458753905176193399768803952637674348647467412770322503117666686139702425446627226829981178475251520316036576690047249757902821/14331682105367828460677117391932824168104579352775734848042375536825403421380571498545703304858317707802339542789516469958261681044107749327626929636825600000000,4.314125387306372,2.5540101758446996,4.832167049667806,9.73029311561276
