client,bank,context,max_error,objective,iterations
36,B,clean,6.181237653874711e-16,3.7964894028733387e-32,1
36,B,brightness_dark,1.1662150430832997e-15,7.199517336639441e-32,1
36,B,contrast_low,3.3306690738754696e-16,1.02375213606334e-32,1
36,B,gaussian_noise,8.309754934966505e-16,2.1624582156822933e-32,1
36,B,gaussian_blur,7.705510140885201e-16,2.619264724366641e-32,1
37,A,clean,7.771561172376096e-16,1.9740781929969167e-32,1
37,A,brightness_dark,7.216449660063518e-16,4.604176273300736e-33,1
37,A,contrast_low,3.191891195797325e-16,9.015759552162748e-33,1
37,A,gaussian_noise,9.992007221626409e-16,6.569828522790958e-32,1
37,A,gaussian_blur,5.975687802872068e-16,6.0967719802008435e-33,1
37,B,clean,7.771561172376096e-16,1.9740781929969167e-32,1
37,B,brightness_dark,4.926614671774132e-16,3.932508205195687e-32,1
37,B,contrast_low,7.216449660063518e-16,2.9394505776210187e-32,1
37,B,gaussian_noise,4.440892098500626e-16,1.1459283169104053e-32,1
37,B,gaussian_blur,9.43689570931383e-16,3.4088960015654075e-32,1
38,A,clean,2.220446049250313e-16,1.021946576740477e-32,1
38,A,brightness_dark,2.220446049250313e-16,2.168175820204693e-33,1
38,A,contrast_low,8.881784197001252e-16,6.277327912487147e-32,1
38,A,gaussian_noise,6.336556977477878e-16,3.7190008152671335e-32,1
38,A,gaussian_blur,5.632559300541588e-16,3.821767233393421e-33,1
38,B,clean,2.220446049250313e-16,1.021946576740477e-32,1
38,B,brightness_dark,5.551115123125783e-16,3.0935249731719976e-32,1
38,B,contrast_low,1.6653345369377348e-15,2.5147980712113237e-31,1
38,B,gaussian_noise,1.7763568394002505e-15,3.474738731539146e-31,1
38,B,gaussian_blur,6.661338147750939e-16,1.2735211757260597e-32,1
39,A,clean,6.661338147750939e-16,1.434968271845396e-32,1
39,A,brightness_dark,1.2212453270876722e-15,1.5242306108694372e-32,1
39,A,contrast_low,0.0,0.0,1
39,A,gaussian_noise,4.440892098500626e-16,2.6978065549111827e-33,1
39,A,gaussian_blur,2.6645352591003757e-15,3.7256211994509646e-32,1
39,B,clean,6.661338147750939e-16,1.434968271845396e-32,1
39,B,brightness_dark,3.3306690738754696e-16,4.4330242958210107e-33,1
39,B,contrast_low,2.9985501218913153e-16,1.0126178535723514e-33,1
39,B,gaussian_noise,0.0,0.0,1
