client,bank,context,pi,iterations,updates,trace,converged,cap_hit,direct_KKT,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE
1,A,clean,"[0.11316145542385334, 0.15084936026758747, 0.0, 0.0, 0.0, 0.0, 0.01394022651777882, 0.7220489577907806, 0.0, 0.0]",4,4,"[{'active': [7, 9], 'minimum': 0.24619540535344084, 'action': 'add', 'coordinate': 0}, {'active': [0, 7, 9], 'minimum': 0.07936778906734754, 'action': 'add', 'coordinate': 6}, {'active': [0, 6, 7, 9], 'minimum': 0.012896389224644492, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 6, 7, 9], 'minimum': -0.15051521225650788, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 6, 7], 'minimum': 0.01394022651777882, 'action': 'accept'}]",True,False,2.220446049250313e-16,0.0010733563390727904,0.001666243647122275,4,0,0.5559020844184391,True
1,A,brightness_dark,"[0.1046182031335462, 0.10293413196019507, 0.041733148923286834, 0.0, 0.0, 0.0, 0.005564591093526139, 0.7451499248894464, 0.0, 0.0]",5,5,"[{'active': [2, 3, 7, 9], 'minimum': -0.1841390123793699, 'action': 'remove', 'coordinate': 3}, {'active': [2, 7, 9], 'minimum': 0.12585678421605095, 'action': 'add', 'coordinate': 0}, {'active': [0, 2, 7, 9], 'minimum': 0.04832973247896932, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 2, 7, 9], 'minimum': -0.7955739531864197, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 2, 7], 'minimum': 0.04564690469063892, 'action': 'add', 'coordinate': 6}, {'active': [0, 1, 2, 6, 7], 'minimum': 0.005564591093526139, 'action': 'accept'}]",True,False,6.661338147750939e-16,0.0005148772706276663,0.0037198197967899466,5,0,0.4262338523745342,True
1,A,contrast_low,"[0.0, 0.1580629553207773, 0.25354280287808884, 0.0, 0.029100117213438637, 0.0, 0.0, 0.5592941245876846, 0.0, 0.0]",3,3,"[{'active': [2, 7, 9], 'minimum': 0.18574475099551901, 'action': 'add', 'coordinate': 1}, {'active': [1, 2, 7, 9], 'minimum': -0.1543469325244482, 'action': 'remove', 'coordinate': 9}, {'active': [1, 2, 7], 'minimum': 0.15712516827531675, 'action': 'add', 'coordinate': 4}, {'active': [1, 2, 4, 7], 'minimum': 0.029100117213438637, 'action': 'accept'}]",True,False,1.0658141036401503e-14,0.0001546221156267305,0.002587547164856107,4,0,0.3743261450684424,True
1,A,gaussian_noise,"[0.08194785126592968, 0.21188548905296817, 0.05501143449680268, 0.0, 0.0, 0.0, 0.0, 0.6511552251842994, 0.0, 0.0]",4,4,"[{'active': [7, 9], 'minimum': 0.29503922081900036, 'action': 'add', 'coordinate': 0}, {'active': [0, 7, 9], 'minimum': 0.04969846688589474, 'action': 'add', 'coordinate': 2}, {'active': [0, 2, 7, 9], 'minimum': 0.032997246419908643, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 2, 7, 9], 'minimum': -0.18502525228826983, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 2, 7], 'minimum': 0.05501143449680268, 'action': 'accept'}]",True,False,1.1102230246251565e-16,0.001221989125306262,0.001469491696622871,4,0,0.6976895496314012,True
1,A,gaussian_blur,"[0.1402667744892332, 0.15500332775197545, 0.023851915983057137, 0.0, 0.0, 0.0, 0.0, 0.6808779817757342, 0.0, 0.0]",4,4,"[{'active': [7, 9], 'minimum': 0.26913570675633486, 'action': 'add', 'coordinate': 0}, {'active': [0, 7, 9], 'minimum': 0.11723635910246077, 'action': 'add', 'coordinate': 2}, {'active': [0, 2, 7, 9], 'minimum': 0.036475340627507624, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 2, 7, 9], 'minimum': -0.08882243247418842, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 2, 7], 'minimum': 0.023851915983057137, 'action': 'accept'}]",True,False,5.1093027378379396e-17,0.0011332408716255699,0.0020335595633489724,4,0,0.6831710978583683,True
1,B,clean,"[0.11316145542385334, 0.15084936026758747, 0.0, 0.0, 0.0, 0.0, 0.01394022651777882, 0.7220489577907806, 0.0, 0.0]",4,4,"[{'active': [7, 9], 'minimum': 0.24619540535344084, 'action': 'add', 'coordinate': 0}, {'active': [0, 7, 9], 'minimum': 0.07936778906734754, 'action': 'add', 'coordinate': 6}, {'active': [0, 6, 7, 9], 'minimum': 0.012896389224644492, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 6, 7, 9], 'minimum': -0.15051521225650788, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 6, 7], 'minimum': 0.01394022651777882, 'action': 'accept'}]",True,False,2.220446049250313e-16,0.0010733563390727904,0.001666243647122275,4,0,0.5559020844184391,True
1,B,brightness_dark,"[0.10200169325904007, 0.10314800295334958, 0.04240366294644016, 0.0, 0.0, 0.0, 0.003828952731761648, 0.7486176881094089, 0.0, 0.0]",5,5,"[{'active': [2, 3, 7, 9], 'minimum': -0.19046476760509445, 'action': 'remove', 'coordinate': 3}, {'active': [2, 7, 9], 'minimum': 0.12283887887752698, 'action': 'add', 'coordinate': 0}, {'active': [0, 2, 7, 9], 'minimum': 0.04765842032385903, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 2, 7, 9], 'minimum': -0.8037263041288725, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 2, 7], 'minimum': 0.045229155010921396, 'action': 'add', 'coordinate': 6}, {'active': [0, 1, 2, 6, 7], 'minimum': 0.003828952731761648, 'action': 'accept'}]",True,False,4.440892098500626e-16,0.0005308105820813101,0.004255448073700654,5,0,0.41795729788830227,True
1,B,contrast_low,"[0.0, 0.14243651371111388, 0.2750938517605359, 0.0, 0.0, 0.0, 0.0, 0.5824696345283513, 0.0, 0.0]",2,2,"[{'active': [2, 7, 9], 'minimum': 0.17000007553170748, 'action': 'add', 'coordinate': 1}, {'active': [1, 2, 7, 9], 'minimum': -0.11954360751349435, 'action': 'remove', 'coordinate': 9}, {'active': [1, 2, 7], 'minimum': 0.14243651371111388, 'action': 'accept'}]",True,False,1.1102230246251565e-15,0.00011337246016279346,0.002347864520266313,3,0,0.284873027422227,True
1,B,gaussian_noise,"[0.07792119737902209, 0.21233538766457388, 0.06524082061208258, 0.0, 0.0, 0.0, 0.0, 0.6445025943443212, 0.0, 0.0]",4,4,"[{'active': [7, 9], 'minimum': 0.29366047716569166, 'action': 'add', 'coordinate': 0}, {'active': [0, 7, 9], 'minimum': 0.04783437433980042, 'action': 'add', 'coordinate': 2}, {'active': [0, 2, 7, 9], 'minimum': 0.028895593378371998, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 2, 7, 9], 'minimum': -0.20491137927328396, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 2, 7], 'minimum': 0.06524082061208258, 'action': 'accept'}]",True,False,2.220446049250313e-16,0.0012376806839933532,0.001467081146344068,4,0,0.7109948113113573,True
1,B,gaussian_blur,"[0.14187638058749286, 0.15399185496877163, 0.011507746730564039, 0.0, 0.0, 0.0, 0.0, 0.6926240177131706, 0.0, 0.0]",4,4,"[{'active': [7, 9], 'minimum': 0.26830155123016425, 'action': 'add', 'coordinate': 0}, {'active': [0, 7, 9], 'minimum': 0.1164954865018818, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 7, 9], 'minimum': -0.10931220109975026, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 7], 'minimum': 0.14426146849738375, 'action': 'add', 'coordinate': 2}, {'active': [0, 1, 2, 7], 'minimum': 0.011507746730564039, 'action': 'accept'}]",True,False,8.881784197001252e-16,0.0011597245958431944,0.0021629192074211403,4,0,0.6952335790141757,True
