representation,comparison,bank,context,salt,new_mean,baseline_mean,new_mean_exact,baseline_mean_exact,new_p90,baseline_p90,mean_delta_pp,relative_mean_reduction,clients_better,clients_equal,clients_worse
H,context_vs_clean_same_state,A,gaussian_noise,T013-S0,0.01755371523985623,0.07669173207042992,37819191783225859296726652893376093104302740709790397985654229441721049234191200499927915678721830218159446949521195431882012945553/2154483610247719310969927009316878876873266312770518899958505251192788409011467766378682021304537072796130228578042685126724192000000,29379907973413490384389372465500461444427469213593630532717535640596241740606816555899772534560258048581265793212256382179759041654763690147670265599596376349937472414689/383090943185797691835705582550062739065358486706854253874154618705896878854808594492319195692874626987973526822346335908081025828633670452791310494881086831217702208000000,0.0827371859180296,0.2539584913379482,-5.91380168305737,0.7711133290908626,48,42,10
H,context_vs_clean_same_state,A,gaussian_noise,T013-S1,0.01756954058849315,0.07898472572122599,1716975193418914250502509024915626991862820608485386364698621096373786654543128576357696893450810647378605207250508974143343743/97724535526183068754629599639546080136084378898946966604463335465075957480585854947035456012565089180756089404463164208008000000,40770367557075515237467292723067001262401419118382392787685893642739684243966044462689051546749676053337944721376719806599192719060663241899620168876268333229/516180403043661891332761402546449201700236704081254425039802300339626715418055448051410585029512155177462137852970545462402432059057648034425347263335104000000,0.07868760974493108,0.25269722878329065,-6.141518513273283,0.7775577438794398,49,42,9
H,context_vs_clean_same_state,A,gaussian_noise,T013-S2,0.01814203015071799,0.07679052396960592,237152055167526194022954040861885491635043058658318205558414302571248223469688818551644743791570456758110401713182860176271607/13071968969147625505123587648288646417908175653483005288847829087232851190034502151125602003044884470974734859676862154352000000,330596137515435842278747426421709801438516275682615239972999992639567025615880037231716035691683608295345649805257119775112229258147042016297362870322883007472585857731148540820511/4305168403933373976942435859915934497710699388163618046325634540239635224384504276161168026319652754623820072052159482726799109359914747260710904215421462805848256993923566536000000,0.08138535866088627,0.26483788139552794,-5.864849381888794,0.7637464987490032,47,43,10
H,context_vs_clean_same_state,A,gaussian_noise,T013-S3,0.017273331109246982,0.07722825614821872,4940705914387958325983307342050139244356568328490057307370843248480621740133023220552874916996387114329768703065255517927006149/286030869387030758767781236376572283335366467970961646172763812624039361112665565899909940864879086164911662809823202612984000000,42752796618286492671597163439796308349746320020466488007120546445356215699185645226560115598824883898448468485779495631328672485872747957322476358991811123/553590081540026954770181293803790383452213376210209704171934803488030814857299062774800697073320211924358212135171282676302260217092807043634772695936000000,0.07956654802658646,0.246465840416695,-5.995492503897174,0.776334052188159,49,42,9
H,context_vs_clean_same_state,A,gaussian_blur,T013-S0,0.02117046089736536,0.07671549406089112,52302845229616835129248826463274694788144516595360440224097097217535773198982713632599825041746037341289316781850237134024527334372397245002088461023318293/2470557702223944495243510633709312405415587028867155784064999512155739689243007538331670295053710148868855327137993280510332676033479422091903533156188000000,3225726110538965810714941962331361950178550672002258364489325829279202869731828548803139883078983298687378387600217307336544819732461316358360307103291771884112721135662019094931/42047908965803195919924483991669161285631012252784927584430696921202436350800431501198850259595265952192146876199017863396507172376395155054894250427139253144540750418709632000000,0.10458171927779256,0.24371488481642387,-5.5545033163525765,0.7240393070979664,44,40,16
H,context_vs_clean_same_state,A,gaussian_blur,T013-S1,0.023011145355905968,0.07706174702931808,3705598836429344579855796301598315327814974839959831696235247188603541774193454466757712240786569272319100780740343371802223236491933924334806524057/161034958456697470310051420760674356983620083253104542471494608342333655479736138715959710270709517719566745389913167340382429129363307345883232000000,38749797501464701059309090841517604083690682417654041978955335649465862111790114297342369730081920340416155978080748114275563334968385486352286826061666290718916287747/502840890522795612620704786917894371572937261167456720622924800294825589090449647388405932529838627704844765829963672028340267215985336108822290117115679059810496000000,0.10860230602998376,0.24584676958221718,-5.405060167341211,0.7013934118681296,44,39,17
H,context_vs_clean_same_state,A,gaussian_blur,T013-S2,0.023649339570928036,0.07706315436666081,4614233915288301515252494874156357603510570333060962115616551806472791817772551656806623751751360091791463476805386782360838337137059042719240873339544797033727989/195110476613923987855201100816183076500783159752389918157176113031020658538621830909035429845197629654823885751489589864843041378933140370390896056901332678736000000,923091148971359506722162552134494845257025385778873439591596585388814504137746988066140204406690941514631093737468680817316894154256222680468556555575345333826212931060148511/11978372239726392913727336771583590007840823953763545370045248946046036610719644987923461912359782978123422344001426367365015615647924753819224440481386376898552008581568000000,0.11252555273884018,0.23078971859035102,-5.341381479573276,0.6931174208311507,53,28,19
H,context_vs_clean_same_state,A,gaussian_blur,T013-S3,0.021406198673326955,0.07509512892461238,15854739579972547094173100524461425042511905278621304060889580384880957139539622396186684735168811093678083170184719494203987963285419/740661143154213328994270853702934529881701994816227870367051932777520712000529551776725090361194211527985630895107256091850072358400000,618056025571307853474167936623326503811985317668332300530812129276105885680989729062418920160557894280873337510341889958698986076267965423745774748137/8230307803210128182642591107136070871071604287281856066035950141425048471968204973301938773714661616075087094716435214554911545595729254148586368000000,0.10220133965972139,0.24452062851251802,-5.368893025128543,0.7149455766323202,44,40,16
H,context_vs_clean_same_state,B,clean,T013-S0,0.016976867821199927,0.016976867821199927,7576928749174802343901191321407919649697239889231005621019465595929168915625407593341760068880518208894669126812028983716856992257504172609/446308991091577248865795706896759337713321613238443888524178789794973643785340536823298597525080311311360335777776425578863662086747624000000,7576928749174802343901191321407919649697239889231005621019465595929168915625407593341760068880518208894669126812028983716856992257504172609/446308991091577248865795706896759337713321613238443888524178789794973643785340536823298597525080311311360335777776425578863662086747624000000,0.06142573577392224,0.06142573577392224,0.0,0.0,0,100,0
H,context_vs_clean_same_state,B,clean,T013-S1,0.018243783346018397,0.018243783346018397,9317991782208717972315145791060592452508310439114189386643487638231991478306817599622205267053706469713004396236471782920510515909027/510748872943742604041713215143367111325338970212407799035409050698853251657270777674385798856542482141604292332363864788694151952000000,9317991782208717972315145791060592452508310439114189386643487638231991478306817599622205267053706469713004396236471782920510515909027/510748872943742604041713215143367111325338970212407799035409050698853251657270777674385798856542482141604292332363864788694151952000000,0.0738386301757797,0.0738386301757797,0.0,0.0,0,100,0
