representation,bank,context,salt,macro_class_p05,macro_class_median,macro_class_p95,capture_p05,capture_median,capture_p95
L,A,clean,T013-S0,38.65172755726723,39.16166350999896,39.77858537328775,0.7366641841276145,0.8199011483964642,0.9206014477500526
L,A,clean,T013-S1,38.48491522417441,39.1524295636738,39.70279818745274,0.7057065840564853,0.8140924203497177,0.9034570377489074
L,A,clean,T013-S2,38.514703941065825,39.16340165426578,39.696393726640395,0.7104444858241106,0.8157603534302651,0.9022914470153477
L,A,clean,T013-S3,38.57870430165205,39.16057309151036,39.66418409270405,0.7107029367261513,0.8038413417342374,0.8844532016814379
L,A,brightness_dark,T013-S0,33.041887733374296,33.791591034883794,34.440503649224645,0.8641490588360735,0.905957344979992,0.9421448930515239
L,A,brightness_dark,T013-S1,33.03213374020318,33.77519580424343,34.454061484989985,0.8639514611667062,0.905406007755429,0.9432791146625104
L,A,brightness_dark,T013-S2,33.051358654836484,33.789123418499,34.45144697233078,0.8646826734390869,0.9058254493537579,0.9427611108280625
L,A,brightness_dark,T013-S3,33.013999668060464,33.80769595569461,34.46886064010567,0.8622781027316208,0.906523519993756,0.9433808264931407
L,A,contrast_low,T013-S0,29.960410255154695,31.301502627102685,32.08861180916666,0.7387303754671841,0.8377499844746985,0.8958662224643227
L,A,contrast_low,T013-S1,29.914778371725244,31.28329338626342,32.096435980811094,0.7364225235544648,0.8376127263765953,0.8977377985836836
L,A,contrast_low,T013-S2,29.875856618587942,31.242884498858942,32.09710043800885,0.7291501277612077,0.8296248262636274,0.8924085413441378
L,A,contrast_low,T013-S3,29.96317368787234,31.26684551831012,32.10253317497646,0.7367446146347125,0.8327160241599685,0.8942362016007853
L,A,gaussian_noise,T013-S0,35.48235373583224,36.312155897336204,36.86002507988173,0.7023530371279152,0.8236283705064258,0.9036992848079707
L,A,gaussian_noise,T013-S1,35.52897838727372,36.24837532206597,36.8203584716155,0.7057990491185606,0.8104393348959831,0.8936374656275478
L,A,gaussian_noise,T013-S2,35.50217009580184,36.25270917176644,36.86732359647528,0.7060770056942829,0.8158968173749354,0.9058279649184396
L,A,gaussian_noise,T013-S3,35.487807253656314,36.256620082060095,36.820717387114414,0.7017996600966337,0.8139456290748278,0.8962299465785414
L,A,gaussian_blur,T013-S0,37.389146687706415,38.234921553034155,38.75124610391687,0.7090894694253229,0.8015324458479127,0.8579665871783719
L,A,gaussian_blur,T013-S1,37.36326568596431,38.13569446308095,38.73385702502708,0.7057369014297067,0.7901005564772736,0.8554310847193252
L,A,gaussian_blur,T013-S2,37.40321243273027,38.17682160264589,38.71445757427665,0.7163834773188194,0.8016237247091264,0.8608632283369508
L,A,gaussian_blur,T013-S3,37.417458917992434,38.13950474955874,38.71764556554505,0.7168952444747165,0.7963367387092694,0.859945402165307
L,B,clean,T013-S0,38.31527795967418,39.08153719896433,39.56945559859915,0.677133394126806,0.8013639178279867,0.8804681624518134
L,B,clean,T013-S1,38.382471570569436,39.05341811774904,39.560176235377796,0.7008889763626115,0.8117002945080667,0.8953947933193405
L,B,clean,T013-S2,38.3901745482389,39.071088183024614,39.539285279070256,0.6966715627636847,0.8082498013104241,0.8849711424624657
L,B,clean,T013-S3,38.40566784599842,39.06115307809779,39.51513849864982,0.6887631073495695,0.7945696179732165,0.8678506178651224
L,B,brightness_dark,T013-S0,33.050930645620404,33.827289378228784,34.51630855607317,0.8755217440046869,0.9193607089641196,0.9582678356894325
