client,bank,context,true_score,scramble_p05,scramble_median,scramble_p95,true_beats_scramble_median
0,A,clean,0.2719538921038319,0.3378434645541403,0.4165031460523831,0.5092956942727775,True
0,A,brightness_dark,0.2863654751483664,0.3389665706538275,0.42353191547395996,0.5057020944044672,True
0,A,contrast_low,0.2673203324192374,0.36138562710341887,0.47040060250242965,0.524585715797272,True
0,A,gaussian_noise,0.2510035143112088,0.3191804952738381,0.38714527711715124,0.46597089332618014,True
0,A,gaussian_blur,0.22920601714854866,0.35310492553479267,0.4412771802994623,0.5349630028833179,True
0,B,clean,0.2719538921038319,0.3378434645541403,0.4165031460523831,0.5092956942727775,True
0,B,brightness_dark,0.2863654751483664,0.3389665706538275,0.42353191547395996,0.5057020944044672,True
0,B,contrast_low,0.2673203324192374,0.36138562710341887,0.47040060250242965,0.524585715797272,True
0,B,gaussian_noise,0.2510035143112088,0.3191804952738381,0.38714527711715124,0.46597089332618014,True
0,B,gaussian_blur,0.22920601714854866,0.35310492553479267,0.4412771802994623,0.5349630028833179,True
1,A,clean,0.18985582224360312,0.3132603478061498,0.3936086693715521,0.43205392955828215,True
1,A,brightness_dark,0.20203336304342628,0.33992703622073456,0.4084649400105451,0.4590468257912911,True
1,A,contrast_low,0.2294510156421611,0.39044360517228227,0.4620200764125657,0.508788220235515,True
1,A,gaussian_noise,0.18457944865718656,0.3048114598789425,0.37487698265275793,0.401278830421642,True
1,A,gaussian_blur,0.21277472130204866,0.3209738509751928,0.4136358434525284,0.45636310747281406,True
1,B,clean,0.18985582224360312,0.3132603478061498,0.3936086693715521,0.43205392955828215,True
1,B,brightness_dark,0.20203336304342628,0.33992703622073456,0.4084649400105451,0.4590468257912911,True
1,B,contrast_low,0.2294510156421611,0.39044360517228227,0.4620200764125657,0.508788220235515,True
1,B,gaussian_noise,0.18457944865718656,0.3048114598789425,0.37487698265275793,0.401278830421642,True
1,B,gaussian_blur,0.21277472130204866,0.3209738509751928,0.4136358434525284,0.45636310747281406,True
2,A,clean,0.2220156687795874,0.3320778634445289,0.3772043352539455,0.4331131753776989,True
2,A,brightness_dark,0.2522455582075891,0.32052195756531365,0.3935411103828912,0.45654730986446956,True
2,A,contrast_low,0.36472812353492257,0.3513918788126209,0.42886137506603594,0.5303803236977473,True
2,A,gaussian_noise,0.22120343124818914,0.3165152135459842,0.3616940070150416,0.42892589600575626,True
2,A,gaussian_blur,0.26122528038512827,0.3335739400496829,0.4143049438208033,0.4626337613101854,True
2,B,clean,0.2220156687795874,0.3320778634445289,0.3772043352539455,0.4331131753776989,True
2,B,brightness_dark,0.2522455582075891,0.32052195756531365,0.3935411103828912,0.45654730986446956,True
2,B,contrast_low,0.36472812353492257,0.3513918788126209,0.42886137506603594,0.5303803236977473,True
2,B,gaussian_noise,0.22120343124818914,0.3165152135459842,0.3616940070150416,0.42892589600575626,True
2,B,gaussian_blur,0.26122528038512827,0.3335739400496829,0.4143049438208033,0.4626337613101854,True
3,A,clean,0.3096540786400026,0.39822767150429916,0.4502583883510595,0.5362306597757471,True
3,A,brightness_dark,0.3048697921834177,0.3790986519193146,0.45389302805770915,0.5474944755243009,True
3,A,contrast_low,0.503263602964525,0.5126019102260809,0.6327076665910809,0.7967662847212043,True
3,A,gaussian_noise,0.2919141397792554,0.3891282660259995,0.4303825533784542,0.5297748813191722,True
3,A,gaussian_blur,0.32393633058293403,0.4250046315277168,0.49217376751982017,0.5754066294790292,True
3,B,clean,0.3096540786400026,0.39822767150429916,0.4502583883510595,0.5362306597757471,True
3,B,brightness_dark,0.3048697921834177,0.3790986519193146,0.45389302805770915,0.5474944755243009,True
3,B,contrast_low,0.503263602964525,0.5126019102260809,0.6327076665910809,0.7967662847212043,True
3,B,gaussian_noise,0.2919141397792554,0.3891282660259995,0.4303825533784542,0.5297748813191722,True
3,B,gaussian_blur,0.32393633058293403,0.4250046315277168,0.49217376751982017,0.5754066294790292,True
4,A,clean,0.3101460890550035,0.3592180974958795,0.4034462377678574,0.46542483533083134,True
4,A,brightness_dark,0.3268152761325898,0.34438378657669677,0.39089925514116824,0.46005935720529356,True
4,A,contrast_low,0.2961374366848318,0.355869743608739,0.3984683815520371,0.4543485334063395,True
4,A,gaussian_noise,0.2534643467739338,0.3197512543790084,0.36102706513768623,0.40790812810636384,True
4,A,gaussian_blur,0.3442699264442821,0.40997643887192525,0.4498254677556578,0.6225441267408693,True
4,B,clean,0.3101460890550035,0.3592180974958795,0.4034462377678574,0.46542483533083134,True
4,B,brightness_dark,0.3268152761325898,0.34438378657669677,0.39089925514116824,0.46005935720529356,True
4,B,contrast_low,0.2961374366848318,0.355869743608739,0.3984683815520371,0.4543485334063395,True
4,B,gaussian_noise,0.2534643467739338,0.3197512543790084,0.36102706513768623,0.40790812810636384,True
4,B,gaussian_blur,0.3442699264442821,0.40997643887192525,0.4498254677556578,0.6225441267408693,True
5,A,clean,0.37436183192492106,0.4073698480335769,0.44297026088620467,0.5087015143228857,True
5,A,brightness_dark,0.3575028408859995,0.40905152496893493,0.46669679901424066,0.5462633231375527,True
5,A,contrast_low,0.6043313235579058,0.5478173248367724,0.6181664099564519,0.7063977167393578,True
5,A,gaussian_noise,0.33134131329528094,0.36365476095497806,0.38403693058225025,0.43502958998797947,True
5,A,gaussian_blur,0.4667142702276388,0.49347912777232894,0.5546031945505112,0.6003808108307176,True
5,B,clean,0.37436183192492106,0.4073698480335769,0.44297026088620467,0.5087015143228857,True
5,B,brightness_dark,0.3575028408859995,0.40905152496893493,0.46669679901424066,0.5462633231375527,True
5,B,contrast_low,0.6043313235579058,0.5478173248367724,0.6181664099564519,0.7063977167393578,True
