target,context,accuracy,macro_client_accuracy,gain_pp,support_loss_before,support_loss_after,gamma_norm,beta_norm
brightness_dark,none,17.640800563718493,18.259971715975553,0.0,2.3539937806129454,2.3539937806129454,0.0,0.0
brightness_dark,correct,52.05133337565537,48.957613707054406,34.410532811936875,2.3539937806129454,1.2679734440147876,0.3868080161511898,0.7211483296751976
brightness_dark,wrong_clean,44.324755715971065,41.46650659479201,26.683955152252572,1.8819063377380372,1.1480595051124691,0.3523554581403732,0.68055748462677
brightness_dark,wrong_alt,44.43114548911058,41.26174392551184,26.790344925392084,2.076542699933052,1.173092036023736,0.43518250472843645,0.7181075254082679
brightness_dark,shuffled,52.79606365053717,49.6737958509475,35.15526308681868,2.6410319304466245,1.5063506324589253,0.41211449176073073,0.7477867943048477
brightness_dark,noise_image,50.40893674419331,45.85848221555352,32.76813618047482,3.0131043362617493,1.623338767234236,0.5829962557554245,0.8148669965565205
contrast_low,none,20.087771783004776,20.05806868383661,0.0,2.2751285552978517,2.2751285552978517,0.0,0.0
contrast_low,correct,55.28958058581068,51.802650140598416,35.20180880280591,2.2751285552978517,1.279208989366889,0.25344265043735503,0.7302357897162437
contrast_low,wrong_clean,52.85590761481419,49.035798758268356,32.76813583180942,1.8819063377380372,1.1480595051124691,0.3523554581403732,0.68055748462677
contrast_low,wrong_alt,54.066094880228434,50.583916150033474,33.97832309722366,1.8945735639333725,1.1736935132741928,0.29526525765657424,0.6786850082874298
contrast_low,shuffled,56.060908479311735,52.85641253832728,35.97313669630696,2.613543418645859,1.5560462441295386,0.2845587253570557,0.7741068115830422
contrast_low,noise_image,57.12480885138005,52.545004941523075,37.03703706837528,3.0131043362617493,1.623338767234236,0.5829962557554245,0.8148669965565205
gaussian_noise,none,30.74672521857479,29.499900958500803,0.0,2.076542699933052,2.076542699933052,0.0,0.0
gaussian_noise,correct,55.62869869831478,52.94712782278657,24.881973479739987,2.076542699933052,1.173092036023736,0.43518250472843645,0.7181075254082679
gaussian_noise,wrong_clean,52.32395759479437,49.695196801796556,21.57723237621958,1.8819063377380372,1.1480595051124691,0.3523554581403732,0.68055748462677
gaussian_noise,wrong_alt,46.991156375669654,44.4982499582693,16.244431157094862,2.3539937806129454,1.2679734440147876,0.3868080161511898,0.7211483296751976
gaussian_noise,shuffled,56.13405111295538,53.31009189039469,25.38732589438059,2.749078751206398,1.7078834799677134,0.5300336191058159,0.7507696007192135
gaussian_noise,noise_image,56.60615736479054,53.52354505285621,25.85943214621575,3.0131043362617493,1.623338767234236,0.5829962557554245,0.8148669965565205
gaussian_blur,none,30.99275230779893,30.511363789904863,0.0,1.8945735639333725,1.8945735639333725,0.0,0.0
gaussian_blur,correct,57.03836703778653,54.149280428886414,26.045614729987598,1.8945735639333725,1.1736935132741928,0.29526525765657424,0.6786850082874298
gaussian_blur,wrong_clean,58.155462642510734,55.42496821284294,27.162710334711804,1.8819063377380372,1.1480595051124691,0.3523554581403732,0.68055748462677
gaussian_blur,wrong_alt,54.29882297385366,51.803815593943,23.30607066605473,2.2751285552978517,1.279208989366889,0.25344265043735503,0.7302357897162437
gaussian_blur,shuffled,57.570317121492245,54.892920687794685,26.577564813693314,2.4481433910131454,1.6090515479445457,0.3573461699485779,0.7374243488907815
gaussian_blur,noise_image,60.29656231571793,56.73545162379742,29.303810007918997,3.0131043362617493,1.623338767234236,0.5829962557554245,0.8148669965565205
