target,context,layer,gamma_abs_mean,beta_abs_mean,clamp_fraction,clamp_low_fraction,clamp_high_fraction,moment_mismatch_before,moment_mismatch_after,gamma_abs_max_max,beta_abs_max_max,clamp_fraction_max,clients_clamp_gt10pct
clean_sanity,moment_clean,1,0.06543133594095707,0.023756748996675014,0.0,0.0,0.0,0.050155237063428684,1.1322921836048059e-05,0.347015380859375,0.09304873645305634,0.0,0
clean_sanity,moment_clean,2,0.05867464281618595,0.04158693552017212,0.0,0.0,0.0,0.03887711501291814,1.678664790609913e-05,0.26967883110046387,0.24573850631713867,0.0,0
brightness_dark,moment_correct,1,1.4234331250190735,0.28365594148635864,0.15625,0.0,0.15625,0.37940069803013615,0.07307421096901691,3.0,1.7507644891738892,0.15625,2
brightness_dark,moment_correct,2,0.47816427052021027,0.29481691122055054,0.0,0.0,0.0,0.14133634458257802,6.586729107274553e-05,2.424190044403076,3.4359729290008545,0.0,0
brightness_dark,moment_wrong_clean,1,0.06543133594095707,0.023756748996675014,0.0,0.0,0.0,0.050155237063428684,1.1322921836048059e-05,0.347015380859375,0.09304873645305634,0.0,0
brightness_dark,moment_wrong_clean,2,0.05867464281618595,0.04158693552017212,0.0,0.0,0.0,0.03887711501291814,1.678664790609913e-05,0.26967883110046387,0.24573850631713867,0.0,0
brightness_dark,moment_wrong_alt,1,0.11722073331475258,0.05912829749286175,0.0,0.0,0.0,0.12009368328359135,7.517056931076243e-06,0.30797451734542847,0.16067512333393097,0.0,0
brightness_dark,moment_wrong_alt,2,0.11535239219665527,0.09891979396343231,0.0,0.0,0.0,0.060269907511152514,2.747867077053802e-05,0.4196396470069885,0.5687739253044128,0.0,0
brightness_dark,moment_noise_image,1,0.3802626132965088,0.22126752883195877,0.0,0.0,0.0,0.2714840971568873,2.0116129226881944e-05,1.468944787979126,0.5844138264656067,0.0,0
brightness_dark,moment_noise_image,2,0.880317896604538,0.7896231710910797,0.03125,0.03125,0.0,0.24506467383312633,0.0001523276145100486,1.8373444080352783,3.000901937484741,0.03125,0
contrast_low,moment_correct,1,1.3337331414222717,0.07778585329651833,0.046875,0.0,0.046875,0.2617893079425948,0.000733938264975657,3.0,0.30882728099823,0.09375,0
contrast_low,moment_correct,2,0.12181252986192703,0.06169724836945534,0.0,0.0,0.0,0.06790119979682134,4.410670955818469e-05,0.745820164680481,0.503570556640625,0.0,0
contrast_low,moment_wrong_clean,1,0.06543133594095707,0.023756748996675014,0.0,0.0,0.0,0.050155237063428684,1.1322921836048059e-05,0.347015380859375,0.09304873645305634,0.0,0
contrast_low,moment_wrong_clean,2,0.05867464281618595,0.04158693552017212,0.0,0.0,0.0,0.03887711501291814,1.678664790609913e-05,0.26967883110046387,0.24573850631713867,0.0,0
contrast_low,moment_wrong_alt,1,0.4128837138414383,0.027343686670064926,0.0,0.0,0.0,0.126751991383941,4.4115221625864965e-05,1.820341944694519,0.1098608449101448,0.0,0
contrast_low,moment_wrong_alt,2,0.061434486880898476,0.037137676030397415,0.0,0.0,0.0,0.03576644742060038,4.3321983849859194e-05,0.49182653427124023,0.20484240353107452,0.0,0
contrast_low,moment_noise_image,1,0.3802626132965088,0.22126752883195877,0.0,0.0,0.0,0.2714840971568873,2.0116129226881944e-05,1.468944787979126,0.5844138264656067,0.0,0
