target,context,accuracy,macro_client_accuracy,copied_t002
brightness_dark,none,4.332129888586189,3.3707864582538605,False
brightness_dark,moment_correct,27.436823970789515,25.607196241617203,False
brightness_dark,moment_wrong_clean,5.054151462828101,4.156735772266984,False
brightness_dark,moment_wrong_alt,1.8050541660819028,1.628646021708846,False
brightness_dark,moment_noise_image,1.0830324721465472,0.8426966145634651,False
brightness_dark,T002_ce_correct,52.05133337565537,48.957613707054406,True
brightness_dark,T002_ce_noise,50.40893674419331,45.85848221555352,True
contrast_low,none,3.610108246428334,3.0331403482705355,False
contrast_low,moment_correct,14.440433328655223,13.029168173670769,False
contrast_low,moment_wrong_clean,3.9711190764170263,3.5381908528506756,False
contrast_low,moment_wrong_alt,7.942238579157888,6.852230429649353,False
contrast_low,moment_noise_image,3.971119246543099,4.434797540307045,False
contrast_low,T002_ce_correct,55.28958058581068,51.802650140598416,True
contrast_low,T002_ce_noise,57.12480885138005,52.545004941523075,True
gaussian_noise,none,20.577617043407386,18.252751976251602,False
gaussian_noise,moment_correct,19.133574251986584,17.35330857336521,False
gaussian_noise,moment_wrong_clean,19.494584810647723,17.410055547952652,False
gaussian_noise,moment_wrong_alt,32.49097563299461,32.00544863939285,False
gaussian_noise,moment_noise_image,31.76895319232011,29.650437086820602,False
gaussian_noise,T002_ce_correct,55.62869869831478,52.94712782278657,True
gaussian_noise,T002_ce_noise,56.60615736479054,53.52354505285621,True
gaussian_blur,none,20.216606484746244,18.19600500166416,False
gaussian_blur,moment_correct,24.18772506692349,22.406650334596634,False
gaussian_blur,moment_wrong_clean,18.41155183014026,17.463964968919754,False
gaussian_blur,moment_wrong_alt,25.631768253736116,24.42685216665268,False
gaussian_blur,moment_noise_image,27.07581359772045,25.774601101875305,False
gaussian_blur,T002_ce_correct,57.03836703778653,54.149280428886414,True
gaussian_blur,T002_ce_noise,60.29656231571793,56.73545162379742,True
