client,bank,context,salt,train_half,point,BER256,BER4096,H1_H2_mean_abs_difference,H1_H2_vote_abs_difference,vote_frequencies,p_mode,vote_entropy,point_bootstrap_expected_regret_exact,BER_bootstrap_expected_regret_exact,top_mean_utility_margin_exact,top_mean_utility_margin,BER_replica_optimal_fraction,BER_minus_point_utility_p10,BER_minus_point_utility_median,BER_minus_point_utility_p90,final_mean_utilities_exact,final_expected_regrets_exact
0,A,brightness_dark,T013-S1,0,1,1,1,"[0.0, 0.0006582664272213311, 0.003066313010027381, 0.0001053398496179215, 0.001071702048346026]","[0.0, 0.0146484375, 0.01611328125, 0.001953125, 0.00048828125]","[0.0, 0.943359375, 0.053466796875, 0.0029296875, 0.000244140625]",0.943359375,0.2307124422584803,488697125909777993080651906218107859019/394825509619770511749490579863553179648000,488697125909777993080651906218107859019/394825509619770511749490579863553179648000,381882651631736048547340908985324813542541/4081888345607473598394733379512426718822400,0.09355538890295237,0.943359375,0.0,0.0,0.0,"[""0"", ""376361364435947998229472628946176266463921/2307154282299876381701371040593980319334400"", ""10548105459469243794749824711293804436049/151612995693991876511804382667604420984832"", ""-17479947553214498898759529058894917/587335390486415649487692127310708736"", ""50781367597926785267119640206857199741/889225781196433293324365880748413026304""]","[""43609961378745390607739550409788839124611683/265322742464485783895657669668307736723456000"", ""488697125909777993080651906218107859019/394825509619770511749490579863553179648000"", ""1093512035855400607257711181088029624414171/11535771411499381908506855202969901596672000"", ""5722927612938624448515606152996862689606937/29480304718276198210628629963145304080384000"", ""395250983634916472967537885598164196554039/3685038089784524776328578745393163010048000""]"
0,A,brightness_dark,T013-S1,1,1,1,1,"[0.0, 0.0006638782166236888, 0.003193771058965824, 7.272133672974631e-05, 0.0010508155823867715]","[0.0, 0.00732421875, 0.00830078125, 0.00146484375, 0.00048828125]","[0.0, 0.883544921875, 0.113037109375, 0.003173828125, 0.000244140625]",0.883544921875,0.3761089499307426,1363168426625195655709159670205670391955/388659105204203302496308061521963556798464,1363168426625195655709159670205670391955/388659105204203302496308061521963556798464,1650679793680037978968238019642219349557/22082903704784278550926594404657020272640,0.07474921847901808,0.883544921875,0.0,0.0,0.0,"[""0"", ""39734467607365416965964530703468703561229/264994844457411342611119132855884243271680"", ""16134664034983774265866942888876171147/214570724257013232883497273567517605888"", ""-30544062353843335338028630410004873/1010457849102958478377665521862574080"", ""8376447422718455766778688546330063/144351121300422639768237931694653440""]","[""894605813761417108086857070529396534226363/5829886578063049537444620922829453351976960"", ""1363168426625195655709159670205670391955/388659105204203302496308061521963556798464"", ""152075663976969320427750744079543654720791/1943295526021016512481540307609817783992320"", ""2141662586886005493129424972194249888482153/11659773156126099074889241845658906703953920"", ""1112615034969532444633852753474912283020067/11659773156126099074889241845658906703953920""]"
0,A,brightness_dark,T013-S2,0,1,1,1,"[0.0, 0.0006716478731130779, 0.003068312916147628, 7.800837744131822e-05, 0.0010328628304635342]","[0.0, 0.015625, 0.01611328125, 0.0009765625, 0.00048828125]","[0.0, 0.91552734375, 0.080810546875, 0.00341796875, 0.000244140625]",0.91552734375,0.30553113718293423,131568939329074229531922908220737577850541/61332973437035462699579576756580096367656960,131568939329074229531922908220737577850541/61332973437035462699579576756580096367656960,2711277912576892253108264814847104321148429/34073874131686368166433098198100053537587200,0.07957057956188168,0.91552734375,0.0,0.0,0.0,"[""0"", ""355035577255762241105535496811912454735201/2349922353909404701133317117110348519833600"", ""103690976920496180549872335698962820106893/1449952090710058219848216944600002278195200"", ""-134599066627391016280076671264459/4916964279583819207111674135838720"", ""41576325211184248252824910808667049/712959820539653785031192749696614400""]","[""93979975057044687223863993750116526464392871/613329734370354626995795767565800963676569600"", ""131568939329074229531922908220737577850541/61332973437035462699579576756580096367656960"", ""12529672954918700712816998937363813389794283/153332433592588656748948941891450240919142400"", ""110769523462725373562210114860847356515315491/613329734370354626995795767565800963676569600"", ""11642717712116069195441837452083479366179831/122665946874070925399159153513160192735313920""]"
0,A,brightness_dark,T013-S2,1,1,1,1,"[0.0, 0.00065115757202843, 0.003191003020889157, 0.00010061365343191756, 0.0010899067380228582]","[0.0, 0.0126953125, 0.01416015625, 0.001953125, 0.00048828125]","[0.0, 0.91552734375, 0.081787109375, 0.00244140625, 0.000244140625]",0.91552734375,0.3022812362486285,101525816193063088952885033188711988593/45557478259453559290561136907357410820096,101525816193063088952885033188711988593/45557478259453559290561136907357410820096,107480227556015430201514518847034097851213/1214866086918761581081630317529530955202560,0.08847084358788482,0.91552734375,0.0,0.0,0.0,"[""0"", ""12281288052688559304104791358129246846789/75929130432422598817601894845595684700160"", ""89020381287001518664162142883033851697411/1214866086918761581081630317529530955202560"", ""-8073269739456905836846634438487638037/246823666582438354547263372110835220480"", ""318327750831954145945302806462351201/5609628785964508057892349366155345920""]","[""9337873309757748339269699810082825120833/56946847824316949113201421134196763525120"", ""101525816193063088952885033188711988593/45557478259453559290561136907357410820096"", ""330562747963491337720774359196199252641079/3644598260756284743244890952588592865607680"", ""51202413771236897521438442283143519356261/260328447196877481660349353756328061829120"", ""48850634849746494659501721659435672879851/455574782594535592905611369073574108200960""]"
0,A,brightness_dark,T013-S3,0,1,1,1,"[0.0, 0.0006834247478775731, 0.003075902021561874, 9.553717716866242e-05, 0.0010371201414805943]","[0.00048828125, 0.01416015625, 0.01513671875, 0.001953125, 0.00048828125]","[0.000244140625, 0.912841796875, 0.083740234375, 0.0029296875, 0.000244140625]",0.912841796875,0.31207313788272223,30794081416258228728471586366472381/14021564598427672930119748399921102848,30794081416258228728471586366472381/14021564598427672930119748399921102848,997106717554904652506907029912080695/12463612976380153715661998577707646976,0.08000141848471433,0.912841796875,0.0,0.0,0.0,"[""0"", ""27758573510793653876807188871235901657/186954194645702305734929978665614704640"", ""400061648358440127787611981954834101/5842318582678197054216561833300459520"", ""-290529877932819796503598935537913869/8902580697414395511187141841219747840"", ""10520223260065397258147749272320212151/186954194645702305734929978665614704640""]","[""84507483789031290779560430068366600211/560862583937106917204789935996844113920"", ""30794081416258228728471586366472381/14021564598427672930119748399921102848"", ""1317187587046315386055705137162929329/16024645255345911920136855314195546112"", ""51405433049399468979643581503627586979/280431291968553458602394967998422056960"", ""26473407004417549502558591125702981879/280431291968553458602394967998422056960""]"
0,A,brightness_dark,T013-S3,1,1,1,1,"[0.0, 0.0006377634159833259, 0.0031837866246397484, 8.19165775400249e-05, 0.0010875248551638775]","[0.0, 0.01513671875, 0.0166015625, 0.001953125, 0.00048828125]","[0.0, 0.918212890625, 0.07861328125, 0.0029296875, 0.000244140625]",0.918212890625,0.2973970472199075,975768312735143472820299750000857941889/452267581871616763191193258829155401728000,975768312735143472820299750000857941889/452267581871616763191193258829155401728000,1914204139077356476066009610822331785498549/21708843929837604633177276423799459282944000,0.08817623569748866,0.918212890625,0.0,0.0,0.0,"[""0"", ""892491056682743710033369029506589674255309/5427210982459401158294319105949864820736000"", ""759174730698587053676050668135729899827/9953619408453738942309617800916762624000"", ""-399571543497254851815870592799179/14585767428348727971497930601267200"", ""17189276241623053360965437275131327/291715348566974559429958612025344000""]","[""866922604444453913429734061847171591139/5203462111658102740454764243480215552000"", ""975768312735143472820299750000857941889/452267581871616763191193258829155401728000"", ""85262652960375798380929739079233607248227/943862779558156723181620714078237360128000"", ""1766571567562994896607765547861246724957/9106058695401679795795837426090377216000"", ""15688666094842317197951727050093738413069/145696939126426876732733398817446035456000""]"
0,A,contrast_low,T013-S0,0,2,2,2,"[0.0, 0.0009316620735020591, 0.004274045622464677, 2.449445445113835e-05, 0.0012333423838267645]","[0.00146484375, 0.0263671875, 0.044921875, 0.00048828125, 0.017578125]","[0.000732421875, 0.11767578125, 0.74658203125, 0.000244140625, 0.134765625]",0.74658203125,0.7474115448280508,5663419659609744784089458651665835499418099/855794916887930118453506268485508460676382720,5663419659609744784089458651665835499418099/855794916887930118453506268485508460676382720,113910113096570950246134204186450188001758807/2053907800531032284288415044365220305623318528,0.055460188167706356,0.74658203125,0.0,0.0,0.0,"[""0"", ""2538239416761110578350400927773812499813443/48902566679310292483057501056314769181507584"", ""378243856947748875706434036282933641499011/3522997942591822099980128721038113731772416"", ""-412452972162487018414301773876769361804031/6023190030882792622546671684355484767223808"", ""275376263461322487453687894221511635077/5411671186776992473087755331855781462016""]","[""167220268416857844299046959940677370137519179/1467077000379308774491725031689443075445227520"", ""91073085914024526948534932107462995143115889/1467077000379308774491725031689443075445227520"", ""5663419659609744784089458651665835499418099/855794916887930118453506268485508460676382720"", ""468443549113761319122428311011158338209626777/2567384750663790355360518805456525382029148160"", ""11570892534226328070348680032087084178289983/183384625047413596811465628961180384430653440""]"
0,A,contrast_low,T013-S0,1,2,2,2,"[0.0, 0.0009902366389080816, 0.004559797439589019, 5.679541776795553e-06, 0.0015805633173538673]","[0.00048828125, 0.0244140625, 0.05419921875, 0.00048828125, 0.02880859375]","[0.000244140625, 0.10546875, 0.698974609375, 0.000732421875, 0.194580078125]",0.698974609375,0.8133950440437663,776130060456606109062252790830515621933/106066116419533541935355735050065008394240,776130060456606109062252790830515621933/106066116419533541935355735050065008394240,13843474560822867522797658332031682945/264339230952108515726743264922280394752,0.05237010984317704,0.698974609375,0.0,0.0,0.0,"[""0"", ""153726099824517813396488303692291422661189/2969851259746939174189960581401820235038720"", ""312159415138818056950947888021096521093/2775561924997139415130804281683944144896"", ""-2336821516776339106619973937648986893/40519152189739261534756266885896994816"", ""2435079302922305809657992343573194893/40519152189739261534756266885896994816""]","[""59290369315220048665209553054304619163939/494975209957823195698326763566970039173120"", ""40403223213360495718953802926707258464489/593970251949387834837992116280364047007744"", ""776130060456606109062252790830515621933/106066116419533541935355735050065008394240"", ""75288506994777438115852615440830029900867/424264465678134167741422940200260033576960"", ""25323296911947126810339252786232913614457/424264465678134167741422940200260033576960""]"
0,A,contrast_low,T013-S1,0,2,2,2,"[0.0, 0.0011898550410058685, 0.004615328131265955, 1.63865132667376e-05, 0.001483619747751254]","[0.00146484375, 0.02392578125, 0.0498046875, 0.00048828125, 0.02490234375]","[0.000732421875, 0.119873046875, 0.70458984375, 0.000244140625, 0.174560546875]",0.70458984375,0.8130047674623311,1744355551356637073527723687390878705209/221841757913449652086670292364805799936000,1744355551356637073527723687390878705209/221841757913449652086670292364805799936000,1667999866941275610788916729260281761905/29480304718276198210628629963145304080384,0.056580143349305535,0.70458984375,0.0,0.0,0.0,"[""0"", ""33869789625433430379080982270460661894123/611342724572547889160501543014533955584000"", ""16638126360358387914581608350385817692037/147401523591380991053143149815726520401920"", ""-25992984673775748594156205842015020167703/389036279273439565829410072827430699008000"", ""1520917709980207085893882826994942977/27016408282877747627042366168571576320""]","[""8008719172016909046546513140203490694274141/66330685616121445973914417417076934180864000"", ""2889231331771587900277484375905672585841197/44220457077414297315942944944717956120576000"", ""1744355551356637073527723687390878705209/221841757913449652086670292364805799936000"", ""236962343978965222511431356881277173959381/1263441630783265637598369855563370174873600"", ""4274562010473504609259852023365506697143741/66330685616121445973914417417076934180864000""]"
0,A,contrast_low,T013-S1,1,2,2,2,"[0.0, 0.0007318325475410249, 0.0042360174022427945, 3.439309796075022e-05, 0.001333416716540024]","[0.00146484375, 0.021484375, 0.04931640625, 0.00048828125, 0.02685546875]","[0.000732421875, 0.10107421875, 0.743896484375, 0.000244140625, 0.154052734375]",0.743896484375,0.7472040117235808,28152607603550013063902241062203310827/4794314620117639422240642206274221506560,28152607603550013063902241062203310827/4794314620117639422240642206274221506560,77798108303435145356079724509199934753/1475173729266965976074043755776683540480,0.05273826855776105,0.743896484375,0.0,0.0,0.0,"[""0"", ""358760128258031244800557581449166821437/7436079818957971348781404238302874173440"", ""7920023727381675884698115033582509193/73758686463348298803702187788834177024"", ""-127833984110631361177733525694083023/2153538290900680257042399643469611008"", ""588338439738674250641478658120074811/10767691454503401285211998217348055040""]","[""135738537470839736392319929561266602093/1198578655029409855560160551568555376640"", ""23685269106491748868037937095615872785859/364367911128940596090288807676840834498560"", ""28152607603550013063902241062203310827/4794314620117639422240642206274221506560"", ""100308431152685092532267755129881059191/581129044862744172392805115912026849280"", ""374661946119618980628215127622804131699/6392419493490185896320856275032295342080""]"
