target,context,accuracy,macro_client_accuracy,copied
brightness_dark,none,4.332129888586189,3.3707864582538605,False
brightness_dark,oracle_correct_pair,25.27075884359408,22.801044583320618,False
brightness_dark,oracle_target_permuted,3.249097416439642,2.5280898436903954,False
brightness_dark,oracle_wrong_alt,2.888086672186421,2.247191034257412,False
brightness_dark,oracle_noise_source,3.249097416439642,2.5280898436903954,False
brightness_dark,T002_ce_correct,52.05133337565537,48.957613707054406,True
brightness_dark,T003_moment_correct,23.79147557913167,23.678631037008017,True
contrast_low,none,3.610108246428334,3.0331403482705355,False
contrast_low,oracle_correct_pair,15.162454631569583,13.366813957691193,False
contrast_low,oracle_target_permuted,3.249097416439642,2.5280898436903954,False
contrast_low,oracle_wrong_alt,7.220216611877675,6.290432438254356,False
contrast_low,oracle_noise_source,3.249097416439642,2.5280898436903954,False
contrast_low,T002_ce_correct,55.28958058581068,51.802650140598416,True
contrast_low,T003_moment_correct,19.37628839489099,19.622429146897048,True
gaussian_noise,none,20.577617043407386,18.252751976251602,False
gaussian_noise,oracle_correct_pair,21.299638717505907,19.038701429963112,False
gaussian_noise,oracle_target_permuted,3.249097416439642,2.5280898436903954,False
gaussian_noise,oracle_wrong_alt,26.353789742242558,24.988649785518646,False
gaussian_noise,oracle_noise_source,3.249097416439642,2.5280898436903954,False
gaussian_noise,T002_ce_correct,55.62869869831478,52.94712782278657,True
gaussian_noise,T003_moment_correct,22.9337057647359,22.931444060988724,True
gaussian_blur,none,20.216606484746244,18.19600500166416,False
gaussian_blur,oracle_correct_pair,25.270759214778238,23.249348253011703,False
gaussian_blur,oracle_target_permuted,3.249097416439642,2.5280898436903954,False
gaussian_blur,oracle_wrong_alt,28.519856494041125,27.122347801923752,False
gaussian_blur,oracle_noise_source,3.249097416439642,2.5280898436903954,False
gaussian_blur,T002_ce_correct,57.03836703778653,54.149280428886414,True
gaussian_blur,T003_moment_correct,23.099940137295977,23.194975623395294,True
