client,target,n_query,none,oracle_correct_pair,oracle_target_permuted,oracle_wrong_alt,oracle_noise_source,oracle_target_permuted_delta,oracle_wrong_alt_delta,oracle_noise_source_delta
0,brightness_dark,178,6.741572916507721,31.460675597190857,5.056179687380791,4.494382068514824,5.056179687380791,26.404495909810066,26.966293528676033,26.404495909810066
1,brightness_dark,99,0.0,14.141413569450378,0.0,0.0,0.0,14.141413569450378,14.141413569450378,14.141413569450378
0,contrast_low,178,5.056179687380791,19.662921130657196,5.056179687380791,9.550561755895615,5.056179687380791,14.606741443276405,10.112359374761581,14.606741443276405
1,contrast_low,99,1.0101010091602802,7.070706784725189,0.0,3.030303120613098,0.0,7.070706784725189,4.040403664112091,7.070706784725189
0,gaussian_noise,178,26.404494047164917,26.966291666030884,5.056179687380791,29.775279760360718,5.056179687380791,21.910111978650093,-2.808988094329834,21.910111978650093
1,gaussian_noise,99,10.101009905338287,11.11111119389534,0.0,20.202019810676575,0.0,11.11111119389534,-9.090908616781235,11.11111119389534
0,gaussian_blur,178,25.280898809432983,30.337080359458923,5.056179687380791,32.022473216056824,5.056179687380791,25.280900672078133,-1.6853928565979004,25.280900672078133
1,gaussian_blur,99,11.11111119389534,16.161616146564484,0.0,22.22222238779068,0.0,16.161616146564484,-6.060606241226196,16.161616146564484
