client,bank,target,role,candidate,delta_J,delta_accuracy,zero_accuracy,candidate_accuracy
0,A,clean,selected,clean,0.0,0.0,32.02247191011236,32.02247191011236
0,A,clean,true,clean,0.0,0.0,32.02247191011236,32.02247191011236
0,B,clean,selected,clean,0.0,0.0,32.02247191011236,32.02247191011236
0,B,clean,true,clean,0.0,0.0,32.02247191011236,32.02247191011236
0,A,brightness_dark,selected,brightness_dark,160.15797217592055,24.719101123595504,6.741573033707865,31.46067415730337
0,A,brightness_dark,true,brightness_dark,160.15797217592055,24.719101123595504,6.741573033707865,31.46067415730337
0,B,brightness_dark,selected,brightness_dark,158.2015059771165,24.719101123595504,6.741573033707865,31.46067415730337
0,B,brightness_dark,true,brightness_dark,158.2015059771165,24.719101123595504,6.741573033707865,31.46067415730337
0,A,contrast_low,selected,contrast_low,98.72718861330651,14.04494382022472,5.056179775280898,19.101123595505616
0,A,contrast_low,true,contrast_low,98.72718861330651,14.04494382022472,5.056179775280898,19.101123595505616
0,B,contrast_low,selected,contrast_low,96.68427414921669,15.168539325842694,5.056179775280898,20.224719101123593
0,B,contrast_low,true,contrast_low,96.68427414921669,15.168539325842694,5.056179775280898,20.224719101123593
0,A,gaussian_noise,selected,gaussian_noise,24.222461647574768,0.0,26.40449438202247,26.40449438202247
0,A,gaussian_noise,true,gaussian_noise,24.222461647574768,0.0,26.40449438202247,26.40449438202247
0,B,gaussian_noise,selected,gaussian_noise,25.64476138892754,0.0,26.40449438202247,26.40449438202247
0,B,gaussian_noise,true,gaussian_noise,25.64476138892754,0.0,26.40449438202247,26.40449438202247
0,A,gaussian_blur,selected,gaussian_blur,11.865236970228782,5.6179775280898845,25.280898876404496,30.89887640449438
0,A,gaussian_blur,true,gaussian_blur,11.865236970228782,5.6179775280898845,25.280898876404496,30.89887640449438
0,B,gaussian_blur,selected,gaussian_blur,11.47941947449339,6.741573033707865,25.280898876404496,32.02247191011236
0,B,gaussian_blur,true,gaussian_blur,11.47941947449339,6.741573033707865,25.280898876404496,32.02247191011236
1,A,clean,selected,clean,0.0,0.0,14.14141414141414,14.14141414141414
1,A,clean,true,clean,0.0,0.0,14.14141414141414,14.14141414141414
1,B,clean,selected,clean,0.0,0.0,14.14141414141414,14.14141414141414
1,B,clean,true,clean,0.0,0.0,14.14141414141414,14.14141414141414
1,A,brightness_dark,selected,brightness_dark,166.0737894202093,14.14141414141414,0.0,14.14141414141414
