bank,none,selected,delta_pp,passed,sample_weighted,macro_client
A,34.13868991976854,33.69844204248375,-0.44024787728479,True,33.77884167830308,32.77450597062334
B,34.13868991976854,33.725322011277456,-0.4133679084910824,True,33.8054391914356,32.709653336346626
