bank,heldout,batch,true_context,selected,second,best_score,second_score,score_margin,zero_improvement,true_rank,J_clean,J_brightness_dark,J_contrast_low,J_gaussian_noise,J_gaussian_blur
A,B,0,noise_image,gaussian_noise,clean,83.40540980401406,154.50003452178552,71.09462471777147,71.09462471777147,,154.50003452178552,4582.383052294137,842.7504944782625,83.40540980401406,300.6140610748088
A,B,1,noise_image,gaussian_noise,clean,82.84260157039236,152.32875379586096,69.4861522254686,69.4861522254686,,152.32875379586096,4697.146392852152,842.4298159025368,82.84260157039236,298.07409653530897
A,B,2,noise_image,gaussian_noise,clean,82.50088773660539,150.97126154410273,68.47037380749734,68.47037380749734,,150.97126154410273,4114.209852642797,833.3815536711714,82.50088773660539,295.3935028791916
A,B,3,noise_image,gaussian_noise,clean,83.02571784309609,153.21703627116136,70.19131842806527,70.19131842806527,,153.21703627116136,4536.6450747681365,844.4743493287526,83.02571784309609,299.82317213235115
B,A,0,noise_image,gaussian_noise,clean,88.37353982419319,158.55944944324628,70.18590961905309,70.18590961905309,,158.55944944324628,2604.352553360114,973.6528409738441,88.37353982419319,328.84198274706677
B,A,1,noise_image,gaussian_noise,clean,87.60033790266488,159.26850054167824,71.66816263901336,71.66816263901336,,159.26850054167824,2658.630093575112,989.9086556444419,87.60033790266488,332.40978413362177
B,A,2,noise_image,gaussian_noise,clean,87.32686815897596,158.07534593497152,70.74847777599557,70.74847777599557,,158.07534593497152,2565.0833064745375,974.271026500366,87.32686815897596,327.323360679541
B,A,3,noise_image,gaussian_noise,clean,82.99239944326047,154.4515232526435,71.45912380938304,71.45912380938304,,154.4515232526435,2576.5862136158576,968.5812218887058,82.99239944326047,323.52983970779496
